step,elapsed,sim_time,wf0_total_traces,wf0_violation_rate,wf0_violations,wf1_total_traces,wf1_violation_rate,wf1_violations,total_violations,node0_avg_cpu_threads,node0_avg_cpu_usage_pct,node1_avg_cpu_threads,node1_avg_cpu_usage_pct,node2_avg_cpu_threads,node2_avg_cpu_usage_pct
1,10.0,10.0,1,0.0,0,2,0.0,0,0,1.5454545454545454,38.63636363636363,1.0909090909090908,27.27272727272727,0.36363636363636365,9.090909090909092
2,10.0,20.0,2,1.0,2,3,0.6666666666666666,2,4,3.3,82.5,1.8,45.0,0.8,20.0
3,10.0,30.0,2,0.5,1,4,1.0,4,5,2.7,67.5,1.8,45.0,0.9,22.5
4,10.0,40.0,3,0.3333333333333333,1,5,1.0,5,6,3.0,75.0,2.0,50.0,1.0,25.0
5,10.0,50.0,3,0.3333333333333333,1,4,1.0,4,5,3.9,97.5,2.2,55.00000000000001,1.2,30.0
6,10.0,60.0,5,1.0,5,4,1.0,4,9,4.0,100.0,2.7,67.5,1.4,35.0
7,10.0,70.0,7,1.0,7,4,1.0,4,11,4.0,100.0,2.7,67.5,1.5,37.5
8,10.0,80.0,4,1.0,4,4,1.0,4,8,4.0,100.0,2.2,55.00000000000001,0.9,22.5
9,10.0,90.0,5,1.0,5,5,1.0,5,10,4.0,100.0,3.0,75.0,1.6,40.0
