episode,total_violations,mean_step_total_violations,n_steps
1,50,5.555555555555555,9
2,38,3.8,10
3,30,3.0,10
4,36,4.5,8
5,50,5.555555555555555,9
6,57,6.333333333333333,9
7,31,3.1,10
8,54,6.75,8
9,43,4.777777777777778,9
10,37,3.7,10
11,30,3.0,10
12,36,4.5,8
13,44,4.888888888888889,9
14,36,4.0,9
15,48,5.333333333333333,9
16,35,3.5,10
17,34,3.7777777777777777,9
18,40,4.444444444444445,9
19,37,4.111111111111111,9
20,48,4.363636363636363,11
21,58,6.444444444444445,9
22,44,4.888888888888889,9
23,47,5.875,8
24,49,6.125,8
25,40,4.0,10
26,45,4.5,10
27,41,4.555555555555555,9
28,31,3.4444444444444446,9
29,50,6.25,8
30,53,5.888888888888889,9
31,42,4.2,10
32,46,4.6,10
33,46,4.6,10
34,39,3.9,10
35,62,6.888888888888889,9
36,47,4.7,10
37,43,4.777777777777778,9
38,24,2.4,10
39,46,5.111111111111111,9
40,44,4.888888888888889,9
41,46,5.111111111111111,9
42,51,5.666666666666667,9
43,50,6.25,8
44,49,6.125,8
45,47,4.7,10
46,25,2.7777777777777777,9
47,33,3.3,10
48,51,5.666666666666667,9
49,34,3.7777777777777777,9
50,30,3.0,10
51,35,4.375,8
52,37,4.111111111111111,9
53,36,3.6,10
54,41,5.125,8
55,30,3.0,10
56,40,4.0,10
57,33,3.6666666666666665,9
58,44,4.888888888888889,9
59,28,2.8,10
60,49,5.444444444444445,9
61,45,4.5,10
62,45,5.0,9
63,54,6.0,9
64,25,2.7777777777777777,9
65,59,6.555555555555555,9
66,53,5.888888888888889,9
67,21,1.9090909090909092,11
68,42,4.2,10
69,46,5.111111111111111,9
70,40,4.444444444444445,9
71,45,4.5,10
72,52,5.777777777777778,9
73,48,4.8,10
74,49,5.444444444444445,9
75,41,4.555555555555555,9
76,47,5.222222222222222,9
77,25,2.7777777777777777,9
78,56,5.6,10
79,39,4.333333333333333,9
80,47,5.222222222222222,9
81,39,3.9,10
82,40,4.0,10
83,20,2.5,8
84,27,2.7,10
85,41,4.1,10
86,41,4.555555555555555,9
87,28,2.8,10
88,38,4.222222222222222,9
89,39,4.875,8
90,40,4.0,10
91,41,4.1,10
92,23,2.3,10
93,43,4.777777777777778,9
94,20,2.2222222222222223,9
95,39,4.333333333333333,9
96,33,3.3,10
97,30,3.3333333333333335,9
98,28,2.5454545454545454,11
99,43,5.375,8
100,50,5.555555555555555,9
