step,elapsed,sim_time,wf0_total_traces,wf0_violation_rate,wf0_violations,wf1_total_traces,wf1_violation_rate,wf1_violations,total_violations,node0_avg_cpu_threads,node0_avg_cpu_usage_pct,node1_avg_cpu_threads,node1_avg_cpu_usage_pct,node2_avg_cpu_threads,node2_avg_cpu_usage_pct
1,10.0,10.0,1,0.0,0,1,0.0,0,0,1.1818181818181819,29.545454545454547,0.8181818181818182,20.454545454545457,0.45454545454545453,11.363636363636363
2,10.0,20.0,3,0.3333333333333333,1,4,0.0,0,1,3.4,85.0,2.1,52.5,1.0,25.0
3,10.0,30.0,3,0.3333333333333333,1,3,0.0,0,1,2.9,72.5,1.9,47.5,1.1,27.500000000000004
4,10.0,40.0,6,0.16666666666666666,1,5,0.0,0,1,3.6,90.0,2.8,70.0,1.3,32.5
5,10.0,50.0,4,0.0,0,5,0.0,0,0,3.1,77.5,2.0,50.0,1.1,27.500000000000004
6,10.0,60.0,3,0.0,0,2,0.0,0,0,2.9,72.5,2.0,50.0,1.0,25.0
7,10.0,70.0,6,0.0,0,4,0.25,1,1,4.0,100.0,3.5,87.5,1.5,37.5
8,10.0,80.0,10,0.2,2,3,0.0,0,2,4.0,100.0,3.2,80.0,1.5,37.5
9,10.0,90.0,4,0.25,1,5,0.0,0,1,3.9,97.5,2.5,62.5,1.2,30.0
