step,elapsed,sim_time,wf0_total_traces,wf0_violation_rate,wf0_violations,wf1_total_traces,wf1_violation_rate,wf1_violations,total_violations,node0_avg_cpu_threads,node0_avg_cpu_usage_pct,node1_avg_cpu_threads,node1_avg_cpu_usage_pct,node2_avg_cpu_threads,node2_avg_cpu_usage_pct
1,10.0,10.0,2,0.0,0,2,0.0,0,0,1.8181818181818181,45.45454545454545,1.0909090909090908,27.27272727272727,0.7272727272727273,18.181818181818183
2,10.0,20.0,2,0.5,1,3,0.3333333333333333,1,2,4.0,100.0,1.8,45.0,1.0,25.0
3,10.0,30.0,2,1.0,2,5,0.8,4,6,3.5,87.5,1.9,47.5,0.8,20.0
4,10.0,40.0,2,0.0,0,5,0.2,1,1,3.7,92.5,2.7,67.5,1.1,27.500000000000004
5,10.0,50.0,5,0.0,0,5,0.6,3,3,4.0,100.0,2.9,72.5,1.3,32.5
6,10.0,60.0,5,0.2,1,6,0.8333333333333334,5,6,4.0,100.0,3.0,75.0,1.8,45.0
7,10.0,70.0,3,0.3333333333333333,1,7,0.5714285714285714,4,5,4.0,100.0,2.8,70.0,1.5,37.5
8,10.0,80.0,5,1.0,5,6,0.5,3,8,4.0,100.0,3.0,75.0,1.5,37.5
9,10.0,90.0,3,1.0,3,5,0.0,0,3,3.4,85.0,2.1,52.5,0.9,22.5
