task_i,task_j,weight
s0_avg_threads,s1_avg_threads,0.33158464245515146
s0_avg_threads,s2_avg_threads,0.7839846070713614
s0_avg_threads,s3_avg_threads,0.04189562987816811
s0_avg_threads,s4_avg_threads,0.17145330041887202
s0_avg_threads,s5_avg_threads,0.3025101831971218
s1_avg_threads,s2_avg_threads,0.061571721720890885
s1_avg_threads,s3_avg_threads,0.07999513076854227
s1_avg_threads,s4_avg_threads,0.4942879187096782
s1_avg_threads,s5_avg_threads,0.9733055306695508
s2_avg_threads,s3_avg_threads,0.5487839288719587
s2_avg_threads,s4_avg_threads,0.4904916531330721
s2_avg_threads,s5_avg_threads,0.1136245810289523
s3_avg_threads,s4_avg_threads,0.8988321211132696
s3_avg_threads,s5_avg_threads,0.1371514056437053
s4_avg_threads,s5_avg_threads,0.5383559723528821
