iteration,agents_changed,n_changed,ergodic,J,rho_wf0,lambda_obs_wf0,rho_wf1,lambda_obs_wf1,u_node0,r_s0,r_s1
1,"[0, 1]",2,False,54.5455,1.1,428.8491,1.1,480.0595,100.0,5,5
2,[],0,False,54.5455,1.1,460.6196,1.1,448.7688,100.0,5,5
