,D_wf0/λ,D_wf1/λ,D_wf2/λ,D_wf3/λ,u_node0,u_node1,u_node2
t0(s0),0.06468980238511307,0.04408379938513866,0.0,0.0,0.11645495876471289,0.039976182170517044,0.0
t1(s1),0.5265635452716972,0.15752814274019897,0.1575281427401993,0.15752814274019908,0.0,0.07228603234435226,0.11312862217261385
t2(s2),0.0440837993851411,0.06468980238511396,0.0,0.0,0.11645495876468123,0.03997618217051715,0.0
t3(s3),0.1575281427402003,0.5265635452716932,0.15752814274019952,0.15752814274019925,0.0,0.07228603234435389,0.1131286221726138
t4(s4),0.1575281427402003,0.15752814274019916,0.5265635452716908,0.15752814274019925,0.0,0.07222555397350837,0.14122298687610413
t5(s5),0.0,0.0,0.06468980238511433,0.04408379938513879,0.0,0.0,0.04372422265074064
t6(s6),0.15752814274020016,0.1575281427401991,0.15752814274019927,0.5265635452716905,0.0,0.07222555397350831,0.1412229868761041
t7(s7),0.0,0.0,0.04408379938513879,0.06468980238511435,0.0,0.0,0.04372422265074061
