s0_avg_latency,s0_arrival_rate,s0_departure_rate,s0_avg_throughput,s0_avg_queue_size,s0_avg_threads,s1_avg_latency,s1_arrival_rate,s1_departure_rate,s1_avg_throughput,s1_avg_queue_size,s1_avg_threads,s2_avg_latency,s2_arrival_rate,s2_departure_rate,s2_avg_throughput,s2_avg_queue_size,s2_avg_threads,s3_avg_latency,s3_arrival_rate,s3_departure_rate,s3_avg_throughput,s3_avg_queue_size,s3_avg_threads,s4_avg_latency,s4_arrival_rate,s4_departure_rate,s4_avg_throughput,s4_avg_queue_size,s4_avg_threads,s5_avg_latency,s5_arrival_rate,s5_departure_rate,s5_avg_throughput,s5_avg_queue_size,s5_avg_threads,s6_avg_latency,s6_arrival_rate,s6_departure_rate,s6_avg_throughput,s6_avg_queue_size,s6_avg_threads,s7_avg_latency,s7_arrival_rate,s7_departure_rate,s7_avg_throughput,s7_avg_queue_size,s7_avg_threads,s8_avg_latency,s8_arrival_rate,s8_departure_rate,s8_avg_throughput,s8_avg_queue_size,s8_avg_threads,s9_avg_latency,s9_arrival_rate,s9_departure_rate,s9_avg_throughput,s9_avg_queue_size,s9_avg_threads,s10_avg_latency,s10_arrival_rate,s10_departure_rate,s10_avg_throughput,s10_avg_queue_size,s10_avg_threads,s11_avg_latency,s11_arrival_rate,s11_departure_rate,s11_avg_throughput,s11_avg_queue_size,s11_avg_threads,s12_avg_latency,s12_arrival_rate,s12_departure_rate,s12_avg_throughput,s12_avg_queue_size,s12_avg_threads,s13_avg_latency,s13_arrival_rate,s13_departure_rate,s13_avg_throughput,s13_avg_queue_size,s13_avg_threads,s14_avg_latency,s14_arrival_rate,s14_departure_rate,s14_avg_throughput,s14_avg_queue_size,s14_avg_threads,s15_avg_latency,s15_arrival_rate,s15_departure_rate,s15_avg_throughput,s15_avg_queue_size,s15_avg_threads,s16_avg_latency,s16_arrival_rate,s16_departure_rate,s16_avg_throughput,s16_avg_queue_size,s16_avg_threads,s17_avg_latency,s17_arrival_rate,s17_departure_rate,s17_avg_throughput,s17_avg_queue_size,s17_avg_threads,s18_avg_latency,s18_arrival_rate,s18_departure_rate,s18_avg_throughput,s18_avg_queue_size,s18_avg_threads,s19_avg_latency,s19_arrival_rate,s19_departure_rate,s19_avg_throughput,s19_avg_queue_size,s19_avg_threads,s20_avg_latency,s20_arrival_rate,s20_departure_rate,s20_avg_throughput,s20_avg_queue_size,s20_avg_threads,s21_avg_latency,s21_arrival_rate,s21_departure_rate,s21_avg_throughput,s21_avg_queue_size,s21_avg_threads,s22_avg_latency,s22_arrival_rate,s22_departure_rate,s22_avg_throughput,s22_avg_queue_size,s22_avg_threads,s23_avg_latency,s23_arrival_rate,s23_departure_rate,s23_avg_throughput,s23_avg_queue_size,s23_avg_threads,wf0_avg_e2e_latency,wf0_violation_rate,wf1_avg_e2e_latency,wf1_violation_rate,wf2_avg_e2e_latency,wf2_violation_rate,wf3_avg_e2e_latency,wf3_violation_rate,wf4_avg_e2e_latency,wf4_violation_rate,wf5_avg_e2e_latency,wf5_violation_rate,wf6_avg_e2e_latency,wf6_violation_rate,wf7_avg_e2e_latency,wf7_violation_rate,node0_avg_cpu_threads,node0_cpu_usage_pct,node1_avg_cpu_threads,node1_cpu_usage_pct,node2_avg_cpu_threads,node2_cpu_usage_pct
8.59520201525513,0.5,0.1,3.0,7.25,1.25,3.539407423534824,0.15000000000000002,0.125,1.25,0.25,1.0,1.4225930888787088,0.15000000000000002,0.125,1.25,0.25,1.5,11.607661176728742,0.4,0.175,2.375,6.5,2.0,3.9603180670292706,0.22499999999999998,0.2,1.4166666666666667,1.0,1.0,1.4012741185433109,0.22499999999999998,0.22500000000000003,1.0416666666666667,0.25,1.25,11.748910741668539,0.375,0.125,3.375,6.75,2.5,3.926731711593333,0.2,0.15000000000000002,1.5,1.5,1.0,1.413207722254322,0.175,0.15000000000000002,1.125,0.25,1.0,9.673644116289156,0.375,0.15000000000000002,1.9583333333333333,5.5,3.25,4.598610574224809,0.22499999999999998,0.175,0.9166666666666666,2.0,1.0,1.0499999999999994,0.2,0.2,0.6666666666666666,0.5,1.0,8.055882719929457,0.375,0.07500000000000001,2.25,6.0,1.0,3.4030335645292076,0.1,0.1,1.3333333333333333,0.25,1.0,1.3999999999999995,0.1,0.1,1.0,0.0,1.5,12.181961913998737,0.475,0.22500000000000003,2.4375,6.75,2.5,3.5525217146763586,0.3,0.275,1.1041666666666667,1.0,1.75,1.4066038611271607,0.3,0.30000000000000004,1.0208333333333333,0.25,1.0,11.6262763269016,0.32499999999999996,0.125,2.75,5.75,2.0,2.7665683012919695,0.175,0.15000000000000002,0.7916666666666666,1.0,1.5,1.4151189000692894,0.15000000000000002,0.15000000000000002,1.125,0.25,2.0,11.923493195308112,0.42500000000000004,0.25,2.3541666666666665,6.75,2.25,3.5838072328949986,0.3,0.275,1.2083333333333333,1.5,2.75,1.5407667715110644,0.275,0.275,0.9999999999999999,0.5,2.0,11.460269353673505,0.5,11.607661176728742,0.75,11.748910741668539,0.75,12.898192155052207,0.5,10.741176959905943,0.5,12.181961913998737,0.75,11.6262763269016,0.5,11.923493195308112,0.75,3.8666666666666667,96.66666666666667,3.688888888888889,92.22222222222223,2.3333333333333335,58.333333333333336
11.757987044052403,0.525,0.125,4.375,9.25,1.0,3.250607171351062,0.15,0.15,1.125,0.25,1.75,1.4066969185001152,0.15,0.15,1.125,0.25,3.25,10.575246201515236,0.325,0.15000000000000002,2.25,4.0,1.5,3.2222089296442897,0.175,0.175,1.0,0.0,1.75,1.4065725254618469,0.175,0.175,1.0,0.0,1.75,7.842411429991362,0.375,0.15000000000000002,1.8333333333333333,6.25,2.0,3.7349730934734877,0.2,0.15000000000000002,1.375,1.0,1.0,1.4064481324235787,0.175,0.175,1.125,0.25,1.0,18.21668200436212,0.42500000000000004,0.125,4.0,9.5,1.0,3.2739750661962126,0.15,0.125,1.25,1.0,2.0,1.3999999999999992,0.15,0.125,1.25,0.5,1.0,13.34441386379413,0.4,0.2,2.4583333333333335,6.5,2.5,3.5703280399073005,0.275,0.25,1.325,1.0,1.5,1.4000621965191333,0.25,0.25,1.0,0.0,1.0,10.767221793310611,0.32499999999999996,0.125,3.0,3.75,1.0,3.356000416221307,0.125,0.125,1.125,0.25,2.0,1.3999999999999992,0.125,0.125,1.0,0.0,1.25,12.731109953864582,0.45,0.2,2.4166666666666665,5.25,2.0,3.363702166447463,0.25,0.22500000000000003,1.2083333333333333,0.5,1.75,1.4542903755105643,0.22500000000000003,0.22500000000000003,1.125,0.25,1.0,10.689633376364469,0.39999999999999997,0.2,1.9583333333333335,4.75,1.75,3.4185155100065927,0.22499999999999998,0.22499999999999998,1.1666666666666665,0.5,1.25,1.4044231479873204,0.22499999999999998,0.22499999999999998,1.0416666666666665,0.25,1.0,11.757987044052403,0.625,10.575246201515236,0.5,10.456548573321816,0.5,18.21668200436212,0.75,13.34441386379413,0.75,10.767221793310611,0.625,12.731109953864582,0.75,10.689633376364469,0.5833333333333333,3.8958333333333335,97.39583333333334,3.625,90.625,2.1041666666666665,52.604166666666664
6.818422860393506,0.35,0.125,1.5,3.5,2.0,3.621576879534858,0.175,0.15000000000000002,1.111111111111111,0.5,2.25,1.4264179838784337,0.175,0.15000000000000002,1.1666666666666667,0.25,1.0,8.100075875920437,0.225,0.175,1.7083333333333333,2.25,3.25,3.7129257370876023,0.19999999999999998,0.2,1.1666666666666665,0.5,2.5,1.4348469085014621,0.19999999999999998,0.2,1.1666666666666665,0.5,1.0,11.09040158097968,0.3,0.2,1.7083333333333333,3.25,2.75,5.1790016692841885,0.225,0.2,1.1666666666666667,1.5,1.0,1.4084270337479987,0.22499999999999998,0.22500000000000003,1.0416666666666667,0.25,1.0,16.956450341153328,0.42500000000000004,0.15,3.75,7.25,1.75,3.688091389858396,0.2,0.2,1.1666666666666665,0.25,2.5,1.4093726495096142,0.2,0.2,1.0,0.0,1.0,13.052263134676469,0.3,0.15000000000000002,2.6666666666666665,6.25,2.0,3.572329942435085,0.22500000000000003,0.15000000000000002,1.75,1.5,2.25,1.4030573510207331,0.2,0.175,1.125,0.5,2.5,12.22340679749981,0.325,0.125,2.875,5.5,2.5,3.5471467984593876,0.2,0.15000000000000002,1.25,0.5,1.0,1.408459920977128,0.15000000000000002,0.15000000000000002,1.0,0.0,2.25,16.41607611511419,0.49999999999999994,0.2,4.333333333333333,8.5,2.75,4.925162966725817,0.275,0.25,1.1666666666666667,1.25,1.25,1.400962059376179,0.275,0.275,1.0416666666666665,0.25,2.5,11.578415864712792,0.55,0.1,3.625,11.0,1.0,3.688253522677633,0.125,0.125,1.125,0.25,1.75,1.4108051399127888,0.125,0.125,1.0,0.0,1.5,9.091230480524674,0.5,8.100075875920437,0.5,11.09040158097968,0.75,16.956450341153328,0.6666666666666666,13.052263134676469,0.75,12.22340679749981,0.5,15.058910388444058,0.75,15.437887819617055,0.5,3.9130434782608696,97.82608695652173,3.6739130434782608,91.84782608695652,2.0869565217391304,52.17391304347826
4.723170306406483,0.175,0.1,1.1666666666666667,1.5,1.0,3.4578901386750274,0.1,0.1,1.3333333333333333,0.25,1.0,1.4197207834862524,0.1,0.1,1.3333333333333333,0.25,1.0,11.614856463415627,0.325,0.175,2.125,4.75,1.75,3.4258493608585874,0.22500000000000003,0.2,1.25,0.75,1.75,1.4284726943072057,0.22500000000000003,0.225,1.1875,0.5,2.75,10.65298660225779,0.475,0.175,3.1666666666666665,8.0,2.0,3.9649566602105133,0.22500000000000003,0.2,1.25,0.75,1.0,1.4128838599997893,0.2,0.2,1.125,0.25,2.5,10.203895576501814,0.325,0.125,2.875,4.25,1.0,3.57729377853956,0.15,0.15,1.125,0.5,1.75,1.4073952938073444,0.15,0.15,1.0,0.0,1.25,10.05102918525927,0.3,0.22499999999999998,1.75,2.75,1.5,3.2408951403902257,0.25,0.22499999999999998,1.2083333333333333,1.25,1.75,1.4151449253671287,0.25,0.25,1.2291666666666667,0.5,2.25,14.498703307660051,0.525,0.125,4.5,10.0,1.0,3.5573447249746564,0.15,0.15,1.125,0.5,1.0,1.4073952938073444,0.15,0.15,1.0,0.0,1.0,17.84715987222487,0.375,0.125,3.5,6.25,1.0,3.3759831863294325,0.15,0.125,1.375,0.75,3.25,1.4266048706404986,0.15,0.15000000000000002,1.25,0.5,2.0,5.7200821986437065,0.3,0.125,1.75,2.5,1.75,2.516419341731609,0.2,0.15000000000000002,0.9583333333333333,1.0,1.75,1.4281032006664807,0.2,0.17500000000000002,1.3333333333333333,0.5,2.25,6.906671621690104,0.125,11.614856463415627,0.6666666666666666,10.65298660225779,0.75,10.203895576501814,0.75,10.05102918525927,0.5,14.498703307660051,0.75,17.84715987222487,0.75,7.626776264858275,0.25,3.92,98.0,3.44,86.0,2.2,55.00000000000001
15.321566523189073,0.5,0.125,4.5,7.75,1.0,3.042763867474391,0.15,0.15,1.125,0.25,1.0,1.3999999999999995,0.15,0.15,1.125,0.25,3.0,7.286515523268766,0.15000000000000002,0.1,2.0,1.75,1.75,3.1321411681573115,0.125,0.1,1.25,0.75,1.0,1.3999999999999992,0.125,0.1,1.3333333333333333,0.25,2.5,9.822548861888398,0.35,0.25,1.8333333333333335,3.75,2.5,3.5097710289170343,0.3,0.25,1.1666666666666667,1.0,1.75,1.3999999999999995,0.30000000000000004,0.275,1.0833333333333333,0.5,1.5,13.915049229141346,0.44999999999999996,0.125,4.0,8.75,1.5,3.087963514025864,0.175,0.125,1.625,0.75,2.0,1.3999999999999992,0.15000000000000002,0.15000000000000002,1.0,0.0,1.5,9.993380562341422,0.42500000000000004,0.30000000000000004,2.041666666666667,3.75,2.75,3.239387133913781,0.325,0.30000000000000004,1.2708333333333333,1.25,1.75,1.3999999999999997,0.325,0.30000000000000004,1.2708333333333333,0.75,1.0,7.854029752455343,0.35,0.125,1.25,4.75,1.25,3.276239313155747,0.15000000000000002,0.125,1.125,0.25,1.25,1.3999999999999992,0.125,0.125,1.0,0.0,1.5,7.635109592122497,0.22499999999999998,0.175,1.0,3.0,2.5,3.1444011396457205,0.175,0.175,0.6666666666666666,0.75,1.25,1.0499999999999992,0.17500000000000002,0.175,0.6666666666666666,0.25,2.25,12.370151112726917,0.4,0.1,2.75,6.75,1.0,3.2281604653754523,0.125,0.125,1.125,0.5,2.25,1.3999999999999995,0.125,0.125,1.0,0.0,1.0,15.321566523189073,0.875,7.610668079446949,0.5,9.822548861888398,0.6666666666666666,13.915049229141346,0.75,9.993380562341422,0.5833333333333333,10.472039669940457,0.375,12.62335743917034,0.5,16.493534816969223,0.625,3.851063829787234,96.27659574468085,3.574468085106383,89.36170212765957,2.148936170212766,53.72340425531915
12.265692949679222,0.42000000000000004,0.13999999999999999,3.3,7.0,1.2,3.603667579969783,0.18,0.15999999999999998,1.3333333333333335,0.8,1.8,1.4310358000543224,0.18,0.15999999999999998,1.2,0.2,1.2,10.873901539110332,0.38,0.28,1.9166666666666667,4.6,2.6,3.81673977998724,0.3,0.28,1.2,1.4,2.2,1.535785225627461,0.3,0.27999999999999997,1.0833333333333333,0.4,1.8,8.012400678372158,0.3,0.18,2.4,3.0,2.2,3.294585456412179,0.2,0.18,1.2,0.6,2.2,1.4033077678835082,0.2,0.2,1.1,0.2,2.2,14.604923294954693,0.38,0.22000000000000003,2.3833333333333333,7.0,2.6,3.4847430649357607,0.28,0.24,1.25,1.2,2.6,1.4650104771284869,0.26,0.26,1.1,0.4,1.2,6.091189673994916,0.36,0.06000000000000001,1.5,7.6,1.2,2.7882248082516554,0.1,0.1,0.625,0.2,1.8,1.0525357708013052,0.1,0.1,0.625,0.2,1.8,6.780474828119014,0.2,0.13999999999999999,0.9,1.6,2.8,3.497542135069716,0.18,0.18,1.2,0.6,1.4,1.5175764852237055,0.18,0.18,1.2,0.6,1.0,9.475666642468655,0.24,0.1,1.5,2.6,1.2,3.3439792387937834,0.13999999999999999,0.12,1.625,0.6,2.8,1.399999999999999,0.13999999999999999,0.12,1.2,0.2,2.4,12.658447721437586,0.38,0.12,3.5,6.8,1.2,3.3809093332470397,0.16,0.12,1.5,1.0,3.4,1.1239107135789574,0.16,0.12,0.9,0.6,1.2,12.265692949679222,0.7,10.873901539110332,0.6666666666666666,8.012400678372158,0.6,14.604923294954693,0.6666666666666667,12.182379347989832,0.2,8.475593535148768,0.5,12.62119904842035,0.6,12.658447721437586,0.7,3.8823529411764706,97.05882352941177,3.5294117647058822,88.23529411764706,2.0980392156862746,52.450980392156865
14.037391266332508,0.44999999999999996,0.125,3.875,7.5,1.0,3.1387049406861753,0.15,0.125,1.375,0.75,1.5,1.3999999999999995,0.15000000000000002,0.125,1.25,0.25,1.75,13.891283250775086,0.575,0.2,3.2916666666666665,10.5,1.75,3.1485350045129117,0.25,0.22500000000000003,1.25,1.0,3.0,1.404209594579321,0.25,0.25,1.0625,0.25,1.0,9.427754884568573,0.375,0.125,3.125,5.5,1.0,3.198925375767433,0.125,0.125,1.125,0.25,1.0,1.3999999999999992,0.125,0.125,1.0,0.0,1.25,6.864268485576866,0.3,0.175,2.083333333333333,2.5,2.0,3.413199960188201,0.2,0.2,1.3333333333333333,0.5,1.75,1.3999999999999992,0.2,0.2,1.1666666666666665,0.25,2.25,8.162130767448758,0.325,0.175,1.1666666666666667,3.75,2.25,2.7111186636495117,0.25,0.175,1.0,1.5,1.0,1.3999999999999992,0.2,0.2,1.0,0.0,2.5,8.646453548452252,0.4,0.22500000000000003,2.888888888888889,6.75,2.5,4.053571443051212,0.275,0.25,1.0833333333333333,0.75,1.0,1.399999999999999,0.25,0.25,0.9999999999999999,0.25,1.75,13.684714664160428,0.47500000000000003,0.15000000000000002,4.0,10.25,1.5,3.2265271847456654,0.175,0.15000000000000002,1.375,0.75,1.5,1.4556853460423456,0.15000000000000002,0.15000000000000002,1.125,0.25,1.0,11.765027247539981,0.375,0.125,3.5,4.75,1.0,3.1139446380803526,0.15,0.125,1.25,0.5,2.5,1.3999999999999995,0.15,0.15000000000000002,1.125,0.25,1.5,14.037391266332508,0.625,13.891283250775086,0.625,9.427754884568573,0.5,6.864268485576866,0.29166666666666663,10.88284102326501,0.5,11.061084898913258,0.625,13.684714664160428,0.75,11.765027247539981,0.625,3.851063829787234,96.27659574468085,3.723404255319149,93.08510638297872,2.106382978723404,52.659574468085104
8.055276761158044,0.47500000000000003,0.15000000000000002,1.875,9.25,2.5,4.962443064119713,0.22500000000000003,0.175,1.3333333333333333,1.25,1.0,1.436005194715946,0.2,0.2,1.1666666666666665,0.25,1.5,14.703870863548447,0.44999999999999996,0.17500000000000002,3.4583333333333335,7.25,2.25,3.4448408817401095,0.275,0.22500000000000003,1.3333333333333333,1.25,1.25,1.4123756391696556,0.22499999999999998,0.22500000000000003,1.2083333333333333,0.5,1.75,15.053433271403495,0.45000000000000007,0.15,3.5,8.5,1.75,3.398434008587554,0.22500000000000003,0.175,1.375,1.0,1.75,1.4463262020617327,0.22500000000000003,0.2,1.2916666666666665,0.5,3.25,12.687591654302393,0.375,0.125,4.666666666666667,4.5,2.0,3.530123756846223,0.2,0.175,1.25,0.75,1.5,1.4532920370263387,0.2,0.175,1.25,0.5,1.25,13.618862656287622,0.25,0.125,2.125,4.0,1.0,3.1852750731011077,0.125,0.125,1.3333333333333333,0.75,3.25,1.3999999999999997,0.125,0.125,1.3333333333333333,0.25,1.0,14.362297844826982,0.475,0.15000000000000002,3.375,7.75,1.5,3.549491049855335,0.175,0.15000000000000002,1.25,0.75,1.5,1.422297126749564,0.175,0.15,1.375,0.5,1.25,6.065899117172873,0.225,0.1,1.3333333333333333,2.0,2.0,3.4298576315115867,0.125,0.125,1.222222222222222,0.25,2.0,1.4154564168205483,0.125,0.125,1.0,0.0,2.0,7.0882872967159205,0.32499999999999996,0.15000000000000002,1.5,3.25,1.75,3.4518189393773806,0.15000000000000002,0.15000000000000002,1.5,0.5,2.25,1.414864751166376,0.15000000000000002,0.15000000000000002,1.0,0.0,2.5,10.740369014877393,0.5,14.703870863548447,0.5,15.053433271403495,0.625,13.972881103085005,0.75,13.618862656287622,0.625,14.362297844826982,0.75,9.09884867575931,0.25,9.45104972895456,0.25,3.8979591836734695,97.44897959183673,3.5306122448979593,88.26530612244898,2.122448979591837,53.06122448979592
3.699552779260617,0.175,0.1,0.3333333333333333,1.75,2.5,3.656711124338076,0.125,0.1,1.1666666666666667,0.25,2.25,1.4267983859732052,0.125,0.125,1.0,0.0,2.5,13.34415022153171,0.525,0.22500000000000003,2.9999999999999996,8.25,2.25,5.940988181236457,0.3,0.25,1.2916666666666667,1.75,1.0,1.437801654129927,0.275,0.25,1.125,0.25,1.0,7.065877304799064,0.4,0.07500000000000001,3.0,6.25,1.0,3.2062947433754454,0.1,0.1,1.0,0.0,1.75,1.4660703843616916,0.1,0.1,1.0,0.0,1.75,11.465447132389095,0.5,0.175,1.9166666666666667,7.5,1.75,3.5171040647588927,0.17500000000000002,0.175,1.0,0.5,2.0,1.4157473495015709,0.175,0.175,1.0,0.0,2.75,10.264114690329878,0.375,0.17500000000000002,1.625,6.25,2.5,3.4798380202317034,0.25,0.2,1.4375,1.5,2.5,1.4330583547917912,0.2,0.2,0.9999999999999999,0.25,2.5,15.615053261176394,0.7249999999999999,0.1,7.25,14.75,1.25,3.511278608173328,0.15000000000000002,0.125,1.25,0.75,1.5,1.4734139475578947,0.125,0.125,1.125,0.25,2.0,14.73698167325412,0.625,0.22499999999999998,2.7916666666666665,10.75,2.5,3.8693008381026988,0.275,0.25,1.25,0.75,1.5,1.4446447708133883,0.275,0.25,1.125,0.25,2.0,11.967234910222988,0.325,0.125,2.75,4.75,1.75,3.46991647869832,0.2,0.15000000000000002,1.375,1.0,1.0,1.4403787553770484,0.175,0.15000000000000002,1.25,0.75,1.25,8.493400731841861,0.25,13.34415022153171,0.75,9.421169739732084,0.25,15.28726284318546,0.5833333333333333,13.68548625377317,0.625,15.615053261176394,0.75,14.73698167325412,0.625,11.967234910222988,0.75,3.8043478260869565,95.1086956521739,3.5,87.5,1.934782608695652,48.369565217391305
14.461440153016657,0.375,0.175,2.75,6.5,2.5,3.6589307027425555,0.25,0.225,1.125,0.5,2.75,1.502885765096067,0.25,0.225,1.125,0.5,2.25,13.611031562531924,0.35,0.125,3.375,4.5,1.0,3.2354266514628334,0.15,0.125,1.25,0.5,1.5,1.4152115282855997,0.15,0.125,1.25,0.5,1.0,9.591241565532847,0.375,0.15,2.2083333333333335,5.75,2.25,4.026901078530413,0.22500000000000003,0.2,1.1666666666666665,0.5,1.75,1.516315017300514,0.22500000000000003,0.22500000000000003,1.0416666666666665,0.25,3.25,12.66475546726868,0.4,0.17500000000000002,2.75,7.25,1.5,3.6138125042689384,0.22499999999999998,0.2,1.25,1.0,1.75,1.6093216526909055,0.22499999999999998,0.19999999999999998,1.25,0.25,2.0,12.142623053484929,0.375,0.1,2.75,7.5,1.25,2.8334439686378827,0.1,0.1,0.625,0.25,1.0,1.1113472402624403,0.1,0.1,0.625,0.25,1.0,16.034224002647083,0.30000000000000004,0.125,2.75,4.75,1.5,3.6953366065642133,0.175,0.15000000000000002,1.25,0.5,1.0,1.443850406932243,0.15000000000000002,0.15000000000000002,1.125,0.25,2.5,8.028395347027757,0.5,0.15000000000000002,2.25,8.25,2.5,4.949317215600889,0.25,0.2,1.1666666666666667,1.0,1.25,1.5271575671723727,0.225,0.2,1.0833333333333333,0.25,1.75,8.518073267951715,0.35,0.1,1.625,5.0,1.0,3.8841181448494213,0.125,0.125,1.125,0.25,2.0,1.6530043077368737,0.125,0.125,1.0,0.0,2.25,14.461440153016657,0.75,13.611031562531924,0.75,12.78832208737713,0.625,12.66475546726868,0.625,16.190164071313237,0.5,16.034224002647083,0.75,10.704527129370343,0.625,11.35743102393562,0.5,3.877551020408163,96.93877551020408,3.4693877551020407,86.73469387755102,1.8979591836734695,47.44897959183674
