iteration,agents_changed,n_changed,ergodic,J,rho_wf0,rho_wf1,rho_wf2,rho_wf3,u_node0,u_node1,u_node2,r_s0,r_s1,r_s2,r_s3,r_s4,r_s5,r_s6,r_s7
1,[0],1,True,48.8115,0.9211,0.9211,0.7071,0.7071,70.71,93.68,19.19,1,4,1,4,1,1,1,1
2,[],0,True,48.8115,0.9211,0.9211,0.7071,0.7071,70.71,93.68,19.19,1,4,1,4,1,1,1,1
