s0_avg_latency,s0_arrival_rate,s0_departure_rate,s0_avg_throughput,s0_avg_queue_size,s0_avg_threads,s1_avg_latency,s1_arrival_rate,s1_departure_rate,s1_avg_throughput,s1_avg_queue_size,s1_avg_threads,s2_avg_latency,s2_arrival_rate,s2_departure_rate,s2_avg_throughput,s2_avg_queue_size,s2_avg_threads,s3_avg_latency,s3_arrival_rate,s3_departure_rate,s3_avg_throughput,s3_avg_queue_size,s3_avg_threads,s4_avg_latency,s4_arrival_rate,s4_departure_rate,s4_avg_throughput,s4_avg_queue_size,s4_avg_threads,s5_avg_latency,s5_arrival_rate,s5_departure_rate,s5_avg_throughput,s5_avg_queue_size,s5_avg_threads,s6_avg_latency,s6_arrival_rate,s6_departure_rate,s6_avg_throughput,s6_avg_queue_size,s6_avg_threads,s7_avg_latency,s7_arrival_rate,s7_departure_rate,s7_avg_throughput,s7_avg_queue_size,s7_avg_threads,s8_avg_latency,s8_arrival_rate,s8_departure_rate,s8_avg_throughput,s8_avg_queue_size,s8_avg_threads,s9_avg_latency,s9_arrival_rate,s9_departure_rate,s9_avg_throughput,s9_avg_queue_size,s9_avg_threads,s10_avg_latency,s10_arrival_rate,s10_departure_rate,s10_avg_throughput,s10_avg_queue_size,s10_avg_threads,s11_avg_latency,s11_arrival_rate,s11_departure_rate,s11_avg_throughput,s11_avg_queue_size,s11_avg_threads,s12_avg_latency,s12_arrival_rate,s12_departure_rate,s12_avg_throughput,s12_avg_queue_size,s12_avg_threads,s13_avg_latency,s13_arrival_rate,s13_departure_rate,s13_avg_throughput,s13_avg_queue_size,s13_avg_threads,s14_avg_latency,s14_arrival_rate,s14_departure_rate,s14_avg_throughput,s14_avg_queue_size,s14_avg_threads,s15_avg_latency,s15_arrival_rate,s15_departure_rate,s15_avg_throughput,s15_avg_queue_size,s15_avg_threads,s16_avg_latency,s16_arrival_rate,s16_departure_rate,s16_avg_throughput,s16_avg_queue_size,s16_avg_threads,s17_avg_latency,s17_arrival_rate,s17_departure_rate,s17_avg_throughput,s17_avg_queue_size,s17_avg_threads,s18_avg_latency,s18_arrival_rate,s18_departure_rate,s18_avg_throughput,s18_avg_queue_size,s18_avg_threads,s19_avg_latency,s19_arrival_rate,s19_departure_rate,s19_avg_throughput,s19_avg_queue_size,s19_avg_threads,s20_avg_latency,s20_arrival_rate,s20_departure_rate,s20_avg_throughput,s20_avg_queue_size,s20_avg_threads,s21_avg_latency,s21_arrival_rate,s21_departure_rate,s21_avg_throughput,s21_avg_queue_size,s21_avg_threads,s22_avg_latency,s22_arrival_rate,s22_departure_rate,s22_avg_throughput,s22_avg_queue_size,s22_avg_threads,s23_avg_latency,s23_arrival_rate,s23_departure_rate,s23_avg_throughput,s23_avg_queue_size,s23_avg_threads,s24_avg_latency,s24_arrival_rate,s24_departure_rate,s24_avg_throughput,s24_avg_queue_size,s24_avg_threads,s25_avg_latency,s25_arrival_rate,s25_departure_rate,s25_avg_throughput,s25_avg_queue_size,s25_avg_threads,s26_avg_latency,s26_arrival_rate,s26_departure_rate,s26_avg_throughput,s26_avg_queue_size,s26_avg_threads,wf0_avg_e2e_latency,wf0_violation_rate,wf1_avg_e2e_latency,wf1_violation_rate,wf2_avg_e2e_latency,wf2_violation_rate,wf3_avg_e2e_latency,wf3_violation_rate,wf4_avg_e2e_latency,wf4_violation_rate,wf5_avg_e2e_latency,wf5_violation_rate,wf6_avg_e2e_latency,wf6_violation_rate,wf7_avg_e2e_latency,wf7_violation_rate,wf8_avg_e2e_latency,wf8_violation_rate,node0_avg_cpu_threads,node0_cpu_usage_pct,node1_avg_cpu_threads,node1_cpu_usage_pct,node2_avg_cpu_threads,node2_cpu_usage_pct
12.117994658685554,0.45,0.125,2.25,7.0,1.75,2.731374534076408,0.175,0.15000000000000002,0.75,0.5,1.75,1.4109477661232133,0.175,0.175,1.0,0.0,3.25,9.559869486266958,0.35000000000000003,0.175,2.75,4.5,2.5,4.136948232879017,0.22500000000000003,0.2,1.25,0.75,1.75,1.4084884183187543,0.22500000000000003,0.2,1.125,0.5,1.75,11.386665558270042,0.5,0.1,5.0,7.25,1.25,3.2831039964662674,0.15000000000000002,0.125,1.25,0.75,2.0,1.4082570356919684,0.125,0.125,1.125,0.25,1.75,12.49316078984807,0.5,0.175,3.0,8.25,2.25,3.412863384747796,0.22499999999999998,0.2,1.2916666666666665,0.75,1.0,1.41642164918482,0.2,0.2,1.0,0.0,2.0,9.76635429754643,0.275,0.1,3.6666666666666665,4.25,1.25,3.4887624041866356,0.125,0.125,1.125,0.25,1.0,1.432495225452835,0.125,0.125,1.125,0.25,1.5,12.856034360890805,0.625,0.15000000000000002,4.375,11.25,2.0,4.107026409270166,0.2,0.175,1.5416666666666667,1.0,1.0,1.410947766123213,0.2,0.2,1.125,0.25,3.25,11.785343576543786,0.27499999999999997,0.2,2.1875,3.25,2.5,3.8208537126525286,0.225,0.2,1.25,1.5,2.25,1.3999999999999995,0.22499999999999998,0.22500000000000003,1.1875,0.5,3.25,15.784283393664941,0.5,0.1,5.0,11.25,1.5,3.4277341727118893,0.125,0.125,1.125,0.25,2.25,1.400348072916805,0.125,0.125,1.0,0.0,2.5,14.167810405418054,0.35,0.07500000000000001,4.666666666666667,4.5,1.0,3.225920151294989,0.1,0.07500000000000001,1.3333333333333333,0.75,1.25,1.3999999999999992,0.1,0.07500000000000001,1.3333333333333333,0.5,1.75,16.157326211580738,0.625,9.559869486266958,0.75,11.386665558270042,0.5,12.49316078984807,0.625,9.691151184423344,0.5,12.856034360890805,0.75,11.785343576543786,0.6875,15.784283393664941,0.75,14.167810405418054,0.5,3.8863636363636362,97.1590909090909,3.522727272727273,88.06818181818183,2.1818181818181817,54.54545454545454
5.778742339665563,0.32499999999999996,0.175,1.125,3.0,1.75,3.2889092161538755,0.17500000000000002,0.17500000000000002,1.375,0.5,3.25,1.4087205452220144,0.17500000000000002,0.17500000000000002,1.0,0.0,1.0,9.858960147322396,0.5,0.15000000000000002,1.9583333333333335,7.5,1.75,3.887639701382062,0.2,0.175,1.2916666666666667,1.0,1.0,1.3999999999999992,0.175,0.175,1.1666666666666667,0.5,1.5,5.163181657211032,0.225,0.07500000000000001,2.0,2.0,1.5,3.219483664269782,0.1,0.07500000000000001,1.3333333333333333,0.5,1.5,1.4116273936293526,0.1,0.1,1.1666666666666667,0.25,1.75,13.403564493069652,0.30000000000000004,0.125,3.6666666666666665,6.25,1.25,3.44835414948995,0.15,0.15,1.125,0.25,2.5,1.4043602726110072,0.15,0.15,1.125,0.25,1.0,15.81837221966649,0.55,0.125,5.0,8.5,1.0,3.178782530641537,0.15,0.125,1.375,0.75,2.25,1.3999999999999995,0.15,0.125,1.375,0.75,1.75,12.276797957491034,0.375,0.125,3.5,4.75,1.75,3.430567529055243,0.225,0.15000000000000002,1.5,1.25,1.5,1.404360272611007,0.175,0.175,1.0,0.0,2.75,6.393311487175018,0.225,0.07500000000000001,2.1666666666666665,2.25,1.5,2.2837778039527805,0.1,0.1,0.5,0.25,1.0,1.3999999999999986,0.1,0.1,1.0,0.0,1.0,7.400377252558249,0.25,0.17500000000000002,1.875,2.0,2.5,3.466738604229575,0.22499999999999998,0.2,1.125,0.5,2.25,1.569964492708026,0.22499999999999998,0.2,1.125,0.5,1.0,12.84257020888499,0.45,0.175,3.0833333333333335,7.25,2.0,3.2059936758879366,0.225,0.175,1.3333333333333333,1.0,1.25,1.3999999999999995,0.2,0.2,1.1875,0.25,2.25,7.70498978622075,0.25,13.14528019642986,0.625,6.884242209614709,0.25,16.18352430197573,0.75,15.81837221966649,0.75,12.276797957491034,0.75,9.589967230762527,0.375,7.400377252558249,0.3333333333333333,12.84257020888499,0.75,3.9166666666666665,97.91666666666666,3.5416666666666665,88.54166666666666,1.9791666666666667,49.47916666666667
7.474957276123163,0.275,0.15000000000000002,1.5833333333333333,2.75,2.25,4.804155394291905,0.2,0.175,1.222222222222222,1.0,1.5,1.4214357484083777,0.175,0.175,1.222222222222222,0.25,2.5,8.108865510378942,0.35,0.2,1.8333333333333333,3.0,2.5,3.6625168886995283,0.25,0.22500000000000003,1.3333333333333333,1.0,1.0,1.3999999999999992,0.25,0.22499999999999998,1.125,0.25,2.5,10.889274306214293,0.275,0.1,2.0,3.75,1.0,2.43698693999392,0.1,0.1,0.625,0.25,1.0,1.3999999999999988,0.1,0.1,1.0,0.0,1.5,8.932584016683322,0.425,0.15000000000000002,4.333333333333333,8.0,2.0,3.4954815727741773,0.22500000000000003,0.2,1.25,0.75,1.75,1.4687609487674649,0.22500000000000003,0.2,1.25,0.5,1.0,4.741337164648906,0.225,0.1,1.25,4.0,1.75,2.95864284524531,0.125,0.1,0.5,1.0,1.0,0.9673702358479078,0.1,0.1,0.5,0.5,1.75,12.911132323814126,0.42500000000000004,0.125,4.125,5.25,1.0,3.4477123250120094,0.15,0.125,1.25,0.75,1.75,1.4037665598040154,0.125,0.125,1.3333333333333333,0.5,3.25,14.787502126926986,0.35,0.1,3.5,6.75,1.0,3.490842707998171,0.125,0.1,1.25,0.75,2.25,1.4098926211388363,0.1,0.1,1.3333333333333333,0.5,1.25,7.686442586303539,0.37500000000000006,0.2,2.1875,4.5,3.25,2.6584419068902063,0.275,0.2,0.8333333333333333,2.0,3.25,1.0627638384429652,0.25,0.25,0.6875,0.5,2.75,7.314293718953858,0.2,0.1,2.0,2.25,2.0,3.596808255783738,0.15000000000000002,0.125,1.5,0.75,1.0,1.4049463105694178,0.125,0.125,1.1666666666666667,0.25,2.5,9.966609701497552,0.625,8.108865510378942,0.5,14.519032408285725,0.5,9.739089814368413,0.5,14.065942017441117,0.5,12.911132323814126,0.625,14.787502126926986,0.75,7.686442586303539,0.5,7.314293718953858,0.5,3.875,96.875,3.5833333333333335,89.58333333333334,2.0416666666666665,51.041666666666664
12.054192277359425,0.5750000000000001,0.15000000000000002,4.0,11.0,2.0,3.644796306623188,0.22500000000000003,0.2,1.125,0.25,3.25,1.5424027514254217,0.22500000000000003,0.22500000000000003,1.0,0.0,2.0,11.91103611137133,0.35,0.125,3.0,4.75,1.0,3.1607014752508307,0.15,0.125,1.25,1.0,1.5,1.3999999999999997,0.125,0.125,1.3333333333333333,0.25,1.5,15.310547300362165,0.42499999999999993,0.1,4.25,10.25,1.5,3.003474535532385,0.125,0.1,0.875,0.5,2.75,1.6870143622059028,0.125,0.125,1.0,0.0,2.75,10.966419766134587,0.27499999999999997,0.1,1.625,5.0,1.0,3.25955062779852,0.125,0.1,1.25,0.75,3.0,1.3999999999999995,0.125,0.1,1.25,0.75,1.0,10.107247379747925,0.35,0.2,2.5,4.0,2.5,3.588498897659358,0.275,0.225,1.4375,1.5,1.75,1.4234860164160008,0.25,0.22500000000000003,1.25,0.75,3.25,13.022110121854016,0.5,0.2,2.625,5.5,2.25,3.414497338392017,0.25,0.2,1.375,1.0,2.25,1.4989439340708957,0.22499999999999998,0.22500000000000003,1.1666666666666667,0.5,1.5,10.44876969893307,0.4,0.1,4.0,5.25,1.75,3.028413306678998,0.2,0.1,0.875,1.25,1.75,1.7125981354943653,0.125,0.125,1.0,0.0,1.75,10.143333517775599,0.4,0.07500000000000001,3.25,8.0,1.0,2.2694297376247285,0.1,0.07500000000000001,0.375,0.5,1.0,1.3267783554586245,0.1,0.1,0.625,0.25,1.75,11.07511702335704,0.575,0.125,4.875,9.5,1.5,3.7307610426582585,0.175,0.15,1.375,0.5,2.0,1.5845246722819837,0.175,0.175,1.0,0.0,1.75,12.054192277359425,0.75,11.91103611137133,0.5,15.310547300362165,0.75,14.621893021512783,0.625,10.107247379747925,0.75,13.022110121854016,0.75,10.44876969893307,0.75,13.524444690367465,0.5,11.07511702335704,0.75,3.869565217391304,96.73913043478261,3.630434782608696,90.76086956521739,2.130434782608696,53.2608695652174
6.545442442273423,0.32500000000000007,0.1,0.625,5.5,2.0,3.588886168859538,0.175,0.15000000000000002,1.125,0.25,1.5,1.428123182721445,0.15000000000000002,0.15000000000000002,1.0,0.0,1.5,10.065206360437625,0.35000000000000003,0.07500000000000001,2.75,6.75,1.75,3.7967424489567847,0.125,0.1,1.6666666666666667,0.5,2.75,1.5995758427776323,0.125,0.1,1.25,0.25,1.0,9.12400794198728,0.42500000000000004,0.125,2.6666666666666665,8.0,2.25,3.426736398208733,0.2,0.125,1.25,1.25,2.25,1.0844550274255973,0.2,0.175,0.75,0.75,3.25,10.472556605092933,0.27499999999999997,0.15000000000000002,2.0,4.0,1.75,3.860601797763525,0.175,0.15,1.375,0.75,1.0,1.5463055657918663,0.175,0.175,1.0,0.0,1.5,13.998227469552198,0.525,0.2,3.25,9.25,2.75,5.865368806691133,0.275,0.22500000000000003,1.3333333333333333,1.75,1.25,1.5630454615986196,0.25,0.25,1.0,0.0,2.5,10.424946712414824,0.375,0.15000000000000002,2.5,4.5,1.75,4.176371342744327,0.175,0.15,1.375,0.75,1.0,1.597064319750415,0.175,0.15,1.25,0.25,1.25,7.402526769894119,0.325,0.125,1.5,4.0,1.5,3.7263186896853533,0.175,0.15000000000000002,1.375,0.75,1.0,1.462748730889777,0.15,0.15,1.0,0.0,2.25,14.578845913413069,0.4,0.1,4.0,6.25,1.0,2.474732795688438,0.125,0.1,0.875,0.5,1.5,1.054907722394511,0.125,0.1,0.75,0.25,2.0,13.21849217970379,0.375,0.175,2.7083333333333335,6.25,2.75,4.773470366188556,0.25,0.225,1.3125,1.5,1.75,1.5505664292311723,0.22500000000000003,0.22500000000000003,1.0,0.0,1.25,13.090884884546846,0.375,13.420275147250166,0.5,12.165343922649706,0.5,10.472556605092933,0.75,13.998227469552198,0.625,10.424946712414824,0.75,9.87003569319216,0.5,14.578845913413069,0.75,13.21849217970379,0.75,3.911111111111111,97.77777777777777,3.688888888888889,92.22222222222223,2.088888888888889,52.22222222222223
9.291654755527903,0.32499999999999996,0.1,2.625,4.0,1.0,2.640612854317091,0.1,0.1,0.625,0.25,1.0,1.4006308685112838,0.1,0.1,1.0,0.0,1.75,6.712936667080063,0.375,0.1,2.375,7.0,1.0,3.729716146950024,0.125,0.125,1.125,0.25,1.5,1.4265008822339227,0.125,0.125,1.125,0.25,2.0,11.76175544124476,0.325,0.175,2.5,4.5,2.0,3.6570748360857364,0.22500000000000003,0.2,1.1666666666666667,0.75,1.0,1.4092706118668528,0.22500000000000003,0.2,1.125,0.25,1.0,9.833766226556929,0.42500000000000004,0.15000000000000002,3.0,5.0,1.75,3.60092400760941,0.22500000000000003,0.2,1.125,0.5,1.5,1.4300631188957122,0.22500000000000003,0.2,1.125,0.5,3.0,7.96352888098423,0.4,0.15000000000000002,1.875,4.5,1.75,2.856806636764516,0.175,0.175,0.6666666666666666,0.5,1.5,1.3999999999999988,0.175,0.175,1.0,0.0,1.25,13.5974450813892,0.32499999999999996,0.125,2.75,4.5,1.25,3.2739543447998614,0.175,0.125,1.5,0.75,2.5,1.400630868511283,0.175,0.15000000000000002,1.25,0.5,1.0,11.612624433599311,0.35,0.1,3.5,5.25,1.0,3.7447448474900913,0.125,0.125,1.125,0.25,1.0,1.4446215269601062,0.125,0.125,1.125,0.25,1.75,8.399734228730512,0.42500000000000004,0.15000000000000002,2.75,5.5,1.75,3.40444991768287,0.175,0.175,1.1666666666666665,0.25,2.0,1.3999999999999992,0.175,0.175,1.0,0.0,1.0,6.519266793314525,0.32499999999999996,0.15000000000000002,1.1666666666666665,3.5,2.25,3.519878043040496,0.225,0.2,2.111111111111111,1.0,1.75,1.4601322600046294,0.2,0.2,1.1666666666666665,0.25,1.0,12.388873007370536,0.5,8.950582222773418,0.25,11.76175544124476,0.75,9.833766226556929,0.625,10.618038507978973,0.5,13.5974450813892,0.75,11.612624433599311,0.5,8.399734228730512,0.375,8.692355724419366,0.41666666666666663,3.9130434782608696,97.82608695652173,3.608695652173913,90.21739130434783,2.0434782608695654,51.08695652173913
13.471507897188276,0.35,0.125,3.25,4.5,1.0,3.6110736771413636,0.125,0.125,1.125,0.25,1.75,1.459198342113737,0.125,0.125,1.125,0.25,2.0,16.62335310897152,0.5249999999999999,0.125,4.875,10.25,1.75,3.3519515154781834,0.2,0.15000000000000002,1.375,1.0,1.5,1.3999999999999992,0.15,0.15,1.0,0.0,1.0,9.924488766629231,0.24999999999999997,0.15000000000000002,2.0,3.5,1.25,3.3562179281977937,0.2,0.2,1.1666666666666667,0.5,1.75,1.3999999999999992,0.2,0.2,1.0,0.0,1.25,6.486736460634089,0.325,0.07500000000000001,3.6666666666666665,4.0,1.0,2.386917819740522,0.1,0.1,0.625,0.25,2.0,1.3999999999999988,0.1,0.1,1.0,0.0,2.75,8.416997023632828,0.225,0.125,2.6666666666666665,2.0,3.25,3.416909580254769,0.2,0.15000000000000002,1.5,1.0,2.5,1.4257821793261807,0.2,0.15000000000000002,1.25,0.5,1.5,7.7962344537518575,0.375,0.25,1.75,2.75,3.25,3.4597420164344497,0.3,0.275,1.2291666666666665,0.75,3.0,1.4198296938236743,0.275,0.275,1.1666666666666665,0.25,1.75,7.400452859039501,0.275,0.125,2.0,2.25,1.75,3.19378397921871,0.125,0.125,1.6666666666666667,0.75,2.5,1.4586168633991643,0.125,0.125,1.0,0.0,2.5,15.034564378486937,0.575,0.125,4.875,9.5,1.25,3.259508773860913,0.15000000000000002,0.15000000000000002,1.125,0.25,1.0,1.4108873797028942,0.15000000000000002,0.15000000000000002,1.0,0.0,3.25,12.932259593729766,0.375,0.125,3.625,4.5,1.0,3.230729002898613,0.15,0.125,1.375,0.75,1.5,1.3999999999999995,0.15,0.15000000000000002,1.125,0.25,1.0,13.471507897188276,0.5,16.62335310897152,0.75,9.924488766629231,0.5,8.666387279098592,0.25,8.731892342543743,0.625,7.7962344537518575,0.25,7.400452859039501,0.25,15.034564378486937,0.75,12.932259593729766,0.75,3.869565217391304,96.73913043478261,3.652173913043478,91.30434782608695,2.0869565217391304,52.17391304347826
11.564682377842356,0.4,0.1,4.0,6.0,1.25,3.4067335912464447,0.15000000000000002,0.125,1.375,0.5,1.25,1.4486856948517979,0.125,0.125,1.125,0.25,2.5,14.137056766170701,0.325,0.125,4.166666666666667,3.5,2.0,3.5879868473106105,0.175,0.175,1.125,0.25,2.5,1.4236194953440522,0.175,0.175,1.0,0.0,2.5,12.724779101380692,0.325,0.175,2.4166666666666665,5.25,1.5,3.6115222666546596,0.22500000000000003,0.2,1.25,0.75,1.5,1.4344361375117753,0.22500000000000003,0.2,1.125,0.5,2.5,13.543677731545081,0.425,0.1,4.25,6.75,1.0,3.6340738162910955,0.125,0.125,1.125,0.5,2.5,1.4679207345540184,0.125,0.125,1.0,0.0,2.0,9.8597602468045,0.30000000000000004,0.22500000000000003,1.75,3.0,3.25,3.7122465617509137,0.3,0.25,1.375,1.25,1.75,1.4100161906439634,0.25,0.25,0.9375,0.25,2.5,11.056112519092611,0.30000000000000004,0.125,2.375,3.25,1.5,3.5697940821339302,0.125,0.125,1.125,0.25,2.25,1.3999999999999992,0.125,0.125,1.0,0.0,1.0,13.244882147091785,0.325,0.1,3.25,6.5,1.0,3.240123427411717,0.125,0.125,1.125,0.5,1.75,1.423259786946478,0.125,0.125,1.125,0.25,2.5,4.5339205907962015,0.325,0.1,1.25,3.0,1.25,3.6493095248337974,0.1,0.1,1.0,0.0,2.0,1.4072384715978385,0.1,0.1,1.0,0.0,2.5,13.627942892843858,0.42500000000000004,0.22500000000000003,2.5,5.75,1.75,3.5766013687903127,0.30000000000000004,0.25,1.3333333333333333,1.0,2.0,1.4241343720151063,0.275,0.25,1.0833333333333333,0.25,1.75,11.564682377842356,0.75,16.088061040967684,0.75,12.724779101380692,0.625,13.543677731545081,0.75,9.8597602468045,0.625,11.056112519092611,0.625,13.244882147091785,0.75,9.067841181592403,0.25,13.627942892843858,0.625,3.9130434782608696,97.82608695652173,3.760869565217391,94.02173913043478,2.0434782608695654,51.08695652173913
13.131412141074863,0.45000000000000007,0.1,4.5,8.0,1.75,3.389365389444907,0.2,0.15000000000000002,1.375,1.0,2.0,1.4104054539994733,0.2,0.2,1.0,0.0,2.0,7.43312531546427,0.5,0.22499999999999998,1.75,5.5,2.5,2.6535092886313008,0.275,0.25,0.7708333333333333,0.75,1.75,1.5145790836017134,0.25,0.25,0.9999999999999999,0.25,1.0,9.453934042518283,0.3,0.1,3.0,4.25,1.5,3.484839288429403,0.175,0.125,1.625,0.75,2.0,1.4083595688669988,0.175,0.15000000000000002,1.25,0.5,1.75,5.332033256176391,0.3,0.1,1.875,3.0,1.5,3.470913415679996,0.125,0.125,1.125,0.25,1.0,1.3999999999999995,0.125,0.125,1.0,0.0,1.5,12.29166758066716,0.325,0.1,3.25,5.5,1.75,3.3329054112077854,0.2,0.125,1.875,1.25,1.0,1.4060182393933516,0.15000000000000002,0.125,1.25,0.25,1.25,14.741624245702159,0.5,0.125,4.5,8.25,1.0,3.084624514412477,0.15,0.125,1.25,0.5,1.5,1.3999999999999995,0.15,0.125,1.25,0.5,1.75,13.858676889352864,0.625,0.1,6.25,12.0,1.0,2.465123514173701,0.125,0.1,0.875,0.5,1.0,1.4107008983406457,0.125,0.125,1.125,0.25,2.25,9.56202735978879,0.275,0.2,0.6666666666666666,3.5,2.25,4.017175084275041,0.22499999999999998,0.2,1.4166666666666667,1.25,1.25,1.408943049130766,0.22500000000000003,0.22500000000000003,1.0,0.0,1.75,16.803392620163546,0.625,0.125,6.125,14.5,1.0,3.2483856577928765,0.125,0.125,1.125,0.25,1.0,1.4016750654237229,0.125,0.125,1.125,0.25,1.0,13.131412141074863,0.75,9.91083375395236,0.5,9.453934042518283,0.5,7.109377674901855,0.25,12.29166758066716,0.75,14.741624245702159,0.75,13.858676889352864,0.75,12.74936981305172,0.5416666666666666,16.803392620163546,0.75,3.8222222222222224,95.55555555555556,3.6222222222222222,90.55555555555556,1.9555555555555555,48.888888888888886
10.001099242638976,0.4,0.275,2.175,4.0,2.75,3.5914266662374446,0.3,0.275,1.25,1.0,2.0,1.5130663505036739,0.3,0.3,1.0,0.0,2.25,14.802858703009619,0.375,0.1,3.75,6.75,1.5,3.6782063016694573,0.175,0.15000000000000002,1.25,0.75,1.75,1.5183492859543628,0.175,0.15000000000000002,1.25,0.5,1.0,13.97755591070432,0.375,0.1,3.75,5.75,1.0,3.822351160296009,0.125,0.1,1.25,1.0,1.0,1.1459440333718813,0.125,0.1,0.75,0.25,3.0,13.908370902351596,0.3,0.1,3.0,4.5,1.0,3.614729721497409,0.125,0.1,1.25,0.75,2.5,1.0798007756125743,0.125,0.1,0.875,0.5,3.25,15.325348410125878,0.375,0.1,3.75,6.5,1.0,3.5160627793724326,0.125,0.1,1.25,0.75,2.5,1.3999999999999995,0.125,0.1,1.25,0.5,1.75,17.75594905283482,0.6,0.1,6.0,11.75,1.0,3.505903439267829,0.125,0.1,1.25,0.75,1.5,1.3999999999999995,0.125,0.1,1.25,0.5,1.75,17.050119068733547,0.475,0.1,4.75,10.5,1.75,3.847230727788379,0.15000000000000002,0.125,1.25,1.0,1.75,1.5056660588498172,0.15000000000000002,0.15000000000000002,1.125,0.25,1.75,13.894457248090832,0.3,0.2,2.333333333333333,5.0,2.5,3.9152367176922542,0.25,0.2,1.375,1.25,1.5,1.4249038776667162,0.22500000000000003,0.22500000000000003,1.125,0.25,2.75,13.42406098656345,0.55,0.2,3.1875,8.25,2.5,4.160235884301218,0.25,0.2,1.4375,1.75,1.75,1.4604001533671087,0.225,0.225,1.125,0.25,2.0,10.001099242638976,0.5,14.802858703009619,0.75,13.97755591070432,0.75,13.908370902351596,0.75,15.325348410125878,0.75,17.75594905283482,0.75,17.050119068733547,0.75,13.894457248090832,0.75,13.42406098656345,0.75,3.8666666666666667,96.66666666666667,3.6,90.0,2.0444444444444443,51.11111111111111
