,t0(s0),t1(s1),t2(s2),t3(s3),t4(s4),t5(s5),t6(s6),t7(s7)
t0(s0),0.0,0.05392873052494415,0.9997751832297667,0.031533928744049186,0.004379873299404011,3.215494343973819e-17,0.004379873299403659,1.3538923553573972e-17
t1(s1),0.05392873052494415,0.0,0.03153392874404836,0.027146333717546496,0.024773065799930574,0.002790045020558449,0.02477306579993063,0.002790045020558406
t2(s2),0.9997751832297667,0.03153392874404836,0.0,0.053928730524944936,0.004379873299403663,1.1000375387278853e-17,0.004379873299403645,2.53854816629512e-18
t3(s3),0.031533928744049186,0.027146333717546496,0.053928730524944936,0.0,0.024773065799931843,0.0027900450205583594,0.024773065799931826,0.0027900450205584327
t4(s4),0.004379873299404011,0.024773065799930574,0.004379873299403663,0.024773065799931843,0.0,0.024342072698877174,0.02056253151034236,0.012725427500899396
t5(s5),3.215494343973819e-17,0.002790045020558449,1.1000375387278853e-17,0.0027900450205583594,0.024342072698877174,0.0,0.012725427500899361,0.06362037364027705
t6(s6),0.004379873299403659,0.02477306579993063,0.004379873299403645,0.024773065799931826,0.02056253151034236,0.012725427500899361,0.0,0.02434207269887705
t7(s7),1.3538923553573972e-17,0.002790045020558406,2.53854816629512e-18,0.0027900450205584327,0.012725427500899396,0.06362037364027705,0.02434207269887705,0.0
