task_i,task_j,weight
s0_avg_threads,s3_avg_threads,0.6712464322453676
s0_avg_threads,s6_avg_threads,0.00027628542727752155
s0_avg_threads,s9_avg_threads,0.023320362683941175
s0_avg_threads,s12_avg_threads,0.027929813284051752
s0_avg_threads,s15_avg_threads,0.0036808852074844043
s0_avg_threads,s18_avg_threads,0.0007846141876991195
s0_avg_threads,s21_avg_threads,1.8451742391286127e-14
s0_avg_threads,s24_avg_threads,0.004707955672755189
s0_avg_threads,s27_avg_threads,0.8256773731950087
s0_avg_threads,s28_avg_threads,0.6212840618010029
s3_avg_threads,s6_avg_threads,0.1951538385504826
s3_avg_threads,s9_avg_threads,0.010201419571445021
s3_avg_threads,s12_avg_threads,0.012250155162021745
s3_avg_threads,s15_avg_threads,0.0016101916983339575
s3_avg_threads,s18_avg_threads,0.2249045129761156
s3_avg_threads,s21_avg_threads,0.024472596343298646
s3_avg_threads,s24_avg_threads,2.0279404173106086e-13
s3_avg_threads,s27_avg_threads,0.3611899792793048
s3_avg_threads,s28_avg_threads,0.9968978892869009
s6_avg_threads,s9_avg_threads,4.57131535789508e-14
s6_avg_threads,s12_avg_threads,5.3738457015034546e-05
s6_avg_threads,s15_avg_threads,3.131427680189962e-17
s6_avg_threads,s18_avg_threads,0.3520498586052067
s6_avg_threads,s21_avg_threads,0.576970426660389
s6_avg_threads,s24_avg_threads,1.1696545738149987e-14
s6_avg_threads,s27_avg_threads,7.024258664932413e-15
s6_avg_threads,s28_avg_threads,0.22497777851693576
s9_avg_threads,s12_avg_threads,0.3556350850922318
s9_avg_threads,s15_avg_threads,0.9910749387346215
s9_avg_threads,s18_avg_threads,7.60633257893705e-14
s9_avg_threads,s21_avg_threads,4.541861701151325e-14
s9_avg_threads,s24_avg_threads,2.0521980897670116e-27
s9_avg_threads,s27_avg_threads,0.02819812874881726
s9_avg_threads,s28_avg_threads,0.008895978954161738
s12_avg_threads,s15_avg_threads,0.3405793604034465
s12_avg_threads,s18_avg_threads,0.00015261013302562794
s12_avg_threads,s21_avg_threads,3.428871785645417e-14
s12_avg_threads,s24_avg_threads,0.0008757989622174143
s12_avg_threads,s27_avg_threads,0.057339494312976885
s12_avg_threads,s28_avg_threads,0.010689231890916516
s15_avg_threads,s18_avg_threads,2.2563222918196366e-15
s15_avg_threads,s21_avg_threads,4.518349971614377e-15
s15_avg_threads,s27_avg_threads,0.004445707671413591
s15_avg_threads,s28_avg_threads,0.0014041409982425567
s18_avg_threads,s21_avg_threads,3.4738505662389267e-15
s18_avg_threads,s24_avg_threads,3.321664779208616e-14
s18_avg_threads,s27_avg_threads,5.061266945252523e-13
s18_avg_threads,s28_avg_threads,0.23993195070655776
s21_avg_threads,s24_avg_threads,6.088781053386005e-28
s21_avg_threads,s27_avg_threads,4.033064946259048e-15
s21_avg_threads,s28_avg_threads,0.029016973980629933
s24_avg_threads,s28_avg_threads,2.671644829032721e-13
s27_avg_threads,s28_avg_threads,0.31496973843872395
