step,elapsed,sim_time,wf0_total_traces,wf0_violation_rate,wf0_violations,wf1_total_traces,wf1_violation_rate,wf1_violations,wf2_total_traces,wf2_violation_rate,wf2_violations,wf3_total_traces,wf3_violation_rate,wf3_violations,wf4_total_traces,wf4_violation_rate,wf4_violations,wf5_total_traces,wf5_violation_rate,wf5_violations,wf6_total_traces,wf6_violation_rate,wf6_violations,wf7_total_traces,wf7_violation_rate,wf7_violations,wf8_total_traces,wf8_violation_rate,wf8_violations,wf9_total_traces,wf9_violation_rate,wf9_violations,total_violations,node0_avg_cpu_threads,node0_avg_cpu_usage_pct,node1_avg_cpu_threads,node1_avg_cpu_usage_pct,node2_avg_cpu_threads,node2_avg_cpu_usage_pct
1,10.0,10.0,1,0.0,0,1,0.0,0,0,0.0,0,1,0.0,0,1,0.0,0,1,0.0,0,1,0.0,0,1,0.0,0,1,0.0,0,0,0.0,0,0,3.4545454545454546,86.36363636363636,3.272727272727273,81.81818181818183,1.7272727272727273,43.18181818181818
2,10.0,20.0,1,0.0,0,1,1.0,1,1,0.0,0,1,1.0,1,1,0.0,0,1,1.0,1,1,0.0,0,1,1.0,1,0,0.0,0,2,0.5,1,5,4.0,100.0,3.8,95.0,2.2,55.00000000000001
3,10.0,30.0,2,1.0,2,4,1.0,4,2,1.0,2,2,1.0,2,0,0.0,0,1,1.0,1,3,1.0,3,1,1.0,1,2,1.0,2,1,1.0,1,18,4.0,100.0,4.0,100.0,2.6,65.0
4,10.0,40.0,1,1.0,1,1,1.0,1,2,1.0,2,1,1.0,1,2,1.0,2,2,1.0,2,1,1.0,1,2,1.0,2,1,1.0,1,2,1.0,2,15,4.0,100.0,4.0,100.0,2.8,70.0
