episode,total_violations,mean_step_total_violations,n_steps
1,41,10.25,4
2,40,10.0,4
3,40,10.0,4
4,43,10.75,4
5,42,10.5,4
6,41,10.25,4
7,39,9.75,4
8,39,9.75,4
9,42,10.5,4
10,43,10.75,4
11,37,9.25,4
12,37,9.25,4
13,41,10.25,4
14,41,10.25,4
15,43,10.75,4
16,39,9.75,4
17,27,9.0,3
18,38,9.5,4
19,39,9.75,4
20,38,9.5,4
21,47,11.75,4
22,42,10.5,4
23,43,10.75,4
24,44,11.0,4
25,40,10.0,4
26,40,10.0,4
27,41,10.25,4
28,44,11.0,4
29,45,11.25,4
30,40,10.0,4
31,40,10.0,4
32,40,10.0,4
33,37,9.25,4
34,43,10.75,4
35,42,10.5,4
36,41,10.25,4
37,46,11.5,4
38,38,9.5,4
39,25,8.333333333333334,3
40,38,9.5,4
41,41,10.25,4
42,43,10.75,4
43,39,9.75,4
44,44,11.0,4
45,27,9.0,3
46,27,9.0,3
47,45,11.25,4
48,38,9.5,4
49,42,10.5,4
50,41,10.25,4
51,43,10.75,4
52,42,10.5,4
53,43,10.75,4
54,44,11.0,4
55,36,9.0,4
56,36,9.0,4
57,42,10.5,4
58,42,10.5,4
59,42,10.5,4
60,41,10.25,4
61,43,10.75,4
62,42,10.5,4
63,40,10.0,4
64,23,7.666666666666667,3
65,25,8.333333333333334,3
66,40,10.0,4
67,42,10.5,4
68,44,11.0,4
69,25,8.333333333333334,3
70,26,8.666666666666666,3
71,45,11.25,4
72,39,9.75,4
73,39,9.75,4
74,43,10.75,4
75,41,10.25,4
76,40,10.0,4
77,44,11.0,4
78,40,10.0,4
79,40,10.0,4
80,42,10.5,4
81,42,10.5,4
82,45,11.25,4
83,43,10.75,4
84,38,9.5,4
85,37,9.25,4
86,42,10.5,4
87,44,11.0,4
88,41,10.25,4
89,44,11.0,4
90,45,11.25,4
91,43,10.75,4
92,27,9.0,3
93,43,10.75,4
94,41,10.25,4
95,43,10.75,4
96,41,10.25,4
97,42,10.5,4
98,43,10.75,4
99,38,9.5,4
100,41,10.25,4
