episode,total_violations,mean_step_total_violations,n_steps
1,38,9.5,4
2,37,9.25,4
3,42,10.5,4
4,41,10.25,4
5,38,9.5,4
6,42,10.5,4
7,40,10.0,4
8,39,9.75,4
9,39,9.75,4
10,41,10.25,4
11,44,11.0,4
12,44,11.0,4
13,25,8.333333333333334,3
14,41,10.25,4
15,38,9.5,4
16,24,8.0,3
17,40,10.0,4
18,46,11.5,4
19,38,9.5,4
20,43,10.75,4
21,43,10.75,4
22,43,10.75,4
23,36,9.0,4
24,40,10.0,4
25,40,10.0,4
26,40,10.0,4
27,34,8.5,4
28,40,10.0,4
29,24,8.0,3
30,34,8.5,4
31,42,10.5,4
32,39,9.75,4
33,40,10.0,4
34,22,7.333333333333333,3
35,42,10.5,4
36,38,9.5,4
37,39,9.75,4
38,41,10.25,4
39,42,10.5,4
40,39,9.75,4
41,38,9.5,4
42,31,7.75,4
43,24,8.0,3
44,35,8.75,4
45,39,9.75,4
46,24,8.0,3
47,40,10.0,4
48,39,9.75,4
49,45,11.25,4
50,37,9.25,4
51,37,9.25,4
52,46,11.5,4
53,41,10.25,4
54,38,9.5,4
55,43,10.75,4
56,39,9.75,4
57,41,10.25,4
58,41,10.25,4
59,39,9.75,4
60,39,9.75,4
61,41,10.25,4
62,40,10.0,4
63,40,10.0,4
64,39,9.75,4
65,37,9.25,4
66,40,10.0,4
67,44,11.0,4
68,42,10.5,4
69,27,9.0,3
70,40,10.0,4
71,36,9.0,4
72,43,10.75,4
73,20,6.666666666666667,3
74,38,9.5,4
75,40,10.0,4
76,43,10.75,4
77,41,10.25,4
78,43,10.75,4
79,44,11.0,4
80,43,10.75,4
81,43,10.75,4
82,41,10.25,4
83,36,9.0,4
84,37,9.25,4
85,41,10.25,4
86,42,10.5,4
87,38,9.5,4
88,43,10.75,4
89,44,11.0,4
90,41,10.25,4
91,40,10.0,4
92,41,10.25,4
93,41,10.25,4
94,42,10.5,4
95,42,10.5,4
96,41,10.25,4
97,41,10.25,4
98,37,9.25,4
99,37,9.25,4
100,40,10.0,4
