episode,total_violations,mean_step_total_violations,n_steps
1,41,10.25,4
2,37,9.25,4
3,45,11.25,4
4,43,10.75,4
5,40,10.0,4
6,42,10.5,4
7,41,10.25,4
8,38,9.5,4
9,38,9.5,4
10,42,10.5,4
11,26,8.666666666666666,3
12,42,10.5,4
13,39,9.75,4
14,26,8.666666666666666,3
15,39,9.75,4
16,36,9.0,4
17,38,9.5,4
18,23,7.666666666666667,3
19,39,9.75,4
20,42,10.5,4
21,38,9.5,4
22,40,10.0,4
23,41,10.25,4
24,42,10.5,4
25,43,10.75,4
26,43,10.75,4
27,39,9.75,4
28,37,9.25,4
29,35,8.75,4
30,39,9.75,4
31,41,10.25,4
32,35,8.75,4
33,38,9.5,4
34,40,10.0,4
35,43,10.75,4
36,43,10.75,4
37,39,9.75,4
38,43,10.75,4
39,41,10.25,4
40,43,10.75,4
41,39,9.75,4
42,37,9.25,4
43,45,11.25,4
44,42,10.5,4
45,36,9.0,4
46,42,10.5,4
47,39,9.75,4
48,38,9.5,4
49,44,11.0,4
50,38,9.5,4
51,38,9.5,4
52,40,10.0,4
53,23,7.666666666666667,3
54,40,10.0,4
55,44,11.0,4
56,32,8.0,4
57,41,10.25,4
58,45,11.25,4
59,22,7.333333333333333,3
60,23,7.666666666666667,3
61,42,10.5,4
62,39,9.75,4
63,37,9.25,4
64,39,9.75,4
65,39,9.75,4
66,40,10.0,4
67,35,8.75,4
68,39,9.75,4
69,42,10.5,4
70,43,10.75,4
71,41,10.25,4
72,42,10.5,4
73,43,10.75,4
74,42,10.5,4
75,37,9.25,4
76,40,10.0,4
77,39,9.75,4
78,40,10.0,4
79,37,9.25,4
80,40,10.0,4
81,43,10.75,4
82,39,9.75,4
83,40,10.0,4
84,35,8.75,4
85,41,10.25,4
86,43,10.75,4
87,32,8.0,4
88,43,10.75,4
89,45,11.25,4
90,36,9.0,4
91,39,9.75,4
92,40,10.0,4
93,40,10.0,4
94,41,10.25,4
95,43,10.75,4
96,46,11.5,4
97,43,10.75,4
98,39,9.75,4
99,43,10.75,4
100,23,7.666666666666667,3
