episode,total_violations,mean_step_total_violations,n_steps
1,42,8.4,5
2,44,8.8,5
3,36,7.2,5
4,32,6.4,5
5,52,10.4,5
6,52,10.4,5
7,46,9.2,5
8,34,6.8,5
9,47,9.4,5
10,34,6.8,5
11,36,7.2,5
12,58,11.6,5
13,31,6.2,5
14,26,5.2,5
15,35,7.0,5
16,35,7.0,5
17,50,10.0,5
18,46,9.2,5
19,40,8.0,5
20,50,10.0,5
21,48,9.6,5
22,42,7.0,6
23,57,11.4,5
24,50,10.0,5
25,45,9.0,5
26,43,8.6,5
27,33,6.6,5
28,36,7.2,5
29,42,8.4,5
30,45,9.0,5
31,20,4.0,5
32,46,7.666666666666667,6
33,50,10.0,5
34,35,7.0,5
35,37,7.4,5
36,35,7.0,5
37,39,7.8,5
38,29,5.8,5
39,36,7.2,5
40,44,8.8,5
41,50,10.0,5
42,38,7.6,5
43,46,7.666666666666667,6
44,48,9.6,5
45,40,8.0,5
46,30,6.0,5
47,29,5.8,5
48,50,10.0,5
49,52,10.4,5
50,45,9.0,5
51,46,9.2,5
52,29,5.8,5
53,48,9.6,5
54,30,6.0,5
55,47,9.4,5
56,50,10.0,5
57,43,8.6,5
58,39,7.8,5
59,39,7.8,5
60,36,7.2,5
61,43,8.6,5
62,34,5.666666666666667,6
63,42,8.4,5
64,35,7.0,5
65,48,9.6,5
66,48,9.6,5
67,31,6.2,5
68,38,7.6,5
69,43,8.6,5
70,40,8.0,5
71,49,9.8,5
72,47,9.4,5
73,39,7.8,5
74,38,7.6,5
75,39,7.8,5
76,28,5.6,5
77,50,10.0,5
78,38,7.6,5
79,32,6.4,5
80,51,10.2,5
81,48,9.6,5
82,31,6.2,5
83,49,9.8,5
84,45,9.0,5
85,42,8.4,5
86,36,7.2,5
87,40,8.0,5
88,24,4.8,5
89,41,8.2,5
90,41,8.2,5
91,40,8.0,5
92,36,7.2,5
93,40,8.0,5
94,31,6.2,5
95,42,8.4,5
96,30,6.0,5
97,36,7.2,5
98,50,10.0,5
99,46,9.2,5
100,47,9.4,5
