step,elapsed,sim_time,wf0_total_traces,wf0_violation_rate,wf0_violations,wf1_total_traces,wf1_violation_rate,wf1_violations,wf2_total_traces,wf2_violation_rate,wf2_violations,wf3_total_traces,wf3_violation_rate,wf3_violations,wf4_total_traces,wf4_violation_rate,wf4_violations,total_violations,node0_avg_cpu_threads,node0_avg_cpu_usage_pct,node1_avg_cpu_threads,node1_avg_cpu_usage_pct,node2_avg_cpu_threads,node2_avg_cpu_usage_pct
1,10.0,10.0,1,0.0,0,2,0.5,1,1,0.0,0,1,0.0,0,1,0.0,0,1,2.727272727272727,68.18181818181817,1.8181818181818181,45.45454545454545,0.8181818181818182,20.454545454545457
2,10.0,20.0,1,0.0,0,2,1.0,2,3,0.0,0,4,0.0,0,1,0.0,0,2,4.0,100.0,3.8,95.0,2.1,52.5
3,10.0,30.0,2,0.0,0,2,0.5,1,3,0.3333333333333333,1,1,0.0,0,2,0.5,1,3,4.0,100.0,3.8,95.0,2.0,50.0
4,10.0,40.0,2,0.5,1,2,1.0,2,3,0.6666666666666666,2,4,0.75,3,5,0.0,0,8,4.0,100.0,3.8,95.0,2.1,52.5
5,10.0,50.0,2,0.5,1,4,0.75,3,2,1.0,2,3,0.6666666666666666,2,5,0.8,4,12,4.0,100.0,3.9,97.5,2.1,52.5
