step,elapsed,sim_time,wf0_total_traces,wf0_violation_rate,wf0_violations,wf1_total_traces,wf1_violation_rate,wf1_violations,wf2_total_traces,wf2_violation_rate,wf2_violations,wf3_total_traces,wf3_violation_rate,wf3_violations,wf4_total_traces,wf4_violation_rate,wf4_violations,total_violations,node0_avg_cpu_threads,node0_avg_cpu_usage_pct,node1_avg_cpu_threads,node1_avg_cpu_usage_pct,node2_avg_cpu_threads,node2_avg_cpu_usage_pct
1,10.0,10.0,1,0.0,0,2,0.0,0,2,0.0,0,1,0.0,0,0,0.0,0,0,3.090909090909091,77.27272727272727,2.090909090909091,52.27272727272727,1.0909090909090908,27.27272727272727
2,10.0,20.0,2,0.0,0,2,1.0,2,1,0.0,0,3,0.0,0,1,0.0,0,2,4.0,100.0,2.8,70.0,1.5,37.5
3,10.0,30.0,2,0.5,1,3,0.6666666666666666,2,1,0.0,0,3,1.0,3,2,0.0,0,6,4.0,100.0,3.5,87.5,1.8,45.0
4,10.0,40.0,3,1.0,3,5,1.0,5,1,1.0,1,4,1.0,4,1,1.0,1,14,4.0,100.0,4.0,100.0,2.7,67.5
5,10.0,50.0,2,1.0,2,3,1.0,3,3,1.0,3,3,1.0,3,4,1.0,4,15,4.0,100.0,4.0,100.0,2.0,50.0
