episode,total_violations,mean_step_total_violations,n_steps
1,25,5.0,5
2,41,8.2,5
3,37,7.4,5
4,47,9.4,5
5,46,9.2,5
6,23,3.8333333333333335,6
7,38,7.6,5
8,32,6.4,5
9,34,6.8,5
10,40,8.0,5
11,50,10.0,5
12,28,5.6,5
13,31,6.2,5
14,49,9.8,5
15,36,7.2,5
16,45,9.0,5
17,36,7.2,5
18,39,7.8,5
19,40,8.0,5
20,45,9.0,5
21,46,9.2,5
22,26,5.2,5
23,46,7.666666666666667,6
24,45,9.0,5
25,40,8.0,5
26,42,8.4,5
27,44,8.8,5
28,43,8.6,5
29,30,6.0,5
30,38,6.333333333333333,6
31,43,8.6,5
32,38,7.6,5
33,34,6.8,5
34,19,3.8,5
35,40,8.0,5
36,47,9.4,5
37,44,8.8,5
38,39,6.5,6
39,41,8.2,5
40,32,5.333333333333333,6
41,28,5.6,5
42,40,8.0,5
43,48,9.6,5
44,36,7.2,5
45,35,7.0,5
46,51,10.2,5
47,35,7.0,5
48,43,8.6,5
49,36,7.2,5
50,46,9.2,5
51,36,7.2,5
52,40,8.0,5
53,44,7.333333333333333,6
54,32,6.4,5
55,26,5.2,5
56,50,10.0,5
57,34,6.8,5
58,27,5.4,5
59,28,4.666666666666667,6
60,36,6.0,6
61,31,6.2,5
62,42,8.4,5
63,26,5.2,5
64,28,5.6,5
65,35,7.0,5
66,38,7.6,5
67,45,9.0,5
68,48,9.6,5
69,44,8.8,5
70,53,10.6,5
71,47,9.4,5
72,55,11.0,5
73,43,8.6,5
74,42,8.4,5
75,36,7.2,5
76,34,6.8,5
77,42,8.4,5
78,31,6.2,5
79,42,8.4,5
80,39,7.8,5
81,32,6.4,5
82,35,7.0,5
83,31,6.2,5
84,42,8.4,5
85,33,6.6,5
86,40,8.0,5
87,25,5.0,5
88,41,8.2,5
89,33,6.6,5
90,41,6.833333333333333,6
91,36,7.2,5
92,45,9.0,5
93,56,11.2,5
94,37,7.4,5
95,42,8.4,5
96,39,7.8,5
97,33,6.6,5
98,37,7.4,5
99,48,9.6,5
100,43,8.6,5
