s0_avg_latency,s0_arrival_rate,s0_departure_rate,s0_avg_throughput,s0_avg_queue_size,s0_avg_threads,s1_avg_latency,s1_arrival_rate,s1_departure_rate,s1_avg_throughput,s1_avg_queue_size,s1_avg_threads,s2_avg_latency,s2_arrival_rate,s2_departure_rate,s2_avg_throughput,s2_avg_queue_size,s2_avg_threads,s3_avg_latency,s3_arrival_rate,s3_departure_rate,s3_avg_throughput,s3_avg_queue_size,s3_avg_threads,s4_avg_latency,s4_arrival_rate,s4_departure_rate,s4_avg_throughput,s4_avg_queue_size,s4_avg_threads,s5_avg_latency,s5_arrival_rate,s5_departure_rate,s5_avg_throughput,s5_avg_queue_size,s5_avg_threads,s6_avg_latency,s6_arrival_rate,s6_departure_rate,s6_avg_throughput,s6_avg_queue_size,s6_avg_threads,s7_avg_latency,s7_arrival_rate,s7_departure_rate,s7_avg_throughput,s7_avg_queue_size,s7_avg_threads,s8_avg_latency,s8_arrival_rate,s8_departure_rate,s8_avg_throughput,s8_avg_queue_size,s8_avg_threads,s9_avg_latency,s9_arrival_rate,s9_departure_rate,s9_avg_throughput,s9_avg_queue_size,s9_avg_threads,s10_avg_latency,s10_arrival_rate,s10_departure_rate,s10_avg_throughput,s10_avg_queue_size,s10_avg_threads,s11_avg_latency,s11_arrival_rate,s11_departure_rate,s11_avg_throughput,s11_avg_queue_size,s11_avg_threads,s12_avg_latency,s12_arrival_rate,s12_departure_rate,s12_avg_throughput,s12_avg_queue_size,s12_avg_threads,s13_avg_latency,s13_arrival_rate,s13_departure_rate,s13_avg_throughput,s13_avg_queue_size,s13_avg_threads,s14_avg_latency,s14_arrival_rate,s14_departure_rate,s14_avg_throughput,s14_avg_queue_size,s14_avg_threads,s15_avg_latency,s15_arrival_rate,s15_departure_rate,s15_avg_throughput,s15_avg_queue_size,s15_avg_threads,s16_avg_latency,s16_arrival_rate,s16_departure_rate,s16_avg_throughput,s16_avg_queue_size,s16_avg_threads,s17_avg_latency,s17_arrival_rate,s17_departure_rate,s17_avg_throughput,s17_avg_queue_size,s17_avg_threads,s18_avg_latency,s18_arrival_rate,s18_departure_rate,s18_avg_throughput,s18_avg_queue_size,s18_avg_threads,s19_avg_latency,s19_arrival_rate,s19_departure_rate,s19_avg_throughput,s19_avg_queue_size,s19_avg_threads,s20_avg_latency,s20_arrival_rate,s20_departure_rate,s20_avg_throughput,s20_avg_queue_size,s20_avg_threads,wf0_avg_e2e_latency,wf0_violation_rate,wf1_avg_e2e_latency,wf1_violation_rate,wf2_avg_e2e_latency,wf2_violation_rate,wf3_avg_e2e_latency,wf3_violation_rate,wf4_avg_e2e_latency,wf4_violation_rate,wf5_avg_e2e_latency,wf5_violation_rate,wf6_avg_e2e_latency,wf6_violation_rate,node0_avg_cpu_threads,node0_cpu_usage_pct,node1_avg_cpu_threads,node1_cpu_usage_pct,node2_avg_cpu_threads,node2_cpu_usage_pct
13.423117239403036,0.32499999999999996,0.15000000000000002,2.5,6.0,2.0,3.6348492443379996,0.22500000000000003,0.15000000000000002,1.625,1.5,1.5,1.4804989714191696,0.17500000000000002,0.15000000000000002,1.375,0.75,1.5,8.016435589686168,0.44999999999999996,0.175,2.5,5.25,2.5,3.76162651632173,0.25,0.22500000000000003,1.1666666666666665,1.0,1.25,1.4793531553668768,0.25,0.25,1.0,0.0,1.5,7.9519279792112725,0.30000000000000004,0.2,0.5,3.5,2.75,2.880159327852668,0.25,0.2,0.48888888888888893,2.25,2.25,1.6589971051607808,0.22499999999999998,0.2,1.7,0.75,1.25,8.71842321116775,0.32499999999999996,0.2,2.25,3.0,2.5,4.146177886518308,0.25,0.25,1.1666666666666667,0.75,1.75,1.4746430142361213,0.25,0.25,1.1666666666666665,0.25,2.25,14.347851035802893,0.5,0.15000000000000002,3.625,9.25,1.25,3.536206447819884,0.175,0.15000000000000002,1.25,0.75,3.25,1.4649784895858338,0.15000000000000002,0.15000000000000002,1.0,0.0,1.25,13.661652596938769,0.425,0.2,2.7916666666666665,7.75,2.5,4.109018352867652,0.25,0.22500000000000003,1.5833333333333333,1.25,1.5,1.4238106509333792,0.25,0.22499999999999998,1.125,0.25,3.0,9.384285320509818,0.375,0.1,5.0,3.75,1.75,3.353515605823075,0.1,0.1,1.3333333333333333,0.25,1.0,1.4634950691556794,0.1,0.1,1.3333333333333333,0.25,1.75,13.423117239403036,0.625,8.016435589686168,0.5,11.927891968816908,0.5,8.71842321116775,0.5,14.347851035802893,0.75,13.661652596938769,0.75,8.27966374813242,0.5,3.9183673469387754,97.95918367346938,3.4693877551020407,86.73469387755102,1.9591836734693877,48.97959183673469
16.289505808781506,0.42000000000000004,0.12,3.1,7.8,1.0,3.3886486852645503,0.12000000000000002,0.12,1.375,0.4,3.4,1.399999999999999,0.12,0.12,1.0,0.0,1.4,17.351647862452175,0.38,0.12,2.3,8.2,1.0,3.4884033205539664,0.14,0.12,1.3,0.6,1.4,1.399999999999999,0.12,0.12,1.0,0.0,1.2,11.892506076707035,0.34,0.13999999999999999,2.5,5.0,1.6,3.069682180451107,0.2,0.16,1.4,0.8,1.4,1.399999999999999,0.16,0.16,1.2,0.4,1.0,8.150032522294051,0.38,0.26,1.8,4.0,2.2,3.200439685895245,0.32,0.3,1.05,0.6,1.8,1.3999999999999992,0.32,0.3,1.05,0.6,2.2,6.933554946668122,0.28,0.16,2.0333333333333337,2.6,2.4,2.65903259765093,0.18,0.18,0.7333333333333333,0.2,3.4,1.399999999999999,0.18,0.18,1.0,0.0,3.0,7.593098541739856,0.34,0.16,1.6333333333333333,4.0,2.2,2.7616624780281867,0.22000000000000003,0.18000000000000002,0.9583333333333333,1.0,1.8,1.517949964679293,0.2,0.18000000000000002,1.0666666666666667,0.2,1.0,13.877641012548168,0.42000000000000004,0.24,2.2333333333333334,6.2,1.8,3.509802182710658,0.26,0.24000000000000005,1.2,0.8,1.8,1.399999999999999,0.26,0.26000000000000006,1.0166666666666666,0.2,1.6,20.361882260976884,0.6,21.689559828065217,0.6,11.892506076707035,0.6,8.150032522294051,0.38666666666666666,6.933554946668122,0.3,9.49137317717482,0.4666666666666666,13.877641012548168,0.7,3.7777777777777777,94.44444444444444,3.4074074074074074,85.18518518518519,1.8703703703703705,46.75925925925926
8.352583915406603,0.425,0.15,4.083333333333333,3.75,1.75,3.3057683594263505,0.15,0.15,1.125,0.25,2.0,1.414753224279474,0.15,0.15,1.0,0.0,1.5,3.983989472789402,0.35000000000000003,0.15000000000000002,1.6666666666666667,3.5,3.25,2.1526016649599655,0.25,0.15000000000000002,1.111111111111111,1.75,1.5,1.5182613441681123,0.22499999999999998,0.17500000000000002,1.625,1.0,3.0,13.683350282287307,0.425,0.15000000000000002,3.375,8.75,1.25,3.139839336193963,0.175,0.15,1.375,0.5,2.5,1.3999999999999992,0.175,0.15,1.375,0.5,3.25,10.855426589706914,0.275,0.125,2.5,3.5,1.0,3.1903515503692303,0.15,0.125,1.375,0.75,1.0,1.455539139610389,0.15,0.15000000000000002,1.25,0.5,1.25,9.177819137901581,0.375,0.22500000000000003,1.9583333333333335,3.25,3.0,3.2897370144985327,0.275,0.25,1.25,1.0,3.25,1.5268789985025966,0.275,0.25,1.0833333333333333,0.5,1.0,10.727857232617133,0.475,0.22500000000000003,2.2083333333333335,5.25,2.0,3.328233756011009,0.275,0.22500000000000003,1.2916666666666665,1.0,2.75,1.4098354828529833,0.25,0.22500000000000003,1.2083333333333333,0.75,1.5,7.552374253720809,0.325,0.15000000000000002,2.6666666666666665,3.0,1.75,3.1823455942343535,0.2,0.175,1.25,0.5,1.25,1.3999999999999995,0.2,0.175,1.25,0.5,1.5,8.352583915406603,0.6666666666666666,8.120942598301726,0.25,13.683350282287307,0.625,10.855426589706914,0.75,9.177819137901581,0.5833333333333333,10.727857232617133,0.4583333333333333,9.012856980789465,0.5,3.84,96.0,3.44,86.0,1.9,47.5
12.542985468514056,0.45999999999999996,0.13999999999999999,3.7,7.2,1.0,3.166848634714988,0.15999999999999998,0.13999999999999999,1.3,0.8,1.8,1.4143272410466046,0.15999999999999998,0.16,1.2,0.4,1.6,13.398733201214887,0.45999999999999996,0.3,2.2533333333333334,7.4,2.0,3.3915227041623637,0.36,0.3,1.2166666666666666,1.4,2.8,1.409551494031069,0.36,0.34,1.1,0.6,2.2,17.433200711516527,0.56,0.13999999999999999,4.6,11.8,1.2,3.11874988353581,0.18000000000000002,0.18,1.1333333333333333,0.6,2.6,1.3999999999999997,0.18,0.18,1.1,0.2,2.2,12.04632171040188,0.38,0.2,2.033333333333333,5.2,1.8,3.7947136717172136,0.26,0.2,1.4,1.6,2.2,1.4095514940310692,0.22000000000000003,0.22000000000000003,1.1,0.2,1.8,11.56335846924694,0.5599999999999999,0.12,4.3,10.6,1.0,2.5020220916003644,0.13999999999999999,0.12,0.9,0.4,1.8,1.1199999999999992,0.13999999999999999,0.12,0.9,0.4,1.4,9.024322407552418,0.4,0.14,3.4,4.6,1.2,3.1879404518064622,0.15999999999999998,0.13999999999999999,1.3,0.6,1.4,1.414327241046604,0.15999999999999998,0.16,1.1,0.2,1.4,18.70959169763568,0.41999999999999993,0.16,3.0,8.4,1.0,3.01773530574988,0.16,0.15999999999999998,1.1,0.4,1.0,1.399999999999999,0.16,0.15999999999999998,1.1,0.2,1.6,12.542985468514056,0.7,13.398733201214887,0.7333333333333333,17.433200711516527,0.7,12.04632171040188,0.7,14.454198086558677,0.7,9.024322407552418,0.6,18.70959169763568,0.8,3.9019607843137254,97.54901960784314,3.392156862745098,84.80392156862744,1.9607843137254901,49.01960784313725
8.52514285119228,0.4,0.22000000000000003,2.0,4.4,3.0,3.6976082625479707,0.3,0.26,1.2666666666666666,1.2,2.4,1.4671740336771566,0.28,0.27999999999999997,1.1666666666666665,0.4,1.2,12.980315249829067,0.36,0.2,2.3666666666666663,5.6,2.0,3.1989027783268296,0.22000000000000003,0.2,1.2,0.8,1.8,1.4011037168066376,0.22000000000000003,0.22000000000000003,1.0333333333333334,0.4,2.2,14.154382718521186,0.45999999999999996,0.13999999999999999,3.5,6.4,1.6,3.289728484504437,0.16,0.16,1.2,0.4,1.6,1.4380130047368769,0.16,0.16,1.0,0.0,2.0,7.415795010214486,0.24,0.12000000000000002,1.9,2.2,3.0,2.990717696906102,0.15999999999999998,0.13999999999999999,0.7666666666666667,1.0,1.0,1.4422857218414733,0.13999999999999999,0.13999999999999999,1.0,0.0,1.0,12.36075575170341,0.45999999999999996,0.18000000000000002,2.666666666666667,7.6,1.4,3.7247358141523415,0.22000000000000003,0.2,1.5666666666666667,1.2,2.2,1.415281787429924,0.2,0.2,1.0333333333333334,0.2,3.0,9.449520487878173,0.36,0.13999999999999999,2.7,5.6,2.2,3.727604443731887,0.2,0.16,1.0333333333333334,1.4,1.0,1.1594372437717422,0.16,0.16,0.8333333333333333,0.4,2.4,10.567017711894561,0.42000000000000004,0.2,1.6666666666666667,7.4,2.2,3.382019147034381,0.26,0.22000000000000003,0.9333333333333333,1.6,1.6,1.1514564846531417,0.24000000000000005,0.21999999999999997,0.8333333333333333,0.6,1.0,8.52514285119228,0.4666666666666666,12.980315249829067,0.5333333333333333,14.154382718521186,0.8,7.415795010214486,0.2,12.36075575170341,0.8,11.811900609847717,0.6,13.208772139868202,0.6,3.69811320754717,92.45283018867924,3.490566037735849,87.26415094339622,2.018867924528302,50.47169811320755
7.886266414541484,0.3,0.15999999999999998,1.9666666666666668,3.2,1.8,2.3077347815746028,0.18000000000000002,0.15999999999999998,1.0833333333333333,1.0,1.8,1.3999999999999992,0.16,0.15999999999999998,1.1,0.4,2.2,17.29364539320807,0.33999999999999997,0.14,4.0,6.2,2.2,3.106815866974588,0.2,0.16,1.3,0.6,1.8,1.399999999999999,0.18,0.16,1.2,0.4,2.8,8.473114979367278,0.36,0.27999999999999997,1.6666666666666665,3.4,2.4,4.162868669693784,0.3,0.28,1.0666666666666669,1.0,1.4,1.399999999999999,0.3,0.3,1.0166666666666666,0.4,1.6,14.120147483090188,0.48,0.16,2.8,7.4,1.2,2.9156156911733313,0.18,0.16,1.3,0.8,2.8,1.3999999999999992,0.18,0.16,1.2,0.4,2.8,14.861301276642271,0.4,0.16,2.9,7.0,1.2,2.9111983878383203,0.18000000000000002,0.18,1.1,0.2,2.2,1.399999999999999,0.18,0.18,1.0,0.0,1.6,12.632642701438806,0.3,0.14,2.4,4.8,1.4,2.885560013725368,0.2,0.13999999999999999,1.7,1.2,1.0,1.3999999999999992,0.15999999999999998,0.16,1.2,0.4,2.6,14.613769301439174,0.48,0.18,2.8,7.8,1.8,2.9817323096339585,0.24000000000000005,0.2,1.2666666666666666,0.8,1.2,1.399999999999999,0.22000000000000003,0.22000000000000003,1.0,0.0,2.2,9.857833018176855,0.6,19.323212466781264,0.8,8.473114979367278,0.55,14.120147483090188,0.7,14.861301276642271,0.8,12.632642701438806,0.7,14.613769301439174,0.6,3.8846153846153846,97.11538461538461,3.6923076923076925,92.3076923076923,1.8269230769230769,45.67307692307692
16.76424459461724,0.5249999999999999,0.125,5.0,9.0,1.0,3.4933470411634473,0.125,0.125,1.125,0.25,1.0,1.4135008539205254,0.125,0.125,1.0,0.0,1.5,15.892237889997332,0.425,0.1,4.25,9.0,1.5,3.5573401996081215,0.175,0.125,1.625,1.0,1.0,1.3999999999999992,0.15000000000000002,0.125,1.375,0.5,2.75,7.772218961999904,0.3,0.175,2.041666666666667,3.0,2.5,3.6050712945736247,0.25,0.2,1.375,1.25,2.0,1.4067504269602622,0.25,0.22500000000000003,1.3125,0.75,1.75,6.434428947680164,0.32499999999999996,0.175,1.4166666666666665,3.0,1.75,2.8251832060709545,0.22499999999999998,0.22499999999999998,0.6666666666666666,0.5,3.25,1.0567504269602621,0.22499999999999998,0.22499999999999998,0.7,0.25,2.25,13.139237133896723,0.6000000000000001,0.125,5.375,9.75,1.0,3.208921609070471,0.125,0.125,1.125,0.25,1.0,1.4000000000000001,0.125,0.125,1.0,0.0,1.0,12.397940061757401,0.5,0.22500000000000003,2.5833333333333335,7.25,2.75,5.106975326721493,0.30000000000000004,0.275,1.4,2.0,1.5,1.4033752134801307,0.275,0.275,1.1666666666666665,0.25,2.25,14.657412457396504,0.6000000000000001,0.22500000000000003,3.625,10.5,2.25,3.4724686995398004,0.325,0.275,1.375,1.5,2.5,1.4027001707841042,0.30000000000000004,0.3,1.0333333333333332,0.25,1.75,16.76424459461724,0.75,15.892237889997332,0.75,7.772218961999904,0.5,8.579238596906885,0.5,13.139237133896723,0.625,12.397940061757401,0.625,14.657412457396504,0.75,3.8541666666666665,96.35416666666666,3.5416666666666665,88.54166666666666,1.9791666666666667,49.47916666666667
10.18639716626644,0.32,0.18,2.5333333333333337,3.6,1.6,2.986666124583466,0.2,0.18,1.15,0.8,1.8,1.4146702263288076,0.20000000000000004,0.2,1.2,0.4,2.8,7.91755700749651,0.3,0.2,1.7,2.8,1.6,3.176980663783822,0.24,0.2,1.4333333333333331,0.8,2.8,1.4612270957177207,0.24,0.2,1.2,0.4,1.8,14.112364128842009,0.4800000000000001,0.2,2.7333333333333334,10.0,1.8,3.189212012823501,0.26,0.22000000000000003,1.3,1.2,3.0,1.4381688860515178,0.26,0.24000000000000005,1.15,0.6,1.4,12.856642974256772,0.38,0.14,3.0,5.6,1.0,3.066636193540765,0.16,0.14,1.3,0.4,1.0,1.399999999999999,0.13999999999999999,0.14,1.1,0.2,3.0,15.502402957564351,0.64,0.2,3.2666666666666666,10.6,1.4,3.055614317996876,0.22000000000000003,0.2,1.2,0.8,2.8,1.409780150885871,0.22000000000000003,0.22000000000000003,1.0,0.2,2.6,13.329909600568357,0.54,0.18,3.9666666666666663,8.8,1.4,3.315595505836877,0.2,0.2,1.1,0.4,2.2,1.4850042692142589,0.2,0.2,1.0,0.0,1.0,14.8968373269629,0.44000000000000006,0.13999999999999999,3.8,8.4,1.0,3.1803208470779114,0.15999999999999998,0.16,1.2,0.6,2.0,1.3999999999999997,0.15999999999999998,0.15999999999999998,1.1,0.2,1.4,10.18639716626644,0.4333333333333333,7.91755700749651,0.36666666666666664,14.112364128842009,0.7,12.856642974256772,0.6,15.502402957564351,0.7,13.329909600568357,0.7333333333333333,14.8968373269629,0.7,3.9215686274509802,98.0392156862745,3.588235294117647,89.70588235294117,1.9607843137254901,49.01960784313725
7.436205862726881,0.34,0.16,3.25,3.8,2.6,4.19853334478219,0.24000000000000005,0.18000000000000002,1.2666666666666666,1.0,1.0,1.4029535242331348,0.2,0.18000000000000002,1.1,0.4,1.4,13.059196405439232,0.44000000000000006,0.12000000000000002,3.4,10.2,1.0,3.2561675071314022,0.12,0.12,1.125,0.2,1.8,1.4078515414462036,0.12,0.12,1.125,0.2,1.0,4.071356925180393,0.2,0.16,2.1666666666666665,1.4,2.4,3.236538774418763,0.2,0.18,1.2333333333333334,0.4,3.2,1.474646531217838,0.2,0.18,1.2,0.2,1.0,18.714677900483924,0.45999999999999996,0.16,3.3,9.0,1.0,3.182375504143989,0.16,0.15999999999999998,1.1,0.4,1.0,1.4062812331569627,0.16,0.15999999999999998,1.1,0.2,2.8,13.296782102386453,0.4800000000000001,0.16,3.6,7.0,1.2,3.140795610832899,0.18,0.16,1.3,0.8,1.0,1.3999999999999997,0.18,0.18,1.1,0.2,3.4,10.158521043541949,0.38,0.24000000000000005,1.7666666666666664,5.0,1.4,3.190058952665858,0.26,0.26,1.1833333333333333,1.0,1.6,1.4041874887713086,0.26,0.26,1.1333333333333333,0.2,2.8,17.382178983078745,0.5599999999999999,0.16,3.8,12.4,1.0,3.1108977085075815,0.16,0.15999999999999998,1.1,0.4,2.8,1.4062812331569627,0.15999999999999998,0.15999999999999998,1.0,0.0,1.6,8.036646200978781,0.4,16.32399550679904,0.6,7.822746239759616,0.3,18.714677900483924,0.9,13.296782102386453,0.8,10.158521043541949,0.7,17.382178983078745,0.7,3.9056603773584904,97.64150943396226,3.188679245283019,79.71698113207547,1.9056603773584906,47.64150943396226
9.37265777458013,0.5,0.22500000000000003,2.25,6.25,2.75,4.998711205891482,0.325,0.275,1.3541666666666665,2.0,1.25,1.3999999999999995,0.30000000000000004,0.3,1.2,0.75,3.25,10.861084071780674,0.425,0.175,2.5833333333333335,5.75,2.0,3.0935322744431484,0.225,0.2,1.2083333333333333,0.5,2.75,1.3999999999999995,0.225,0.2,1.2083333333333333,0.5,1.0,8.446118632137093,0.45,0.15000000000000002,2.75,5.25,1.75,3.2755513341579277,0.2,0.175,1.4166666666666667,1.0,1.0,1.3999999999999992,0.2,0.175,1.125,0.5,1.0,8.509669782862229,0.325,0.17500000000000002,2.416666666666667,3.0,1.75,4.049458171914663,0.19999999999999998,0.2,1.125,0.75,1.0,1.3999999999999992,0.19999999999999998,0.19999999999999998,1.1666666666666665,0.5,1.5,13.788980114434441,0.35,0.125,2.875,5.25,1.0,3.3538815577130086,0.125,0.125,1.125,0.25,1.5,1.399999999999999,0.125,0.125,1.125,0.25,2.25,6.403987546269148,0.4,0.2,1.25,3.75,2.5,2.468886151366941,0.275,0.25,0.6875,0.75,3.25,1.3999999999999995,0.275,0.25,1.0625,0.25,2.75,10.989274932812927,0.3,0.125,3.1666666666666665,5.75,1.0,3.3594337666181264,0.125,0.125,1.125,0.25,2.5,1.3999999999999992,0.125,0.125,1.125,0.25,1.5,9.37265777458013,0.41666666666666663,10.861084071780674,0.75,8.446118632137093,0.625,8.509669782862229,0.625,13.788980114434441,0.75,8.538650061692197,0.625,14.465629871603731,0.75,3.82,95.5,3.6,90.0,1.96,49.0
