source,target
node0_avg_cpu_threads,node0_cpu_usage_pct
node1_avg_cpu_threads,node1_cpu_usage_pct
node1_avg_cpu_threads,s13_arrival_rate
node1_avg_cpu_threads,s13_departure_rate
node1_avg_cpu_threads,s14_departure_rate
node2_avg_cpu_threads,node2_cpu_usage_pct
node2_avg_cpu_threads,s10_arrival_rate
node2_avg_cpu_threads,s10_avg_queue_size
node2_avg_cpu_threads,s16_avg_latency
node2_avg_cpu_threads,s9_arrival_rate
s0_arrival_rate,s0_avg_latency
s0_arrival_rate,s0_avg_queue_size
s0_arrival_rate,s0_avg_throughput
s0_arrival_rate,s22_departure_rate
s0_arrival_rate,s2_avg_throughput
s0_arrival_rate,wf0_avg_e2e_latency
s0_arrival_rate,wf0_violation_rate
s0_avg_latency,s0_avg_queue_size
s0_avg_latency,s0_avg_throughput
s0_avg_latency,s2_avg_throughput
s0_avg_latency,wf0_avg_e2e_latency
s0_avg_latency,wf0_violation_rate
s0_avg_queue_size,s0_avg_throughput
s0_avg_queue_size,wf0_avg_e2e_latency
s0_avg_queue_size,wf0_violation_rate
s0_avg_threads,s0_departure_rate
s0_avg_threads,s1_arrival_rate
s0_avg_threads,s1_avg_latency
s0_avg_threads,s1_avg_queue_size
s0_avg_threads,s1_avg_throughput
s0_avg_threads,s1_departure_rate
s0_avg_threads,s2_arrival_rate
s0_avg_threads,s2_departure_rate
s0_avg_threads,wf0_avg_e2e_latency
s0_avg_throughput,s2_avg_throughput
s0_avg_throughput,wf0_avg_e2e_latency
s0_avg_throughput,wf0_violation_rate
s0_departure_rate,s1_arrival_rate
s0_departure_rate,s1_avg_latency
s0_departure_rate,s1_avg_queue_size
s0_departure_rate,s1_departure_rate
s0_departure_rate,s2_arrival_rate
s0_departure_rate,s2_departure_rate
s10_arrival_rate,node2_cpu_usage_pct
s10_arrival_rate,s10_avg_latency
s10_arrival_rate,s10_avg_queue_size
s10_arrival_rate,s10_departure_rate
s10_arrival_rate,s11_arrival_rate
s10_arrival_rate,s11_departure_rate
s10_arrival_rate,s9_departure_rate
s10_avg_latency,s10_departure_rate
s10_avg_latency,s11_arrival_rate
s10_avg_latency,s11_departure_rate
s10_avg_latency,s9_departure_rate
s10_avg_latency,wf3_violation_rate
s10_avg_queue_size,node2_cpu_usage_pct
s10_avg_queue_size,s10_avg_throughput
s10_avg_queue_size,s10_departure_rate
s10_avg_queue_size,s11_arrival_rate
s10_avg_queue_size,s11_avg_queue_size
s10_avg_queue_size,s11_departure_rate
s10_avg_queue_size,s9_departure_rate
s10_avg_threads,s11_avg_queue_size
s10_avg_throughput,s11_avg_throughput
s10_avg_throughput,wf3_violation_rate
s10_departure_rate,s11_arrival_rate
s10_departure_rate,s11_departure_rate
s10_departure_rate,s26_avg_latency
s10_departure_rate,s9_departure_rate
s11_arrival_rate,s11_avg_queue_size
s11_arrival_rate,s11_departure_rate
s11_arrival_rate,s9_departure_rate
s11_avg_latency,s11_avg_throughput
s11_avg_latency,wf3_violation_rate
s11_avg_queue_size,s11_avg_throughput
s11_avg_queue_size,s8_avg_queue_size
s11_departure_rate,s9_departure_rate
s12_arrival_rate,s12_avg_latency
s12_arrival_rate,s12_avg_queue_size
s12_arrival_rate,s12_avg_throughput
s12_arrival_rate,s21_arrival_rate
s12_arrival_rate,wf4_avg_e2e_latency
s12_arrival_rate,wf4_violation_rate
s12_avg_latency,s12_avg_queue_size
s12_avg_latency,s12_avg_throughput
s12_avg_latency,wf4_avg_e2e_latency
s12_avg_latency,wf4_violation_rate
s12_avg_queue_size,s12_avg_throughput
s12_avg_queue_size,wf4_avg_e2e_latency
s12_avg_queue_size,wf4_violation_rate
s12_avg_threads,node2_avg_cpu_threads
s12_avg_threads,node2_cpu_usage_pct
s12_avg_threads,s12_avg_throughput
s12_avg_threads,s12_departure_rate
s12_avg_threads,s13_arrival_rate
s12_avg_threads,s13_avg_latency
s12_avg_threads,s13_avg_queue_size
s12_avg_threads,s13_avg_throughput
s12_avg_threads,s13_departure_rate
s12_avg_threads,s14_arrival_rate
s12_avg_threads,s14_avg_queue_size
s12_avg_threads,s14_departure_rate
s12_avg_threads,s8_avg_threads
s12_avg_threads,wf1_avg_e2e_latency
s12_avg_threads,wf4_avg_e2e_latency
s12_avg_throughput,wf4_avg_e2e_latency
s12_avg_throughput,wf4_violation_rate
s12_departure_rate,s13_arrival_rate
s12_departure_rate,s13_avg_latency
s12_departure_rate,s13_avg_queue_size
s12_departure_rate,s13_departure_rate
s12_departure_rate,s14_arrival_rate
s12_departure_rate,s14_departure_rate
s12_departure_rate,wf1_avg_e2e_latency
s13_arrival_rate,node1_cpu_usage_pct
s13_arrival_rate,s13_avg_latency
s13_arrival_rate,s13_avg_queue_size
s13_arrival_rate,s13_avg_throughput
s13_arrival_rate,s13_departure_rate
s13_arrival_rate,s14_arrival_rate
s13_arrival_rate,s14_avg_queue_size
s13_arrival_rate,s14_departure_rate
s13_arrival_rate,wf1_avg_e2e_latency
s13_avg_latency,s13_avg_queue_size
s13_avg_latency,s13_avg_throughput
s13_avg_latency,s13_departure_rate
s13_avg_latency,s14_arrival_rate
s13_avg_latency,s14_avg_latency
s13_avg_latency,s14_departure_rate
s13_avg_latency,s16_avg_latency
s13_avg_latency,s17_avg_latency
s13_avg_queue_size,s13_avg_throughput
s13_avg_queue_size,s13_departure_rate
s13_avg_queue_size,s14_arrival_rate
s13_avg_queue_size,s14_avg_queue_size
s13_avg_queue_size,s14_departure_rate
s13_avg_queue_size,wf1_avg_e2e_latency
s13_avg_threads,s2_avg_queue_size
s13_departure_rate,node1_cpu_usage_pct
s13_departure_rate,s14_arrival_rate
s13_departure_rate,s14_departure_rate
s13_departure_rate,wf1_avg_e2e_latency
s14_arrival_rate,s14_avg_queue_size
s14_arrival_rate,s14_departure_rate
s14_arrival_rate,wf1_avg_e2e_latency
s14_avg_latency,s14_avg_throughput
s14_avg_latency,s23_avg_latency
s14_avg_latency,s2_avg_latency
s14_avg_latency,s7_avg_latency
s14_avg_queue_size,s14_avg_throughput
s14_departure_rate,node1_cpu_usage_pct
s14_departure_rate,wf1_avg_e2e_latency
s15_arrival_rate,s15_avg_latency
s15_arrival_rate,s15_avg_queue_size
s15_arrival_rate,s15_avg_throughput
s15_avg_latency,s15_avg_queue_size
s15_avg_latency,s15_avg_throughput
s15_avg_latency,wf5_avg_e2e_latency
s15_avg_latency,wf5_violation_rate
s15_avg_queue_size,s15_avg_throughput
s15_avg_queue_size,wf5_avg_e2e_latency
s15_avg_threads,s15_avg_latency
s15_avg_threads,s15_avg_queue_size
s15_avg_threads,s15_avg_throughput
s15_avg_threads,s15_departure_rate
s15_avg_threads,s16_arrival_rate
s15_avg_threads,s16_avg_latency
s15_avg_threads,s16_avg_queue_size
s15_avg_threads,s16_departure_rate
s15_avg_threads,s17_arrival_rate
s15_avg_threads,s17_avg_queue_size
s15_avg_threads,s17_departure_rate
s15_avg_threads,wf5_avg_e2e_latency
s15_avg_throughput,s15_departure_rate
s15_avg_throughput,s16_arrival_rate
s15_avg_throughput,s16_departure_rate
s15_avg_throughput,s17_departure_rate
s15_avg_throughput,wf5_avg_e2e_latency
s15_avg_throughput,wf5_violation_rate
s15_departure_rate,s16_arrival_rate
s15_departure_rate,s16_avg_queue_size
s15_departure_rate,s16_departure_rate
s15_departure_rate,s17_arrival_rate
s15_departure_rate,s17_avg_queue_size
s15_departure_rate,s17_departure_rate
s15_departure_rate,s21_departure_rate
s15_departure_rate,s22_arrival_rate
s15_departure_rate,s22_departure_rate
s15_departure_rate,s23_arrival_rate
s15_departure_rate,s23_departure_rate
s15_departure_rate,wf6_avg_e2e_latency
s16_arrival_rate,s16_avg_latency
s16_arrival_rate,s16_avg_queue_size
s16_arrival_rate,s16_departure_rate
s16_arrival_rate,s17_arrival_rate
s16_arrival_rate,s17_avg_queue_size
s16_arrival_rate,s17_departure_rate
s16_arrival_rate,s21_departure_rate
s16_arrival_rate,s23_arrival_rate
s16_arrival_rate,wf6_avg_e2e_latency
s16_avg_latency,node2_cpu_usage_pct
s16_avg_latency,s16_avg_queue_size
s16_avg_latency,s16_avg_throughput
s16_avg_latency,s16_departure_rate
s16_avg_latency,s17_arrival_rate
s16_avg_latency,s17_avg_latency
s16_avg_latency,s17_avg_throughput
s16_avg_latency,s17_departure_rate
s16_avg_queue_size,s16_avg_throughput
s16_avg_queue_size,s16_departure_rate
s16_avg_queue_size,s17_arrival_rate
s16_avg_queue_size,s17_avg_queue_size
s16_avg_queue_size,s17_departure_rate
s16_avg_throughput,s17_avg_throughput
s16_avg_throughput,wf5_violation_rate
s16_departure_rate,s17_arrival_rate
s16_departure_rate,s17_avg_queue_size
s16_departure_rate,s17_departure_rate
s16_departure_rate,s21_departure_rate
s16_departure_rate,s23_arrival_rate
s16_departure_rate,s23_departure_rate
s16_departure_rate,wf6_avg_e2e_latency
s17_arrival_rate,s17_avg_queue_size
s17_arrival_rate,s17_departure_rate
s17_arrival_rate,s23_arrival_rate
s17_avg_latency,s17_avg_throughput
s17_avg_queue_size,s17_avg_throughput
s17_avg_queue_size,s17_departure_rate
s17_avg_threads,s19_avg_threads
s17_avg_throughput,s6_avg_latency
s17_departure_rate,s21_departure_rate
s17_departure_rate,s23_arrival_rate
