task_i,task_j,weight
s0_avg_threads,s3_avg_threads,1.8413953139579336e-27
s0_avg_threads,s9_avg_threads,4.393030585794205e-28
s0_avg_threads,s12_avg_threads,6.652129584402223e-28
s0_avg_threads,s15_avg_threads,5.851194053745891e-28
s0_avg_threads,s17_avg_threads,0.015982220714072463
s0_avg_threads,s18_avg_threads,1.0567560155563341e-13
s0_avg_threads,s19_avg_threads,0.019836678589226057
s0_avg_threads,s21_avg_threads,0.9653108856542317
s0_avg_threads,s23_avg_threads,0.9997751671120741
s0_avg_threads,s24_avg_threads,0.08679936443481548
s3_avg_threads,s6_avg_threads,8.78073363096206e-15
s3_avg_threads,s8_avg_threads,2.5597987439619836e-16
s3_avg_threads,s9_avg_threads,1.7888266372683427e-17
s3_avg_threads,s12_avg_threads,3.4273804755430037e-15
s3_avg_threads,s15_avg_threads,2.065166247873332e-16
s3_avg_threads,s18_avg_threads,1.9672054944021268e-14
s3_avg_threads,s21_avg_threads,3.388701964473797e-28
s3_avg_threads,s23_avg_threads,2.4472655815793194e-26
s6_avg_threads,s8_avg_threads,0.028409597965099218
s6_avg_threads,s9_avg_threads,0.0019834690124189377
s6_avg_threads,s12_avg_threads,0.0036912502632473563
s6_avg_threads,s15_avg_threads,0.02335207905318701
s8_avg_threads,s9_avg_threads,7.227961084666247e-05
s8_avg_threads,s12_avg_threads,0.05734146079279918
s8_avg_threads,s15_avg_threads,0.006379994244081512
s9_avg_threads,s12_avg_threads,0.632049873922869
s9_avg_threads,s15_avg_threads,0.0004735527838340143
s9_avg_threads,s17_avg_threads,0.0867983489634816
s9_avg_threads,s18_avg_threads,4.373556751849247e-15
s9_avg_threads,s19_avg_threads,0.08597121182408808
s9_avg_threads,s21_avg_threads,6.999846579858503e-29
s9_avg_threads,s23_avg_threads,6.3606492737932886e-27
s12_avg_threads,s15_avg_threads,0.0008722788553726082
s12_avg_threads,s17_avg_threads,0.01925657021518363
s12_avg_threads,s18_avg_threads,6.114495835553959e-15
s12_avg_threads,s19_avg_threads,0.0190730664435967
s12_avg_threads,s21_avg_threads,8.875139685969525e-29
s12_avg_threads,s23_avg_threads,1.092512479948058e-12
s15_avg_threads,s18_avg_threads,5.7299521693371205e-15
s15_avg_threads,s21_avg_threads,8.999874481847051e-29
s15_avg_threads,s23_avg_threads,8.627623805992361e-27
s17_avg_threads,s19_avg_threads,0.9987455796957536
s17_avg_threads,s23_avg_threads,0.016000124709952206
s17_avg_threads,s24_avg_threads,0.18408691983947287
s18_avg_threads,s21_avg_threads,1.506369599777728e-14
s18_avg_threads,s23_avg_threads,1.6155130978023338e-12
s19_avg_threads,s23_avg_threads,0.019858900520588606
s19_avg_threads,s24_avg_threads,0.22848345837954484
s21_avg_threads,s23_avg_threads,0.9652814146461572
s23_avg_threads,s24_avg_threads,0.08689660095100481
