episode,total_violations,mean_step_total_violations,n_steps
1,24,4.0,6
2,45,9.0,5
3,42,6.0,7
4,45,7.5,6
5,42,7.0,6
6,18,3.0,6
7,38,7.6,5
8,36,6.0,6
9,40,8.0,5
10,47,7.833333333333333,6
11,44,7.333333333333333,6
12,39,7.8,5
13,61,10.166666666666666,6
14,36,6.0,6
15,44,7.333333333333333,6
16,42,7.0,6
17,49,8.166666666666666,6
18,30,6.0,5
19,36,7.2,5
20,44,7.333333333333333,6
21,34,5.666666666666667,6
22,47,7.833333333333333,6
23,49,8.166666666666666,6
24,23,3.8333333333333335,6
25,37,6.166666666666667,6
26,47,7.833333333333333,6
27,39,6.5,6
28,39,6.5,6
29,24,4.0,6
30,51,8.5,6
31,45,7.5,6
32,42,7.0,6
33,43,7.166666666666667,6
34,32,5.333333333333333,6
35,47,7.833333333333333,6
36,32,5.333333333333333,6
37,39,6.5,6
38,28,4.666666666666667,6
39,34,5.666666666666667,6
40,42,7.0,6
41,32,4.571428571428571,7
42,29,5.8,5
43,32,5.333333333333333,6
44,33,5.5,6
45,48,8.0,6
46,46,7.666666666666667,6
47,36,7.2,5
48,56,9.333333333333334,6
49,37,6.166666666666667,6
50,42,8.4,5
51,48,8.0,6
52,36,7.2,5
53,34,6.8,5
54,40,6.666666666666667,6
55,43,7.166666666666667,6
56,40,6.666666666666667,6
57,35,5.833333333333333,6
58,47,7.833333333333333,6
59,56,9.333333333333334,6
60,50,8.333333333333334,6
61,37,6.166666666666667,6
62,45,7.5,6
63,47,7.833333333333333,6
64,35,5.833333333333333,6
65,34,5.666666666666667,6
66,50,8.333333333333334,6
67,45,7.5,6
68,45,9.0,5
69,39,6.5,6
70,33,5.5,6
71,46,7.666666666666667,6
72,43,7.166666666666667,6
73,40,6.666666666666667,6
74,49,9.8,5
75,38,6.333333333333333,6
76,40,8.0,5
77,40,8.0,5
78,36,6.0,6
79,33,6.6,5
80,27,4.5,6
81,45,7.5,6
82,32,6.4,5
83,33,5.5,6
84,38,7.6,5
85,20,3.3333333333333335,6
86,48,8.0,6
87,46,7.666666666666667,6
88,41,6.833333333333333,6
89,30,5.0,6
90,31,5.166666666666667,6
91,41,6.833333333333333,6
92,37,7.4,5
93,48,8.0,6
94,32,6.4,5
95,47,9.4,5
96,40,6.666666666666667,6
97,47,7.833333333333333,6
98,32,5.333333333333333,6
99,30,5.0,6
100,51,8.5,6
