step,elapsed,sim_time,wf0_total_traces,wf0_violation_rate,wf0_violations,wf1_total_traces,wf1_violation_rate,wf1_violations,wf2_total_traces,wf2_violation_rate,wf2_violations,wf3_total_traces,wf3_violation_rate,wf3_violations,total_violations,node0_avg_cpu_threads,node0_avg_cpu_usage_pct,node1_avg_cpu_threads,node1_avg_cpu_usage_pct,node2_avg_cpu_threads,node2_avg_cpu_usage_pct
1,10.0,10.0,2,0.0,0,0,0.0,0,0,0.0,0,2,0.0,0,0,2.090909090909091,52.27272727272727,1.4545454545454546,36.36363636363637,0.7272727272727273,18.181818181818183
2,10.0,20.0,1,0.0,0,3,0.0,0,3,0.3333333333333333,1,2,1.0,2,3,4.0,100.0,3.2,80.0,1.6,40.0
3,10.0,30.0,2,0.0,0,4,0.0,0,5,0.4,2,0,0.0,0,2,4.0,100.0,2.6,65.0,1.4,35.0
4,10.0,40.0,4,0.25,1,4,0.25,1,4,0.25,1,0,0.0,0,3,4.0,100.0,3.2,80.0,1.8,45.0
5,10.0,50.0,3,1.0,3,3,0.3333333333333333,1,2,0.0,0,3,0.0,0,4,4.0,100.0,3.0,75.0,1.6,40.0
6,10.0,60.0,3,1.0,3,2,1.0,2,4,0.25,1,2,0.0,0,6,4.0,100.0,4.0,100.0,2.2,55.00000000000001
