step,elapsed,sim_time,wf0_total_traces,wf0_violation_rate,wf0_violations,wf1_total_traces,wf1_violation_rate,wf1_violations,wf2_total_traces,wf2_violation_rate,wf2_violations,wf3_total_traces,wf3_violation_rate,wf3_violations,total_violations,node0_avg_cpu_threads,node0_avg_cpu_usage_pct,node1_avg_cpu_threads,node1_avg_cpu_usage_pct,node2_avg_cpu_threads,node2_avg_cpu_usage_pct
1,10.0,10.0,2,0.0,0,0,0.0,0,1,0.0,0,1,0.0,0,0,2.1818181818181817,54.54545454545454,1.3636363636363635,34.090909090909086,0.8181818181818182,20.454545454545457
2,10.0,20.0,2,0.5,1,2,0.0,0,3,0.3333333333333333,1,2,0.5,1,3,4.0,100.0,3.3,82.5,1.6,40.0
3,10.0,30.0,2,1.0,2,3,0.0,0,4,1.0,4,2,1.0,2,8,4.0,100.0,2.8,70.0,1.5,37.5
4,10.0,40.0,2,1.0,2,3,0.3333333333333333,1,3,0.6666666666666666,2,2,1.0,2,7,4.0,100.0,3.4,85.0,1.6,40.0
5,10.0,50.0,4,0.5,2,2,1.0,2,5,0.6,3,1,1.0,1,8,4.0,100.0,3.4,85.0,1.5,37.5
6,10.0,60.0,3,1.0,3,3,1.0,3,5,1.0,5,2,1.0,2,13,4.0,100.0,3.2,80.0,1.4,35.0
