step,elapsed,sim_time,wf0_total_traces,wf0_violation_rate,wf0_violations,wf1_total_traces,wf1_violation_rate,wf1_violations,wf2_total_traces,wf2_violation_rate,wf2_violations,wf3_total_traces,wf3_violation_rate,wf3_violations,total_violations,node0_avg_cpu_threads,node0_avg_cpu_usage_pct,node1_avg_cpu_threads,node1_avg_cpu_usage_pct,node2_avg_cpu_threads,node2_avg_cpu_usage_pct
1,10.0,10.0,1,0.0,0,1,0.0,0,2,0.0,0,0,0.0,0,0,2.4545454545454546,61.36363636363637,1.7272727272727273,43.18181818181818,0.8181818181818182,20.454545454545457
2,10.0,20.0,2,1.0,2,5,0.4,2,1,0.0,0,2,0.0,0,4,3.6,90.0,2.3,57.49999999999999,1.4,35.0
3,10.0,30.0,3,1.0,3,4,1.0,4,1,0.0,0,1,0.0,0,7,3.8,95.0,2.8,70.0,1.4,35.0
4,10.0,40.0,2,0.5,1,4,1.0,4,2,0.5,1,2,1.0,2,8,4.0,100.0,3.0,75.0,1.5,37.5
5,10.0,50.0,2,0.5,1,4,0.25,1,2,1.0,2,2,1.0,2,6,4.0,100.0,3.6,90.0,2.0,50.0
6,10.0,60.0,3,0.6666666666666666,2,6,1.0,6,3,1.0,3,4,0.5,2,13,4.0,100.0,3.5,87.5,2.6,65.0
