,t0(s0),t1(s1),t2(s2),t3(s3),t4(s4),t5(s5),t6(s6),t7(s7)
t0(s0),0.0,0.0002248167702332953,0.0002248167702332953,0.0002248167702332953,0.0002248167702332953,0.0002248167702332953,0.0002248167702332953,0.0002248167702332953
t1(s1),0.0002248167702332953,0.0,0.0002248167702332953,0.0002248167702332953,0.0002248167702332953,0.0002248167702332953,0.0002248167702332953,0.0002248167702332953
t2(s2),0.0002248167702332953,0.0002248167702332953,0.0,0.0002248167702332953,0.0002248167702332953,0.0002248167702332953,0.0002248167702332953,0.0002248167702332953
t3(s3),0.0002248167702332953,0.0002248167702332953,0.0002248167702332953,0.0,0.0002248167702332953,0.0002248167702332953,0.0002248167702332953,0.0002248167702332953
t4(s4),0.0002248167702332953,0.0002248167702332953,0.0002248167702332953,0.0002248167702332953,0.0,0.0002248167702332953,0.0002248167702332953,0.0002248167702332953
t5(s5),0.0002248167702332953,0.0002248167702332953,0.0002248167702332953,0.0002248167702332953,0.0002248167702332953,0.0,0.0002248167702332953,0.0002248167702332953
t6(s6),0.0002248167702332953,0.0002248167702332953,0.0002248167702332953,0.0002248167702332953,0.0002248167702332953,0.0002248167702332953,0.0,0.0002248167702332953
t7(s7),0.0002248167702332953,0.0002248167702332953,0.0002248167702332953,0.0002248167702332953,0.0002248167702332953,0.0002248167702332953,0.0002248167702332953,0.0
