Service,[Passive] T̄ (ms),[Passive] thr/s,[Ctrl] T̄ (ms),[Ctrl] thr/s
Service 0,6.884410185739516,442.2795722493707,1003.1646573191626,402.13260326359347
Service 1,6.073413303486009,441.4816959218771,1040.7439799643753,404.48092535686806
