t,service_id,service_name,arrival_rate,departure_rate,avg_latency_ms,queue_size,e2e_latency_ms
0.2,0,Service 0,0.0,0.0,,0,
0.4,0,Service 0,0.0,0.0,,0,
0.6000000000000001,0,Service 0,0.0,0.0,,0,
0.8,0,Service 0,0.0,0.0,,0,
1.0,0,Service 0,0.0,0.0,,0,
1.2000000000000002,0,Service 0,0.0,0.0,,0,
1.4000000000000001,0,Service 0,0.0,0.0,,0,
1.6,0,Service 0,0.0,0.0,,0,
1.8,0,Service 0,0.0,0.0,,0,
2.0,0,Service 0,0.0,0.0,,0,
2.2,0,Service 0,0.0,0.0,,0,
2.4000000000000004,0,Service 0,0.0,0.0,,0,
2.6,0,Service 0,0.0,0.0,,0,
2.8000000000000003,0,Service 0,0.0,0.0,,0,
3.0,0,Service 0,0.0,0.0,,0,
3.2,0,Service 0,0.0,0.0,,0,
3.4000000000000004,0,Service 0,0.0,0.0,,0,
3.6,0,Service 0,0.0,0.0,,0,
3.8000000000000003,0,Service 0,0.0,0.0,,0,
4.0,0,Service 0,0.0,0.0,,0,
4.2,0,Service 0,0.0,0.0,,0,
4.4,0,Service 0,0.0,0.0,,0,
4.6000000000000005,0,Service 0,0.0,0.0,,0,
4.800000000000001,0,Service 0,0.0,0.0,,0,
5.0,0,Service 0,0.0,0.0,,0,
5.2,0,Service 0,0.0,0.0,,0,
5.4,0,Service 0,0.0,0.0,,0,
5.6000000000000005,0,Service 0,0.0,0.0,,0,
5.800000000000001,0,Service 0,0.0,0.0,,0,
6.0,0,Service 0,0.0,0.0,,0,
6.2,0,Service 0,0.0,0.0,,0,
6.4,0,Service 0,0.0,0.0,,0,
6.6000000000000005,0,Service 0,0.0,0.0,,0,
6.800000000000001,0,Service 0,0.0,0.0,,0,
7.0,0,Service 0,0.0,0.0,,0,
7.2,0,Service 0,0.0,0.0,,0,
7.4,0,Service 0,0.0,0.0,,0,
7.6000000000000005,0,Service 0,0.0,0.0,,0,
7.800000000000001,0,Service 0,0.0,0.0,,0,
8.0,0,Service 0,0.0,0.0,,0,
8.200000000000001,0,Service 0,0.0,0.0,,0,
8.4,0,Service 0,0.0,0.0,,0,
8.6,0,Service 0,0.0,0.0,,0,
8.8,0,Service 0,0.0,0.0,,0,
9.0,0,Service 0,90.0,90.0,1.9436203564820391,0,1.9436203564820391
9.200000000000001,0,Service 0,470.0,460.0,5.882422536070413,2,5.882422536070413
9.4,0,Service 0,420.0,400.0,5.779331245823327,6,5.779331245823327
9.600000000000001,0,Service 0,470.0,490.0,7.808693095691148,2,7.808693095691148
9.8,0,Service 0,355.0,360.0,3.4817770882742654,1,3.4817770882742654
