episode,total_violations,mean_step_total_violations,n_steps
1,45,2.8125,16
2,43,2.6875,16
3,34,2.125,16
4,12,0.6,20
5,32,2.0,16
6,51,3.1875,16
7,34,1.8888888888888888,18
8,42,2.3333333333333335,18
9,50,3.5714285714285716,14
10,33,1.65,20
11,46,2.875,16
12,41,2.411764705882353,17
13,18,0.8181818181818182,22
14,35,1.8421052631578947,19
15,39,2.6,15
16,18,0.9473684210526315,19
17,40,2.2222222222222223,18
18,24,1.1428571428571428,21
19,35,2.0588235294117645,17
20,17,0.9444444444444444,18
21,57,4.071428571428571,14
22,42,2.210526315789474,19
23,27,1.5,18
24,33,1.8333333333333333,18
25,18,1.125,16
26,8,0.47058823529411764,17
27,21,1.2352941176470589,17
28,30,1.875,16
29,37,2.176470588235294,17
30,29,1.7058823529411764,17
31,39,2.6,15
32,62,4.133333333333334,15
33,23,1.3529411764705883,17
34,22,1.375,16
35,31,1.9375,16
36,12,0.6666666666666666,18
37,19,1.0,19
38,22,1.1,20
39,11,0.6875,16
40,61,4.357142857142857,14
41,23,1.3529411764705883,17
42,32,2.0,16
43,11,0.6111111111111112,18
44,9,0.5294117647058824,17
45,17,0.85,20
46,25,1.25,20
47,52,3.25,16
48,46,2.875,16
49,43,2.15,20
50,32,2.0,16
51,26,1.368421052631579,19
52,28,2.0,14
53,31,1.55,20
54,9,0.5294117647058824,17
55,15,0.7894736842105263,19
56,54,3.375,16
57,36,2.1176470588235294,17
58,8,0.47058823529411764,17
59,31,1.631578947368421,19
60,59,3.2777777777777777,18
61,38,2.375,16
62,29,1.7058823529411764,17
63,12,0.5714285714285714,21
64,51,2.6842105263157894,19
65,32,1.7777777777777777,18
66,40,2.3529411764705883,17
67,66,4.714285714285714,14
68,32,1.8823529411764706,17
69,29,1.7058823529411764,17
70,47,3.1333333333333333,15
71,30,1.6666666666666667,18
72,43,2.388888888888889,18
73,12,0.7058823529411765,17
74,29,1.7058823529411764,17
75,59,4.538461538461538,13
76,21,1.05,20
77,38,2.7142857142857144,14
78,38,2.111111111111111,18
79,41,2.411764705882353,17
80,40,2.1052631578947367,19
81,24,1.263157894736842,19
82,28,1.4,20
83,46,2.7058823529411766,17
84,44,2.588235294117647,17
85,49,3.0625,16
86,38,2.0,19
87,34,2.0,17
88,18,1.0,18
89,38,2.533333333333333,15
90,26,1.368421052631579,19
91,36,2.0,18
92,31,1.631578947368421,19
93,33,1.8333333333333333,18
94,19,1.0,19
95,64,4.923076923076923,13
96,23,1.2777777777777777,18
97,34,2.4285714285714284,14
98,62,4.133333333333334,15
99,59,3.933333333333333,15
100,20,1.25,16
