task_i,task_j,weight
s0_avg_threads,s3_avg_threads,3.285617421350971e-17
s0_avg_threads,s6_avg_threads,1.134509647922865e-28
s0_avg_threads,s9_avg_threads,1.825972315633294e-15
s0_avg_threads,s10_avg_threads,1.6520669436557116e-14
s0_avg_threads,s12_avg_threads,1.1913591932249911e-17
s0_avg_threads,s13_avg_threads,1.2142963065586467e-15
s0_avg_threads,s15_avg_threads,1.1380396830123976e-16
s0_avg_threads,s16_avg_threads,0.3064011857459514
s0_avg_threads,s19_avg_threads,5.899516100870799e-15
s0_avg_threads,s21_avg_threads,1.1575339020649396e-15
s3_avg_threads,s6_avg_threads,1.0008469728673534e-15
s3_avg_threads,s9_avg_threads,0.017100490719874645
s3_avg_threads,s10_avg_threads,0.016957066516384615
s3_avg_threads,s12_avg_threads,2.9729606186093796e-05
s3_avg_threads,s13_avg_threads,0.30104968805103033
s3_avg_threads,s15_avg_threads,0.0010156256235514507
s3_avg_threads,s16_avg_threads,0.27306717435074246
s3_avg_threads,s19_avg_threads,3.912449438026779e-17
s3_avg_threads,s21_avg_threads,5.402600080929066e-17
s6_avg_threads,s9_avg_threads,1.075219848931295e-13
s6_avg_threads,s10_avg_threads,6.299145787184399e-14
s6_avg_threads,s12_avg_threads,9.722214065034507e-17
s6_avg_threads,s13_avg_threads,3.4326945140309096e-14
s6_avg_threads,s15_avg_threads,2.1095306770044208e-14
s6_avg_threads,s19_avg_threads,1.1516534714998552e-28
s6_avg_threads,s21_avg_threads,1.5013570152760825e-15
s9_avg_threads,s10_avg_threads,0.9383904424212275
s9_avg_threads,s12_avg_threads,0.0017302783211769288
s9_avg_threads,s13_avg_threads,0.5509918638188065
s9_avg_threads,s15_avg_threads,0.0563212754705446
s9_avg_threads,s16_avg_threads,0.004500652474041779
s9_avg_threads,s19_avg_threads,0.2159003253038418
s9_avg_threads,s21_avg_threads,0.009766185612659607
s10_avg_threads,s12_avg_threads,0.001640278052642634
s10_avg_threads,s13_avg_threads,0.6028046463608057
s10_avg_threads,s15_avg_threads,0.05789210900091098
s10_avg_threads,s16_avg_threads,1.1468333039650152e-14
s10_avg_threads,s19_avg_threads,1.823739294764008e-15
s10_avg_threads,s21_avg_threads,3.2759363637378143e-15
s12_avg_threads,s13_avg_threads,0.5414582225108185
s12_avg_threads,s15_avg_threads,0.00010431889328810259
s12_avg_threads,s16_avg_threads,0.5914066610578302
s12_avg_threads,s19_avg_threads,3.765713788388754e-18
s12_avg_threads,s21_avg_threads,0.007911825478216276
s13_avg_threads,s15_avg_threads,0.03443375368185197
s13_avg_threads,s16_avg_threads,0.3841386183607654
s13_avg_threads,s19_avg_threads,9.850153455831374e-16
s13_avg_threads,s21_avg_threads,0.13016661639422317
s15_avg_threads,s16_avg_threads,4.132308062778856e-15
s15_avg_threads,s19_avg_threads,1.1927001629314345e-16
s15_avg_threads,s21_avg_threads,0.01977858517352709
s16_avg_threads,s19_avg_threads,1.914372058900799e-15
s16_avg_threads,s21_avg_threads,0.429887644198705
s19_avg_threads,s21_avg_threads,5.3530569296643694e-30
