episode,total_violations,mean_step_total_violations,n_steps
1,40,10.0,4
2,43,10.75,4
3,28,7.0,4
4,41,10.25,4
5,41,10.25,4
6,37,9.25,4
7,35,8.75,4
8,46,11.5,4
9,39,9.75,4
10,40,10.0,4
11,39,9.75,4
12,40,10.0,4
13,39,9.75,4
14,41,10.25,4
15,42,10.5,4
16,45,11.25,4
17,41,10.25,4
18,36,9.0,4
19,38,9.5,4
20,42,10.5,4
21,42,10.5,4
22,41,10.25,4
23,34,8.5,4
24,37,9.25,4
25,43,10.75,4
26,36,9.0,4
27,43,10.75,4
28,39,9.75,4
29,36,9.0,4
30,39,9.75,4
31,37,9.25,4
32,39,9.75,4
33,36,9.0,4
34,40,10.0,4
35,41,10.25,4
36,42,10.5,4
37,39,9.75,4
38,39,9.75,4
39,40,10.0,4
40,37,9.25,4
41,44,11.0,4
42,41,10.25,4
43,39,9.75,4
44,38,9.5,4
45,35,8.75,4
46,46,11.5,4
47,37,9.25,4
48,44,11.0,4
49,38,9.5,4
50,36,9.0,4
51,39,9.75,4
52,37,9.25,4
53,37,9.25,4
54,32,8.0,4
55,37,9.25,4
56,37,9.25,4
57,39,9.75,4
58,41,10.25,4
59,45,11.25,4
60,33,8.25,4
61,37,9.25,4
62,40,10.0,4
63,37,9.25,4
64,41,10.25,4
65,43,10.75,4
66,35,8.75,4
67,41,10.25,4
68,42,10.5,4
69,40,10.0,4
70,42,10.5,4
71,39,9.75,4
72,36,9.0,4
73,44,11.0,4
74,40,10.0,4
75,40,10.0,4
76,37,9.25,4
77,40,10.0,4
78,39,9.75,4
79,44,11.0,4
80,43,10.75,4
81,40,10.0,4
82,31,7.75,4
83,35,8.75,4
84,40,10.0,4
85,35,8.75,4
86,38,9.5,4
87,34,8.5,4
88,39,9.75,4
89,39,9.75,4
90,45,11.25,4
91,39,9.75,4
92,42,10.5,4
93,43,10.75,4
94,44,11.0,4
95,40,10.0,4
96,42,10.5,4
97,41,10.25,4
98,43,10.75,4
99,34,8.5,4
100,41,10.25,4
