2026-05-03T09:53:09.063209Z,generate_tig_start,489603072,421990694912,17179869184,7114670080
2026-05-03T09:53:09.063714Z,delta_start,489652224,421990694912,17179869184,7113637888
2026-05-03T09:53:09.079798Z,after_prepare_from_observations,491110400,421992529920,17179869184,7112097792
2026-05-03T09:53:09.081648Z,before_queries,491110400,421992529920,17179869184,7112114176
2026-05-03T10:00:08.949137Z,generate_tig_start,491814912,421865914368,17179869184,6783926272
2026-05-03T10:00:08.949707Z,delta_start,491847680,421865914368,17179869184,6783975424
2026-05-03T10:00:08.965703Z,after_prepare_from_observations,493273088,421866700800,17179869184,6783975424
2026-05-03T10:00:08.967537Z,before_queries,493273088,421866700800,17179869184,6783975424
2026-05-03T10:00:30.701510Z,after_queries,493125632,421863260160,17179869184,6816677888
2026-05-03T10:00:30.701749Z,delta_end,493125632,421863260160,17179869184,6816694272
2026-05-03T10:00:30.701903Z,after_delta,493125632,421863260160,17179869184,6816694272
2026-05-03T10:00:30.983657Z,after_persist_tig,535101440,421870026752,17179869184,6785171456
