task_i,task_j,weight
s0_avg_threads,s3_avg_threads,0.05612097836790757
s0_avg_threads,s4_avg_threads,5.028629123179784e-07
s0_avg_threads,s6_avg_threads,0.014591083535293469
s0_avg_threads,s12_avg_threads,0.0003673385964371702
s0_avg_threads,s13_avg_threads,0.5767749994145429
s0_avg_threads,s14_avg_threads,1.3529982828955221e-06
s0_avg_threads,s15_avg_threads,1.2780888828712031e-14
s0_avg_threads,s17_avg_threads,0.014547313940017428
s0_avg_threads,s18_avg_threads,0.7876080658918749
s3_avg_threads,s4_avg_threads,1.86130639555016e-15
s3_avg_threads,s13_avg_threads,0.0010026970568895847
s3_avg_threads,s14_avg_threads,1.9137075683267098e-15
s3_avg_threads,s17_avg_threads,0.4002454114861528
s3_avg_threads,s18_avg_threads,0.2548741031041957
s4_avg_threads,s6_avg_threads,3.304437364674075e-05
s4_avg_threads,s12_avg_threads,8.321353447029749e-07
s4_avg_threads,s13_avg_threads,5.572063275728536e-09
s4_avg_threads,s14_avg_threads,0.8969092559893037
s4_avg_threads,s15_avg_threads,2.036269586325148e-19
s4_avg_threads,s17_avg_threads,2.87564631794622e-20
s4_avg_threads,s18_avg_threads,5.6537160495901396e-06
s6_avg_threads,s12_avg_threads,0.02408616966875437
s6_avg_threads,s13_avg_threads,0.00016170651865607386
s6_avg_threads,s14_avg_threads,8.892384377672917e-05
s6_avg_threads,s15_avg_threads,5.92612937735942e-15
s6_avg_threads,s17_avg_threads,1.2749586212976166e-15
s6_avg_threads,s18_avg_threads,0.1641018070011996
s9_avg_threads,s10_avg_threads,0.9950195096786588
s9_avg_threads,s11_avg_threads,0.9911747758696855
s10_avg_threads,s11_avg_threads,0.9992080238660724
s12_avg_threads,s13_avg_threads,4.070323292007839e-06
s12_avg_threads,s14_avg_threads,2.2389142743556346e-06
s12_avg_threads,s15_avg_threads,2.9799605600923018e-15
s12_avg_threads,s17_avg_threads,2.0441025231369908e-17
s12_avg_threads,s18_avg_threads,0.004129940262320783
s13_avg_threads,s14_avg_threads,1.499214301557879e-08
s13_avg_threads,s15_avg_threads,1.6502730634905814e-14
s13_avg_threads,s17_avg_threads,0.00026448298301786196
s13_avg_threads,s18_avg_threads,0.006330697594997416
s14_avg_threads,s15_avg_threads,5.478833108959467e-19
s14_avg_threads,s17_avg_threads,7.753269019860804e-20
s14_avg_threads,s18_avg_threads,1.5211856456801869e-05
s15_avg_threads,s17_avg_threads,5.3952827327971776e-15
s15_avg_threads,s18_avg_threads,2.5092322422415103e-13
s17_avg_threads,s18_avg_threads,0.06415027638159829
