episode,total_violations,mean_step_total_violations,n_steps
1,26,6.5,4
2,33,8.25,4
3,39,9.75,4
4,47,9.4,5
5,34,8.5,4
6,26,6.5,4
7,38,9.5,4
8,30,7.5,4
9,37,9.25,4
10,41,10.25,4
11,40,10.0,4
12,38,9.5,4
13,35,8.75,4
14,34,8.5,4
15,48,9.6,5
16,39,9.75,4
17,44,11.0,4
18,40,10.0,4
19,36,9.0,4
20,27,6.75,4
21,31,7.75,4
22,30,7.5,4
23,38,7.6,5
24,36,9.0,4
25,41,10.25,4
26,38,9.5,4
27,43,8.6,5
28,30,7.5,4
29,36,9.0,4
30,39,9.75,4
31,31,7.75,4
32,33,8.25,4
33,40,10.0,4
34,38,9.5,4
35,25,6.25,4
36,36,9.0,4
37,43,10.75,4
38,41,10.25,4
39,38,9.5,4
40,36,9.0,4
41,37,9.25,4
42,55,11.0,5
43,31,7.75,4
44,36,9.0,4
45,35,8.75,4
46,39,9.75,4
47,50,10.0,5
48,34,8.5,4
49,37,9.25,4
50,43,10.75,4
51,28,7.0,4
52,32,8.0,4
53,41,10.25,4
54,38,7.6,5
55,41,10.25,4
56,32,8.0,4
57,35,7.0,5
58,39,9.75,4
59,36,9.0,4
60,43,8.6,5
61,34,8.5,4
62,36,9.0,4
63,33,8.25,4
64,39,9.75,4
65,47,9.4,5
66,38,9.5,4
67,28,7.0,4
68,32,8.0,4
69,25,6.25,4
70,31,7.75,4
71,42,10.5,4
72,41,10.25,4
73,36,9.0,4
74,44,8.8,5
75,32,8.0,4
76,35,8.75,4
77,39,9.75,4
78,36,9.0,4
79,33,8.25,4
80,42,8.4,5
81,31,7.75,4
82,32,8.0,4
83,38,9.5,4
84,46,9.2,5
85,32,8.0,4
86,42,10.5,4
87,42,10.5,4
88,28,7.0,4
89,36,9.0,4
90,39,9.75,4
91,40,10.0,4
92,35,8.75,4
93,37,9.25,4
94,44,8.8,5
95,42,10.5,4
96,33,8.25,4
97,40,10.0,4
98,37,9.25,4
99,35,8.75,4
100,43,10.75,4
