source,target
node0_avg_cpu_threads,node0_cpu_usage_pct
node1_avg_cpu_threads,node1_cpu_usage_pct
node1_avg_cpu_threads,node2_avg_cpu_threads
node1_avg_cpu_threads,node2_cpu_usage_pct
node1_cpu_usage_pct,node2_cpu_usage_pct
node2_avg_cpu_threads,node1_cpu_usage_pct
node2_avg_cpu_threads,node2_cpu_usage_pct
node2_avg_cpu_threads,s1_avg_latency
node2_avg_cpu_threads,s1_departure_rate
node2_avg_cpu_threads,s2_departure_rate
s0_arrival_rate,s0_avg_latency
s0_arrival_rate,s0_avg_queue_size
s0_arrival_rate,s0_avg_throughput
s0_arrival_rate,s0_departure_rate
s0_arrival_rate,s1_arrival_rate
s0_arrival_rate,s1_departure_rate
s0_arrival_rate,s2_arrival_rate
s0_arrival_rate,s2_departure_rate
s0_arrival_rate,s7_avg_throughput
s0_arrival_rate,wf0_avg_e2e_latency
s0_avg_latency,s0_avg_queue_size
s0_avg_latency,s0_avg_throughput
s0_avg_latency,s1_avg_throughput
s0_avg_latency,wf0_avg_e2e_latency
s0_avg_latency,wf0_violation_rate
s0_avg_queue_size,s0_avg_throughput
s0_avg_queue_size,s14_avg_latency
s0_avg_queue_size,s1_avg_throughput
s0_avg_queue_size,wf0_avg_e2e_latency
s0_avg_queue_size,wf0_violation_rate
s0_avg_threads,s0_avg_throughput
s0_avg_threads,s0_departure_rate
s0_avg_threads,s19_arrival_rate
s0_avg_threads,s1_arrival_rate
s0_avg_threads,s1_avg_latency
s0_avg_threads,s1_avg_queue_size
s0_avg_threads,s1_departure_rate
s0_avg_threads,s20_arrival_rate
s0_avg_threads,s2_arrival_rate
s0_avg_threads,s2_departure_rate
s0_avg_throughput,s0_departure_rate
s0_avg_throughput,s1_arrival_rate
s0_avg_throughput,s1_departure_rate
s0_avg_throughput,s2_arrival_rate
s0_avg_throughput,s2_departure_rate
s0_avg_throughput,s7_avg_throughput
s0_avg_throughput,wf0_avg_e2e_latency
s0_avg_throughput,wf0_violation_rate
s0_departure_rate,s13_arrival_rate
s0_departure_rate,s13_departure_rate
s0_departure_rate,s14_departure_rate
s0_departure_rate,s18_departure_rate
s0_departure_rate,s19_arrival_rate
s0_departure_rate,s19_departure_rate
s0_departure_rate,s1_arrival_rate
s0_departure_rate,s1_avg_latency
s0_departure_rate,s1_avg_queue_size
s0_departure_rate,s1_departure_rate
s0_departure_rate,s20_arrival_rate
s0_departure_rate,s20_departure_rate
s0_departure_rate,s2_arrival_rate
s0_departure_rate,s2_departure_rate
s0_departure_rate,s3_arrival_rate
s10_arrival_rate,s10_avg_latency
s10_arrival_rate,s10_avg_queue_size
s10_arrival_rate,s10_departure_rate
s10_arrival_rate,s11_arrival_rate
s10_arrival_rate,s11_avg_queue_size
s10_arrival_rate,s11_departure_rate
s10_arrival_rate,s13_arrival_rate
s10_arrival_rate,s13_departure_rate
s10_arrival_rate,s14_departure_rate
s10_arrival_rate,s15_departure_rate
s10_arrival_rate,s16_arrival_rate
s10_arrival_rate,s16_departure_rate
s10_arrival_rate,s17_arrival_rate
s10_arrival_rate,s17_departure_rate
s10_arrival_rate,s9_avg_latency
s10_arrival_rate,s9_avg_throughput
s10_arrival_rate,s9_departure_rate
s10_arrival_rate,wf3_avg_e2e_latency
s10_avg_latency,s10_avg_queue_size
s10_avg_latency,s10_avg_throughput
s10_avg_latency,s10_departure_rate
s10_avg_latency,s11_arrival_rate
s10_avg_latency,s11_avg_latency
s10_avg_latency,s11_departure_rate
s10_avg_latency,s1_avg_latency
s10_avg_latency,s9_departure_rate
s10_avg_latency,wf5_violation_rate
s10_avg_queue_size,s10_avg_throughput
s10_avg_queue_size,s10_departure_rate
s10_avg_queue_size,s11_arrival_rate
s10_avg_queue_size,s11_avg_queue_size
s10_avg_queue_size,s11_departure_rate
s10_avg_queue_size,s16_arrival_rate
s10_avg_queue_size,s16_departure_rate
s10_avg_queue_size,s9_avg_latency
s10_avg_queue_size,s9_avg_throughput
s10_avg_queue_size,s9_departure_rate
s10_avg_queue_size,wf3_avg_e2e_latency
s10_avg_threads,s10_avg_latency
s10_avg_throughput,s11_avg_throughput
s10_avg_throughput,s16_avg_latency
s10_departure_rate,s11_arrival_rate
s10_departure_rate,s11_avg_queue_size
s10_departure_rate,s11_departure_rate
s10_departure_rate,s12_departure_rate
s10_departure_rate,s13_arrival_rate
s10_departure_rate,s13_departure_rate
s10_departure_rate,s14_arrival_rate
s10_departure_rate,s14_departure_rate
s10_departure_rate,s16_arrival_rate
s10_departure_rate,s9_avg_latency
s10_departure_rate,s9_avg_throughput
s10_departure_rate,s9_departure_rate
s10_departure_rate,wf3_avg_e2e_latency
s11_arrival_rate,s11_avg_queue_size
s11_arrival_rate,s11_departure_rate
s11_arrival_rate,s12_departure_rate
s11_arrival_rate,s13_arrival_rate
s11_arrival_rate,s13_departure_rate
s11_arrival_rate,s14_arrival_rate
s11_arrival_rate,s14_departure_rate
s11_arrival_rate,s15_departure_rate
s11_arrival_rate,s16_arrival_rate
s11_arrival_rate,s16_departure_rate
s11_arrival_rate,s17_arrival_rate
s11_arrival_rate,s17_departure_rate
s11_arrival_rate,s9_avg_latency
s11_arrival_rate,s9_avg_throughput
s11_arrival_rate,s9_departure_rate
s11_arrival_rate,wf3_avg_e2e_latency
s11_avg_latency,s11_avg_throughput
s11_avg_queue_size,s11_avg_throughput
s11_avg_queue_size,s11_departure_rate
s11_avg_queue_size,s3_avg_throughput
s11_avg_queue_size,s9_departure_rate
s11_avg_threads,s11_avg_latency
s11_avg_threads,s7_avg_threads
s11_avg_throughput,s14_avg_queue_size
s11_avg_throughput,s9_avg_latency
s11_avg_throughput,s9_avg_queue_size
s11_departure_rate,s12_departure_rate
s11_departure_rate,s13_arrival_rate
s11_departure_rate,s13_departure_rate
s11_departure_rate,s14_arrival_rate
s11_departure_rate,s14_departure_rate
s11_departure_rate,s15_departure_rate
s11_departure_rate,s16_arrival_rate
s11_departure_rate,s17_arrival_rate
s11_departure_rate,s9_avg_latency
s11_departure_rate,s9_avg_throughput
s11_departure_rate,s9_departure_rate
s11_departure_rate,wf3_avg_e2e_latency
s12_arrival_rate,s12_avg_latency
s12_arrival_rate,s12_avg_queue_size
s12_arrival_rate,s12_avg_throughput
s12_arrival_rate,wf4_avg_e2e_latency
s12_arrival_rate,wf4_violation_rate
s12_avg_latency,s12_avg_queue_size
s12_avg_latency,s12_avg_throughput
s12_avg_latency,s13_arrival_rate
s12_avg_latency,s13_avg_queue_size
s12_avg_latency,s13_departure_rate
s12_avg_latency,s14_arrival_rate
s12_avg_latency,s14_avg_queue_size
s12_avg_latency,s14_departure_rate
s12_avg_latency,wf4_avg_e2e_latency
s12_avg_latency,wf4_violation_rate
s12_avg_queue_size,s12_avg_throughput
s12_avg_queue_size,s12_departure_rate
s12_avg_queue_size,s13_arrival_rate
s12_avg_queue_size,s13_departure_rate
s12_avg_queue_size,s14_arrival_rate
s12_avg_queue_size,s14_avg_queue_size
s12_avg_queue_size,s14_departure_rate
s12_avg_queue_size,wf4_avg_e2e_latency
s12_avg_queue_size,wf4_violation_rate
s12_avg_threads,s12_arrival_rate
s12_avg_threads,s12_avg_latency
s12_avg_threads,s12_avg_queue_size
s12_avg_threads,s12_avg_throughput
s12_avg_threads,s12_departure_rate
s12_avg_threads,s13_arrival_rate
s12_avg_threads,s13_avg_latency
s12_avg_threads,s13_avg_queue_size
s12_avg_threads,s13_departure_rate
s12_avg_threads,s14_arrival_rate
s12_avg_threads,s14_avg_queue_size
s12_avg_threads,s14_departure_rate
s12_avg_threads,s2_avg_throughput
s12_avg_threads,wf4_avg_e2e_latency
s12_avg_throughput,s12_departure_rate
s12_avg_throughput,s13_arrival_rate
s12_avg_throughput,s13_avg_queue_size
s12_avg_throughput,s13_departure_rate
s12_avg_throughput,s14_arrival_rate
s12_avg_throughput,s14_avg_queue_size
s12_avg_throughput,s14_departure_rate
s12_avg_throughput,wf4_avg_e2e_latency
s12_avg_throughput,wf4_violation_rate
s12_departure_rate,s13_arrival_rate
s12_departure_rate,s13_avg_latency
s12_departure_rate,s13_avg_queue_size
s12_departure_rate,s13_departure_rate
s12_departure_rate,s14_arrival_rate
s12_departure_rate,s14_avg_queue_size
s12_departure_rate,s14_departure_rate
s12_departure_rate,s2_arrival_rate
s12_departure_rate,s2_avg_latency
s12_departure_rate,s2_avg_throughput
s12_departure_rate,wf4_avg_e2e_latency
s13_arrival_rate,s13_avg_latency
s13_arrival_rate,s13_avg_queue_size
s13_arrival_rate,s13_departure_rate
s13_arrival_rate,s14_arrival_rate
s13_arrival_rate,s14_avg_queue_size
s13_arrival_rate,s14_departure_rate
s13_arrival_rate,s1_arrival_rate
s13_arrival_rate,s1_departure_rate
s13_arrival_rate,s2_arrival_rate
s13_arrival_rate,s2_avg_latency
s13_arrival_rate,s2_avg_throughput
s13_arrival_rate,s2_departure_rate
s13_arrival_rate,s9_avg_throughput
s13_arrival_rate,s9_departure_rate
s13_arrival_rate,wf4_avg_e2e_latency
s13_avg_latency,s13_avg_queue_size
s13_avg_latency,s13_avg_throughput
s13_avg_latency,s13_departure_rate
s13_avg_latency,s14_arrival_rate
s13_avg_latency,s14_avg_latency
s13_avg_latency,s14_departure_rate
