episode,total_violations,mean_step_total_violations,n_steps
1,33,8.25,4
2,34,8.5,4
3,36,9.0,4
4,42,8.4,5
5,38,9.5,4
6,36,9.0,4
7,36,9.0,4
8,44,11.0,4
9,45,9.0,5
10,37,7.4,5
11,42,10.5,4
12,34,8.5,4
13,38,9.5,4
14,38,9.5,4
15,34,8.5,4
16,35,8.75,4
17,44,8.8,5
18,41,10.25,4
19,39,9.75,4
20,47,9.4,5
21,48,9.6,5
22,37,9.25,4
23,36,9.0,4
24,34,8.5,4
25,41,10.25,4
26,33,8.25,4
27,42,10.5,4
28,41,10.25,4
29,50,10.0,5
30,32,8.0,4
31,35,8.75,4
32,32,8.0,4
33,42,8.4,5
34,41,8.2,5
35,48,9.6,5
36,42,10.5,4
37,36,9.0,4
38,34,8.5,4
39,37,7.4,5
40,39,9.75,4
41,42,8.4,5
42,35,8.75,4
43,28,7.0,4
44,35,8.75,4
45,30,7.5,4
46,34,8.5,4
47,44,11.0,4
48,35,7.0,5
49,33,8.25,4
50,55,11.0,5
51,40,10.0,4
52,37,9.25,4
53,37,9.25,4
54,40,10.0,4
55,51,10.2,5
56,41,10.25,4
57,36,9.0,4
58,43,8.6,5
59,37,9.25,4
60,27,6.75,4
61,35,8.75,4
62,36,9.0,4
63,39,9.75,4
64,40,10.0,4
65,38,9.5,4
66,36,9.0,4
67,38,9.5,4
68,31,7.75,4
69,38,9.5,4
70,46,9.2,5
71,34,8.5,4
72,37,9.25,4
73,31,7.75,4
74,43,10.75,4
75,43,10.75,4
76,30,7.5,4
77,28,7.0,4
78,40,10.0,4
79,25,6.25,4
80,44,8.8,5
81,40,10.0,4
82,43,8.6,5
83,37,9.25,4
84,32,8.0,4
85,28,7.0,4
86,32,8.0,4
87,37,9.25,4
88,32,8.0,4
89,32,8.0,4
90,40,10.0,4
91,30,7.5,4
92,33,8.25,4
93,37,9.25,4
94,36,9.0,4
95,31,7.75,4
96,39,9.75,4
97,39,9.75,4
98,39,9.75,4
99,45,9.0,5
100,30,7.5,4
