s0_avg_latency,s0_arrival_rate,s0_departure_rate,s0_avg_throughput,s0_avg_queue_size,s0_avg_threads,s1_avg_latency,s1_arrival_rate,s1_departure_rate,s1_avg_throughput,s1_avg_queue_size,s1_avg_threads,s2_avg_latency,s2_arrival_rate,s2_departure_rate,s2_avg_throughput,s2_avg_queue_size,s2_avg_threads,s3_avg_latency,s3_arrival_rate,s3_departure_rate,s3_avg_throughput,s3_avg_queue_size,s3_avg_threads,s4_avg_latency,s4_arrival_rate,s4_departure_rate,s4_avg_throughput,s4_avg_queue_size,s4_avg_threads,s5_avg_latency,s5_arrival_rate,s5_departure_rate,s5_avg_throughput,s5_avg_queue_size,s5_avg_threads,s6_avg_latency,s6_arrival_rate,s6_departure_rate,s6_avg_throughput,s6_avg_queue_size,s6_avg_threads,s7_avg_latency,s7_arrival_rate,s7_departure_rate,s7_avg_throughput,s7_avg_queue_size,s7_avg_threads,s8_avg_latency,s8_arrival_rate,s8_departure_rate,s8_avg_throughput,s8_avg_queue_size,s8_avg_threads,s9_avg_latency,s9_arrival_rate,s9_departure_rate,s9_avg_throughput,s9_avg_queue_size,s9_avg_threads,s10_avg_latency,s10_arrival_rate,s10_departure_rate,s10_avg_throughput,s10_avg_queue_size,s10_avg_threads,s11_avg_latency,s11_arrival_rate,s11_departure_rate,s11_avg_throughput,s11_avg_queue_size,s11_avg_threads,s12_avg_latency,s12_arrival_rate,s12_departure_rate,s12_avg_throughput,s12_avg_queue_size,s12_avg_threads,s13_avg_latency,s13_arrival_rate,s13_departure_rate,s13_avg_throughput,s13_avg_queue_size,s13_avg_threads,s14_avg_latency,s14_arrival_rate,s14_departure_rate,s14_avg_throughput,s14_avg_queue_size,s14_avg_threads,s15_avg_latency,s15_arrival_rate,s15_departure_rate,s15_avg_throughput,s15_avg_queue_size,s15_avg_threads,s16_avg_latency,s16_arrival_rate,s16_departure_rate,s16_avg_throughput,s16_avg_queue_size,s16_avg_threads,s17_avg_latency,s17_arrival_rate,s17_departure_rate,s17_avg_throughput,s17_avg_queue_size,s17_avg_threads,wf0_avg_e2e_latency,wf0_violation_rate,wf1_avg_e2e_latency,wf1_violation_rate,wf2_avg_e2e_latency,wf2_violation_rate,wf3_avg_e2e_latency,wf3_violation_rate,wf4_avg_e2e_latency,wf4_violation_rate,wf5_avg_e2e_latency,wf5_violation_rate,node0_avg_cpu_threads,node0_cpu_usage_pct,node1_avg_cpu_threads,node1_cpu_usage_pct,node2_avg_cpu_threads,node2_cpu_usage_pct
17.133009099229238,0.45999999999999996,0.16,4.0,7.6,1.4,3.224411478156166,0.18,0.16,1.2,0.6,2.6,1.3999999999999992,0.18,0.18000000000000002,1.1333333333333333,0.4,3.4,12.959471379276431,0.45999999999999996,0.24000000000000005,2.2666666666666666,6.8,2.6,4.4741404563274765,0.30000000000000004,0.26,1.2666666666666666,1.6,1.0,1.399999999999999,0.28,0.26,1.0666666666666667,0.8,2.4,9.694603233961057,0.26,0.13999999999999999,2.0,3.8,1.2,3.340717073123718,0.16,0.16,1.2333333333333334,0.6,1.6,1.3999999999999992,0.16,0.16,1.0,0.0,2.4,10.438594147073612,0.26,0.2,1.7666666666666664,2.8,2.6,3.3390603715707043,0.22000000000000003,0.22000000000000003,1.1666666666666665,0.6,1.6,1.4589900933470665,0.22000000000000003,0.22000000000000003,1.1,0.2,1.4,7.509947591749807,0.32000000000000006,0.26,1.3333333333333333,2.2,3.4,3.3940845700710676,0.28,0.26,1.1666666666666665,1.4,2.6,1.583544669192726,0.28,0.26,1.0333333333333332,0.8,1.0,13.588489980300633,0.5,0.27999999999999997,2.2333333333333334,8.6,2.0,3.345405995537861,0.32,0.3,1.2166666666666666,1.4,2.2,1.399999999999999,0.32,0.30000000000000004,1.0666666666666667,0.2,2.0,15.86201610521241,0.7,12.959471379276431,0.6333333333333333,9.694603233961057,0.6,10.438594147073612,0.7,7.509947591749807,0.4,13.588489980300633,0.75,3.830188679245283,95.75471698113208,3.5849056603773586,89.62264150943396,1.830188679245283,45.75471698113208
10.242561354639637,0.28,0.2,1.5833333333333335,2.8,2.8,5.488554484463994,0.24,0.2,1.2916666666666665,1.8,1.4,1.4105982228413854,0.22000000000000003,0.22000000000000003,1.1875,0.2,2.2,11.446055295517517,0.54,0.3,2.1333333333333333,5.8,3.4,3.4830523108333367,0.38,0.32,1.2566666666666666,1.8,2.0,1.429073364820186,0.34,0.32,1.04,0.8,1.4,15.510623865646455,0.28,0.1,3.25,5.4,1.0,3.221792419553313,0.1,0.1,1.125,0.4,1.4,1.399999999999999,0.1,0.1,1.0,0.0,1.6,17.099083202997612,0.4,0.22000000000000003,2.583333333333333,7.8,1.8,3.2512206799193537,0.27999999999999997,0.24000000000000005,1.2666666666666666,1.2,2.8,1.411894794628445,0.26,0.26,1.0,0.2,1.8,14.28975499895677,0.38,0.18000000000000002,3.0833333333333335,6.4,1.4,3.4235668960331025,0.2,0.18,1.3333333333333335,1.0,1.0,1.4113047710308106,0.2,0.2,1.1333333333333333,0.4,1.0,16.18129175612859,0.56,0.24,2.65,9.4,1.8,3.6880474907122966,0.27999999999999997,0.24,1.25,0.8,2.2,1.6992450323192532,0.26,0.26,1.0,0.2,1.0,10.242561354639637,0.7,11.446055295517517,0.55,15.510623865646455,0.6,17.099083202997612,0.8,14.634631339588106,0.6,16.18129175612859,0.8,3.9074074074074074,97.68518518518519,3.5185185185185186,87.96296296296296,2.037037037037037,50.92592592592593
13.653998867644187,0.5,0.26,2.0,6.8,2.6,3.535109667192335,0.3,0.28,1.1933333333333334,1.4,2.2,1.4030540400284182,0.30000000000000004,0.27999999999999997,1.1166666666666667,0.4,3.0,16.164139292420174,0.5,0.22000000000000003,2.94,9.4,2.8,3.490106771645567,0.28,0.24,1.4,1.2,1.4,1.4066016116060336,0.26,0.26,1.0,0.0,1.0,7.331695306606856,0.32,0.2,1.6,3.0,2.8,3.4358068040769583,0.24000000000000005,0.22000000000000003,1.35,1.2,2.0,1.4620560991357952,0.22000000000000003,0.22000000000000003,1.0166666666666666,0.4,1.0,12.203160056845931,0.5,0.12000000000000002,3.2,9.8,1.4,2.8085004907835245,0.14,0.12000000000000002,0.9,1.2,2.8,1.1258197126242666,0.13999999999999999,0.12,0.9,0.6,1.6,11.128498652350856,0.48,0.2,2.716666666666667,7.2,1.6,3.8286627713601398,0.26000000000000006,0.24000000000000005,1.3,1.2,2.2,1.4061166355540113,0.24,0.24000000000000005,1.05,0.4,1.8,9.121258410264382,0.4800000000000001,0.2,1.8666666666666667,6.0,2.6,4.402404178239529,0.24,0.22000000000000003,1.125,0.6,1.6,1.4086136076722653,0.21999999999999997,0.22000000000000003,1.0416666666666667,0.4,1.6,13.653998867644187,0.7666666666666666,16.164139292420174,0.7,7.331695306606856,0.5,15.253950071057414,0.7,11.128498652350856,0.6,11.401573012830477,0.4,3.75,93.75,3.423076923076923,85.57692307692307,1.9807692307692308,49.519230769230774
15.150681861165477,0.58,0.3,2.7666666666666666,11.2,2.0,3.157580477085502,0.36000000000000004,0.30000000000000004,1.2166666666666666,1.0,1.6,1.410739766948473,0.33999999999999997,0.34,1.0166666666666666,0.2,2.6,16.150567510838513,0.5799999999999998,0.28,2.783333333333333,11.8,1.8,3.250382298750985,0.34,0.28,1.2,1.2,1.0,1.406712354342795,0.3,0.3,1.0166666666666666,0.4,1.8,13.035726117435848,0.54,0.14,4.1,7.8,1.0,3.087269586849204,0.15999999999999998,0.16,1.2,0.4,2.6,1.399999999999999,0.15999999999999998,0.16,1.2,0.4,1.6,7.345257073643682,0.36,0.12000000000000002,2.2,4.8,1.2,3.0785714991060167,0.12,0.12000000000000002,1.125,0.2,3.4,1.399999999999999,0.12,0.12000000000000002,1.125,0.2,2.8,11.862157956205388,0.42000000000000004,0.14,2.9,6.2,1.0,3.021882665037597,0.16,0.14,1.3,0.6,1.6,1.399999999999999,0.16,0.14,1.3,0.4,1.8,15.72425807896459,0.62,0.15999999999999998,4.6,11.4,1.0,3.0202284893602105,0.18000000000000002,0.15999999999999998,1.3,0.4,2.4,1.4134247086855913,0.18000000000000002,0.18,1.1,0.2,1.0,15.150681861165477,0.6166666666666666,16.150567510838513,0.6666666666666666,13.035726117435848,0.6,9.181571342054603,0.3,11.862157956205388,0.6,15.72425807896459,0.7,3.8518518518518516,96.29629629629629,3.3703703703703702,84.25925925925925,1.7777777777777777,44.44444444444444
6.885350572706594,0.32,0.22000000000000003,1.6,2.2,2.6,3.367561147870256,0.27999999999999997,0.22000000000000003,1.5333333333333334,1.4,1.8,1.4031500588411316,0.26,0.24000000000000005,1.25,0.6,1.0,13.846455742454912,0.34,0.13999999999999999,2.6,5.6,1.0,3.1370649645660174,0.16,0.16,1.1,0.4,2.2,1.399999999999999,0.15999999999999998,0.15999999999999998,1.0,0.0,2.0,15.206368422794558,0.5800000000000001,0.26,3.0,11.2,2.8,3.803958361993795,0.33999999999999997,0.3,1.3033333333333332,1.4,1.8,1.4070642260873825,0.32,0.3,1.1099999999999999,0.4,3.4,13.037902108827089,0.3,0.1,2.6,5.2,1.0,3.2251126253643605,0.12,0.12000000000000002,1.125,0.4,2.6,1.3999999999999988,0.12,0.12,1.0,0.0,3.4,7.024730869178336,0.4,0.16,3.0,4.2,2.2,3.326277080910164,0.24,0.22000000000000003,1.15,0.6,1.8,1.408830282609229,0.22000000000000003,0.22000000000000003,1.1,0.4,1.6,11.049971489872348,0.5,0.26,2.2333333333333334,6.2,2.4,3.376246826778055,0.32,0.26,1.45,1.2,1.4,1.4072552531886624,0.28,0.28,1.05,0.4,2.0,6.885350572706594,0.3,13.846455742454912,0.8,15.206368422794558,0.6,16.29737763603386,0.6,7.024730869178336,0.2,11.049971489872348,0.5833333333333333,3.8518518518518516,96.29629629629629,3.462962962962963,86.57407407407408,1.7777777777777777,44.44444444444444
7.685575255328928,0.4,0.12000000000000002,2.5,5.8,1.8,2.5622786569506464,0.2,0.16,1.0625,0.8,2.6,1.0540039716232084,0.18,0.18,0.75,0.2,1.2,12.79663526208167,0.6199999999999999,0.24,2.783333333333333,10.0,1.6,3.4325739152348276,0.3,0.26,1.2666666666666666,1.2,1.8,1.490500971814922,0.28,0.26,1.1400000000000001,0.6,1.2,8.277331430670998,0.5,0.28,1.7666666666666668,5.0,2.6,3.6890361596447008,0.33999999999999997,0.32,1.22,1.2,2.0,1.4529794145179475,0.34,0.32,1.0766666666666667,0.4,1.6,13.090253002115812,0.38,0.16,2.7,6.2,1.0,3.282665736980115,0.16,0.15999999999999998,1.1,0.2,1.4,1.413779582351673,0.16,0.15999999999999998,1.1,0.2,2.4,19.236669965733,0.48,0.16,3.5,10.6,1.0,3.308011446354995,0.16,0.15999999999999998,1.1,0.2,1.0,1.4115432782105093,0.16,0.16,1.0,0.0,2.0,18.122376963190305,0.42000000000000004,0.18,2.833333333333333,9.6,1.6,3.2919901658603563,0.18000000000000002,0.18,1.1,0.2,1.4,1.4126614302810911,0.18000000000000002,0.18000000000000002,1.0,0.0,2.4,9.60696906916116,0.3,12.79663526208167,0.65,8.277331430670998,0.5,13.090253002115812,0.8,19.236669965733,0.8,18.122376963190305,0.9,3.9074074074074074,97.68518518518519,3.388888888888889,84.72222222222221,1.6851851851851851,42.129629629629626
8.120246902021728,0.4,0.18,2.3,4.8,2.6,3.4035627009203084,0.25999999999999995,0.2,1.4,1.2,1.0,1.4712058157433017,0.22000000000000003,0.22000000000000003,1.0333333333333334,0.2,1.0,13.292534114881047,0.32,0.2,2.6458333333333335,4.6,3.4,6.865646533273634,0.28,0.22000000000000003,1.375,2.4,1.0,1.4471311965831826,0.24,0.24,1.0625,0.4,1.4,19.751883194011036,0.30000000000000004,0.13999999999999999,2.5,6.8,1.0,3.1896644867518713,0.15999999999999998,0.13999999999999999,1.3,0.6,3.0,1.4250421900526853,0.13999999999999999,0.13999999999999999,1.0,0.0,2.6,10.838279523024472,0.42000000000000004,0.2,2.1666666666666665,5.8,1.8,3.390624613328543,0.22000000000000003,0.22000000000000003,1.1,0.4,2.8,1.5589537828342899,0.22000000000000003,0.22000000000000003,1.1,0.2,1.0,11.962357206626038,0.54,0.2,3.15,7.6,2.4,3.7406011454738346,0.27999999999999997,0.22000000000000003,1.4,1.2,1.8,1.4712058157433014,0.24000000000000005,0.24000000000000005,1.1333333333333333,0.2,3.2,15.876079325349053,0.52,0.14,4.4,9.0,1.4,3.427938605076721,0.18,0.18,1.1,0.2,2.2,1.5278983549327199,0.18,0.18,1.1,0.2,1.0,8.120246902021728,0.6,13.292534114881047,0.5333333333333333,19.751883194011036,0.7,10.838279523024472,0.5,11.962357206626038,0.7,15.876079325349053,0.8,3.875,96.875,3.2142857142857144,80.35714285714286,1.8928571428571428,47.32142857142857
12.568919742480968,0.5599999999999999,0.13999999999999999,3.2,10.4,1.4,3.1392560955410618,0.18,0.16,1.3333333333333335,0.6,1.4,1.4236711978752683,0.18,0.16,1.1,0.4,2.8,10.293814714100384,0.41999999999999993,0.32,2.0,4.4,2.6,3.1596194698059676,0.38,0.33999999999999997,1.1666666666666665,1.2,2.8,1.423452810886439,0.36,0.36,1.0,0.2,1.6,14.405038183434423,0.38,0.13999999999999999,3.1,6.0,1.0,3.214563356552489,0.16,0.16,1.1,0.6,2.2,1.4236711978752679,0.16,0.15999999999999998,1.1,0.2,3.4,12.452896622278216,0.41999999999999993,0.26,2.1333333333333333,6.2,2.0,3.108761536924909,0.32,0.27999999999999997,1.2666666666666666,1.4,2.2,1.403116956904444,0.3,0.3,1.15,0.4,2.4,10.264407368423448,0.5599999999999999,0.22000000000000003,2.4666666666666663,8.2,2.2,3.311786923284024,0.27999999999999997,0.24000000000000005,1.2,1.2,1.0,1.4157807985835116,0.24,0.24000000000000005,1.0333333333333334,0.4,2.0,11.675913400495247,0.45999999999999996,0.14,3.6,6.4,1.0,2.955296438270831,0.16,0.14,1.3,0.8,1.8,1.399999999999999,0.13999999999999999,0.13999999999999999,1.1,0.2,2.4,15.71114967810121,0.6,10.293814714100384,0.4666666666666666,14.405038183434423,0.7,12.452896622278216,0.5666666666666667,10.264407368423448,0.4666666666666666,11.675913400495247,0.6,3.9038461538461537,97.59615384615384,3.5384615384615383,88.46153846153845,2.076923076923077,51.92307692307693
6.806545920967144,0.3,0.2,1.85,2.4,2.4,3.248245769565463,0.24000000000000005,0.22000000000000003,1.3333333333333333,0.8,2.4,1.399999999999999,0.24000000000000005,0.22000000000000003,1.1,0.4,3.4,13.923196458506618,0.44000000000000006,0.18,2.466666666666667,7.6,1.6,3.2509631530198,0.24000000000000005,0.2,1.2333333333333334,0.6,3.0,1.399999999999999,0.2,0.2,1.1,0.2,1.6,10.07794933099022,0.48,0.21999999999999997,1.6666666666666667,6.8,1.8,2.7649564433534364,0.27999999999999997,0.24,0.9166666666666666,1.0,1.6,1.399999999999999,0.26,0.24,1.1,0.4,3.0,11.317552879762117,0.44000000000000006,0.2,1.5,6.0,1.8,3.3725697892887334,0.22000000000000003,0.2,1.3333333333333335,1.0,2.2,1.4029788116059392,0.22000000000000003,0.22000000000000003,1.1833333333333333,0.4,1.6,14.422307378386254,0.4,0.2,2.4,7.0,1.6,3.32655438929437,0.24000000000000005,0.2,1.2666666666666666,1.2,1.0,1.4029788116059394,0.22000000000000003,0.22000000000000003,1.1,0.2,1.0,16.401379417208013,0.5599999999999999,0.2,3.2,10.0,1.6,3.2178599016530485,0.24,0.22000000000000003,1.1333333333333333,0.8,2.2,1.399999999999999,0.24,0.22000000000000003,1.25,0.4,2.4,6.806545920967144,0.25,13.923196458506618,0.8,12.597436663737776,0.6666666666666666,14.146941099702646,0.6333333333333333,14.422307378386254,0.7,16.401379417208013,0.7333333333333333,3.8867924528301887,97.16981132075472,3.5283018867924527,88.20754716981132,1.7924528301886793,44.81132075471698
13.939825952495758,0.48,0.24000000000000005,2.1333333333333337,7.0,2.2,3.3579648500493278,0.26,0.24,1.25,0.6,3.0,1.4643289771247883,0.26,0.26,1.15,0.4,1.6,17.541059742371278,0.5799999999999998,0.2,2.8666666666666667,9.4,2.4,4.671539619543433,0.26,0.22000000000000003,1.2,1.2,1.0,1.4080522251580054,0.24,0.24000000000000005,1.0333333333333334,0.2,3.2,10.940596569350548,0.4,0.13999999999999999,2.2,8.0,1.8,3.4942565626972084,0.2,0.18000000000000002,1.2,0.6,1.8,1.410108323185752,0.2,0.18,1.1,0.2,2.2,14.289725734640319,0.5399999999999999,0.30000000000000004,2.65,8.4,2.4,3.870079919486135,0.38,0.34,1.26,1.8,2.0,1.4170646230894945,0.38,0.33999999999999997,1.2,0.6,3.4,9.986548287361467,0.36,0.13999999999999999,2.4,4.2,1.6,3.4617204744739447,0.16,0.16,1.1333333333333333,0.2,2.2,1.415932283363032,0.16,0.16,1.0,0.0,2.2,14.683920633854004,0.5,0.2,3.05,10.0,2.2,3.5038955417924704,0.24,0.2,1.3333333333333335,1.2,1.4,1.4314197003985925,0.24000000000000005,0.22000000000000003,1.0666666666666667,0.2,1.0,13.939825952495758,0.6666666666666666,17.541059742371278,0.8333333333333333,13.675745711688185,0.7,14.289725734640319,0.6666666666666666,9.986548287361467,0.5,14.683920633854004,0.8,3.8627450980392157,96.56862745098039,3.5098039215686274,87.74509803921569,1.9607843137254901,49.01960784313725
