type,id,node,workflow,replicas,C,lam_eff,rho
service,s0,0,0,1,49.5,35.0,0.7071
service,s1,1,0,3,36.0,35.0,0.9722
service,s2,0,1,1,49.5,35.0,0.7071
service,s3,1,1,3,36.0,35.0,0.9722
service,s4,1,2,1,12.0,35.0,2.9167
service,s5,2,2,1,49.5,12.0,0.2424
service,s6,1,3,1,12.0,35.0,2.9167
service,s7,2,3,1,49.5,12.0,0.2424
workflow,wf0,,0,,36.0,35.0,0.9722
workflow,wf1,,1,,36.0,35.0,0.9722
workflow,wf2,,2,,49.5,35.0,0.7071
workflow,wf3,,3,,49.5,35.0,0.7071
