episode,total_violations,mean_step_total_violations,n_steps
1,37,9.25,4
2,43,10.75,4
3,44,8.8,5
4,44,8.8,5
5,51,10.2,5
6,47,9.4,5
7,39,7.8,5
8,38,9.5,4
9,34,8.5,4
10,44,8.8,5
11,32,6.4,5
12,40,10.0,4
13,37,9.25,4
14,42,8.4,5
15,48,9.6,5
16,50,10.0,5
17,28,5.6,5
18,32,8.0,4
19,54,10.8,5
20,49,9.8,5
21,53,10.6,5
22,38,9.5,4
23,45,11.25,4
24,51,10.2,5
25,48,9.6,5
26,49,9.8,5
27,51,10.2,5
28,44,8.8,5
29,37,9.25,4
30,52,10.4,5
31,46,9.2,5
32,49,9.8,5
33,41,8.2,5
34,36,9.0,4
35,40,8.0,5
36,49,9.8,5
37,46,9.2,5
38,53,10.6,5
39,54,10.8,5
40,44,8.8,5
41,46,9.2,5
42,39,9.75,4
43,36,7.2,5
44,41,8.2,5
45,51,10.2,5
46,37,7.4,5
47,38,9.5,4
48,45,9.0,5
49,44,8.8,5
50,50,10.0,5
51,36,9.0,4
52,41,10.25,4
53,32,8.0,4
54,35,8.75,4
55,51,10.2,5
56,41,8.2,5
57,39,9.75,4
58,49,9.8,5
59,38,7.6,5
60,45,9.0,5
61,34,6.8,5
62,45,9.0,5
63,50,10.0,5
64,33,8.25,4
65,50,10.0,5
66,36,7.2,5
67,49,9.8,5
68,30,7.5,4
69,39,9.75,4
70,43,8.6,5
71,48,9.6,5
72,46,9.2,5
73,47,9.4,5
74,40,10.0,4
75,57,11.4,5
76,38,9.5,4
77,54,10.8,5
78,51,10.2,5
79,48,9.6,5
80,54,10.8,5
81,40,8.0,5
82,45,9.0,5
83,45,9.0,5
84,32,8.0,4
85,51,10.2,5
86,49,9.8,5
87,34,8.5,4
88,50,10.0,5
89,46,9.2,5
90,52,10.4,5
91,35,8.75,4
92,30,7.5,4
93,45,9.0,5
94,39,7.8,5
95,33,8.25,4
96,58,11.6,5
97,56,11.2,5
98,45,9.0,5
99,49,9.8,5
100,51,10.2,5
