episode,total_violations,mean_step_total_violations,n_steps
1,49,9.8,5
2,43,8.6,5
3,43,8.6,5
4,34,8.5,4
5,54,10.8,5
6,40,8.0,5
7,41,10.25,4
8,51,10.2,5
9,50,10.0,5
10,49,9.8,5
11,52,10.4,5
12,41,8.2,5
13,51,10.2,5
14,39,9.75,4
15,49,9.8,5
16,46,9.2,5
17,35,8.75,4
18,43,8.6,5
19,42,10.5,4
20,40,8.0,5
21,42,8.4,5
22,57,11.4,5
23,41,8.2,5
24,38,7.6,5
25,40,8.0,5
26,50,10.0,5
27,40,8.0,5
28,35,8.75,4
29,46,9.2,5
30,54,10.8,5
31,37,7.4,5
32,46,9.2,5
33,53,10.6,5
34,40,8.0,5
35,52,10.4,5
36,48,9.6,5
37,33,8.25,4
38,44,8.8,5
39,28,7.0,4
40,52,10.4,5
41,48,9.6,5
42,40,10.0,4
43,42,10.5,4
44,49,9.8,5
45,55,11.0,5
46,46,9.2,5
47,52,10.4,5
48,52,10.4,5
49,35,8.75,4
50,44,8.8,5
51,33,8.25,4
52,47,9.4,5
53,55,11.0,5
54,42,8.4,5
55,49,9.8,5
56,41,10.25,4
57,46,9.2,5
58,52,10.4,5
59,40,10.0,4
60,37,7.4,5
61,46,9.2,5
62,34,8.5,4
63,41,8.2,5
64,34,6.8,5
65,40,8.0,5
66,30,6.0,5
67,44,11.0,4
68,51,10.2,5
69,42,8.4,5
70,54,10.8,5
71,50,10.0,5
72,34,6.8,5
73,52,10.4,5
74,36,7.2,5
75,49,9.8,5
76,35,7.0,5
77,36,7.2,5
78,45,9.0,5
79,54,10.8,5
80,50,10.0,5
81,57,11.4,5
82,37,9.25,4
83,51,10.2,5
84,32,6.4,5
85,47,9.4,5
86,46,9.2,5
87,36,7.2,5
88,48,9.6,5
89,51,10.2,5
90,48,9.6,5
91,33,8.25,4
92,36,9.0,4
93,47,9.4,5
94,45,9.0,5
95,40,10.0,4
96,40,10.0,4
97,50,10.0,5
98,49,9.8,5
99,30,7.5,4
100,33,8.25,4
