task_i,task_j,weight
s0_avg_threads,s1_avg_threads,0.7355830410457518
s0_avg_threads,s2_avg_threads,0.24887950415038304
s0_avg_threads,s3_avg_threads,0.2881549806402709
s0_avg_threads,s4_avg_threads,0.8016734760283845
s0_avg_threads,s6_avg_threads,0.9427905911814802
s0_avg_threads,s7_avg_threads,0.9413504783589755
s0_avg_threads,s9_avg_threads,7.955837294683163e-15
s0_avg_threads,s10_avg_threads,2.764499897823056e-12
s0_avg_threads,s12_avg_threads,3.978948981271695e-15
s0_avg_threads,s13_avg_threads,0.7716579643899257
s0_avg_threads,s15_avg_threads,9.281310006153105e-16
s1_avg_threads,s2_avg_threads,0.8023585781532598
s1_avg_threads,s3_avg_threads,0.8161871351558505
s1_avg_threads,s4_avg_threads,0.9689765218929728
s1_avg_threads,s6_avg_threads,0.5793575355909703
s1_avg_threads,s7_avg_threads,0.5794220187605172
s1_avg_threads,s9_avg_threads,7.420922312993367e-15
s1_avg_threads,s10_avg_threads,3.5111614810150278e-12
s1_avg_threads,s12_avg_threads,3.1520198856939605e-15
s1_avg_threads,s13_avg_threads,0.9326970054315326
s1_avg_threads,s15_avg_threads,1.6380934910069637e-15
s2_avg_threads,s3_avg_threads,0.9977080943447917
s2_avg_threads,s4_avg_threads,0.7203866452793128
s2_avg_threads,s6_avg_threads,0.012064348965526304
s2_avg_threads,s7_avg_threads,0.012034974270973818
s2_avg_threads,s9_avg_threads,3.1697047574666215e-15
s2_avg_threads,s10_avg_threads,2.173565234595191e-12
s2_avg_threads,s12_avg_threads,1.4880633960026195e-15
s2_avg_threads,s13_avg_threads,0.6934145994500133
s2_avg_threads,s15_avg_threads,1.1759928266106125e-15
s3_avg_threads,s4_avg_threads,0.7394059493449473
s3_avg_threads,s6_avg_threads,0.054223362444917975
s3_avg_threads,s7_avg_threads,0.054113399934013956
s3_avg_threads,s9_avg_threads,3.269079899097688e-15
s3_avg_threads,s10_avg_threads,2.1200807032157947e-12
s3_avg_threads,s12_avg_threads,1.6927620164493128e-15
s3_avg_threads,s13_avg_threads,0.7117218004467455
s3_avg_threads,s15_avg_threads,1.1222801476935e-15
s4_avg_threads,s6_avg_threads,0.6494300359318814
s4_avg_threads,s7_avg_threads,0.6461707680749653
s4_avg_threads,s9_avg_threads,7.935345756341833e-15
s4_avg_threads,s10_avg_threads,3.5935493827598102e-12
s4_avg_threads,s12_avg_threads,3.3027279345406975e-15
s4_avg_threads,s13_avg_threads,0.9623425319753639
s4_avg_threads,s15_avg_threads,1.4666704305184265e-15
s6_avg_threads,s7_avg_threads,0.9996639194693956
s6_avg_threads,s9_avg_threads,7.289376245849915e-15
s6_avg_threads,s10_avg_threads,2.2097496239297698e-12
s6_avg_threads,s12_avg_threads,3.771263557690846e-15
s6_avg_threads,s13_avg_threads,0.6251146813832325
s6_avg_threads,s15_avg_threads,7.1882702604584835e-16
s7_avg_threads,s9_avg_threads,7.265786719490385e-15
s7_avg_threads,s10_avg_threads,2.198659644220451e-12
s7_avg_threads,s12_avg_threads,3.771683303724095e-15
s7_avg_threads,s13_avg_threads,0.6219774439978455
s7_avg_threads,s15_avg_threads,7.250787745048937e-16
s9_avg_threads,s10_avg_threads,0.816414884260567
s9_avg_threads,s12_avg_threads,0.012127989856502793
s9_avg_threads,s13_avg_threads,0.14898800390778835
s9_avg_threads,s15_avg_threads,3.4168987278955946e-15
s10_avg_threads,s12_avg_threads,0.046881271613953356
s10_avg_threads,s13_avg_threads,0.034388591500655596
s10_avg_threads,s15_avg_threads,1.5049207850791086e-12
s12_avg_threads,s13_avg_threads,3.179070271262389e-15
s12_avg_threads,s15_avg_threads,1.0709603630493965e-15
s13_avg_threads,s15_avg_threads,1.4117567222651546e-15
