episode,total_violations,mean_step_total_violations,n_steps
1,51,10.2,5
2,37,7.4,5
3,41,8.2,5
4,46,9.2,5
5,46,9.2,5
6,50,10.0,5
7,54,10.8,5
8,34,8.5,4
9,37,9.25,4
10,33,8.25,4
11,38,9.5,4
12,34,6.8,5
13,38,7.6,5
14,42,10.5,4
15,53,10.6,5
16,36,9.0,4
17,29,5.8,5
18,42,10.5,4
19,46,9.2,5
20,53,10.6,5
21,30,7.5,4
22,45,9.0,5
23,45,9.0,5
24,53,10.6,5
25,33,8.25,4
26,41,8.2,5
27,37,9.25,4
28,43,8.6,5
29,49,9.8,5
30,35,8.75,4
31,42,8.4,5
32,33,8.25,4
33,51,10.2,5
34,45,9.0,5
35,40,10.0,4
36,46,9.2,5
37,37,9.25,4
38,33,8.25,4
39,51,10.2,5
40,45,9.0,5
41,40,8.0,5
42,38,7.6,5
43,52,10.4,5
44,37,9.25,4
45,42,8.4,5
46,47,9.4,5
47,39,9.75,4
48,47,9.4,5
49,32,6.4,5
50,42,10.5,4
51,39,7.8,5
52,48,9.6,5
53,44,8.8,5
54,52,10.4,5
55,47,9.4,5
56,47,9.4,5
57,54,10.8,5
58,35,8.75,4
59,38,7.6,5
60,38,7.6,5
61,52,10.4,5
62,25,5.0,5
63,38,7.6,5
64,52,10.4,5
65,52,10.4,5
66,42,8.4,5
67,38,9.5,4
68,34,8.5,4
69,44,11.0,4
70,32,8.0,4
71,36,9.0,4
72,33,8.25,4
73,33,8.25,4
74,44,8.8,5
75,42,8.4,5
76,41,8.2,5
77,36,9.0,4
78,45,9.0,5
79,34,8.5,4
80,36,9.0,4
81,44,8.8,5
82,52,10.4,5
83,42,8.4,5
84,48,9.6,5
85,50,10.0,5
86,49,9.8,5
87,50,10.0,5
88,55,11.0,5
89,52,10.4,5
90,55,11.0,5
91,24,6.0,4
92,42,8.4,5
93,47,9.4,5
94,35,8.75,4
95,34,8.5,4
96,47,9.4,5
97,46,9.2,5
98,35,7.0,5
99,35,8.75,4
100,32,8.0,4
