step,elapsed,sim_time,wf0_total_traces,wf0_violation_rate,wf0_violations,wf1_total_traces,wf1_violation_rate,wf1_violations,wf2_total_traces,wf2_violation_rate,wf2_violations,wf3_total_traces,wf3_violation_rate,wf3_violations,wf4_total_traces,wf4_violation_rate,wf4_violations,wf5_total_traces,wf5_violation_rate,wf5_violations,total_violations,node0_avg_cpu_threads,node0_avg_cpu_usage_pct,node1_avg_cpu_threads,node1_avg_cpu_usage_pct,node2_avg_cpu_threads,node2_avg_cpu_usage_pct
1,10.0,10.0,1,0.0,0,1,0.0,0,1,0.0,0,1,0.0,0,1,0.0,0,1,0.0,0,0,3.6363636363636362,90.9090909090909,2.6363636363636362,65.9090909090909,1.4545454545454546,36.36363636363637
2,10.0,20.0,3,0.6666666666666666,2,3,1.0,3,2,0.5,1,2,0.5,1,2,1.0,2,3,0.6666666666666666,2,11,4.0,100.0,3.3,82.5,1.8,45.0
3,10.0,30.0,2,1.0,2,3,1.0,3,1,1.0,1,3,1.0,3,2,1.0,2,2,0.5,1,12,4.0,100.0,4.0,100.0,2.3,57.49999999999999
4,10.0,40.0,3,1.0,3,3,1.0,3,2,1.0,2,2,1.0,2,2,1.0,2,2,1.0,2,14,4.0,100.0,4.0,100.0,2.5,62.5
