metric,value,unit,assignment
D_wf0/λ,44.2857,%,"{'s0': 1, 's1': 1, 's2': 4, 's3': 2, 's4': 1, 's5': 1, 's6': 1, 's7': 1}"
D_wf1/λ,0.0,%,"{'s0': 1, 's1': 1, 's2': 4, 's3': 2, 's4': 1, 's5': 1, 's6': 1, 's7': 1}"
D_wf2/λ,44.2857,%,"{'s0': 1, 's1': 1, 's2': 4, 's3': 2, 's4': 1, 's5': 1, 's6': 1, 's7': 1}"
D_wf3/λ,44.2857,%,"{'s0': 1, 's1': 1, 's2': 4, 's3': 2, 's4': 1, 's5': 1, 's6': 1, 's7': 1}"
u_node0,55.8974,%,"{'s0': 1, 's1': 1, 's2': 4, 's3': 2, 's4': 1, 's5': 1, 's6': 1, 's7': 1}"
u_node1,95.8974,%,"{'s0': 1, 's1': 1, 's2': 4, 's3': 2, 's4': 1, 's5': 1, 's6': 1, 's7': 1}"
u_node2,39.3939,%,"{'s0': 1, 's1': 1, 's2': 4, 's3': 2, 's4': 1, 's5': 1, 's6': 1, 's7': 1}"
J,48.4719,,"{'s0': 1, 's1': 1, 's2': 4, 's3': 2, 's4': 1, 's5': 1, 's6': 1, 's7': 1}"
