source,target
s0_arrival_rate,s3_departure_rate
s0_arrival_rate,s4_arrival_rate
s0_arrival_rate,s4_avg_queue_size
s0_arrival_rate,s4_departure_rate
s0_arrival_rate,s5_arrival_rate
s0_arrival_rate,s5_departure_rate
s0_arrival_rate,s6_avg_latency
s0_arrival_rate,s6_avg_queue_size
s0_arrival_rate,s6_avg_throughput
s0_arrival_rate,s6_departure_rate
s0_arrival_rate,s7_avg_latency
s0_arrival_rate,s7_avg_throughput
s0_arrival_rate,s7_departure_rate
s0_arrival_rate,s8_avg_throughput
s0_arrival_rate,s8_departure_rate
s0_arrival_rate,wf0_avg_e2e_latency
s0_arrival_rate,wf0_violation_rate
s0_arrival_rate,wf1_avg_e2e_latency
s0_arrival_rate,wf2_avg_e2e_latency
s0_avg_latency,node0_cpu_usage_pct
s0_avg_latency,node1_cpu_usage_pct
s0_avg_latency,node2_cpu_usage_pct
s0_avg_latency,s0_avg_queue_size
s0_avg_latency,s0_avg_throughput
s0_avg_latency,s0_departure_rate
s0_avg_latency,s1_arrival_rate
s0_avg_latency,s1_avg_latency
s0_avg_latency,s1_avg_queue_size
s0_avg_latency,s1_departure_rate
s0_avg_latency,s2_arrival_rate
s0_avg_latency,s2_avg_queue_size
s0_avg_latency,s2_departure_rate
s0_avg_latency,s3_departure_rate
s0_avg_latency,s4_arrival_rate
s0_avg_latency,s4_avg_queue_size
s0_avg_latency,s4_avg_throughput
s0_avg_latency,s4_departure_rate
s0_avg_latency,s5_arrival_rate
s0_avg_latency,s5_avg_latency
s0_avg_latency,s5_avg_queue_size
s0_avg_latency,s5_avg_throughput
s0_avg_latency,s5_departure_rate
s0_avg_latency,s6_arrival_rate
s0_avg_latency,s6_departure_rate
s0_avg_latency,s7_arrival_rate
s0_avg_latency,s7_avg_latency
s0_avg_latency,s7_avg_queue_size
s0_avg_latency,s7_departure_rate
s0_avg_latency,s8_arrival_rate
s0_avg_latency,s8_avg_queue_size
s0_avg_latency,s8_departure_rate
s0_avg_latency,wf0_avg_e2e_latency
s0_avg_latency,wf0_violation_rate
s0_avg_latency,wf2_violation_rate
s0_avg_queue_size,node0_cpu_usage_pct
s0_avg_queue_size,s0_avg_throughput
s0_avg_queue_size,s0_departure_rate
s0_avg_queue_size,s1_arrival_rate
s0_avg_queue_size,s1_avg_latency
s0_avg_queue_size,s1_departure_rate
s0_avg_queue_size,s2_arrival_rate
s0_avg_queue_size,s2_avg_queue_size
s0_avg_queue_size,s2_departure_rate
s0_avg_queue_size,s5_avg_latency
s0_avg_queue_size,s5_avg_throughput
s0_avg_queue_size,s6_arrival_rate
s0_avg_queue_size,s6_departure_rate
s0_avg_queue_size,s7_arrival_rate
s0_avg_queue_size,s7_avg_latency
s0_avg_queue_size,s7_avg_queue_size
s0_avg_queue_size,s7_avg_throughput
s0_avg_queue_size,s7_departure_rate
s0_avg_queue_size,s8_arrival_rate
s0_avg_queue_size,s8_avg_queue_size
s0_avg_queue_size,s8_avg_throughput
s0_avg_queue_size,s8_departure_rate
s0_avg_queue_size,wf0_avg_e2e_latency
s0_avg_queue_size,wf0_violation_rate
s0_avg_threads,s0_avg_latency
s0_avg_threads,s0_avg_queue_size
s0_avg_threads,s0_avg_throughput
s0_avg_threads,s0_departure_rate
s0_avg_threads,s1_arrival_rate
s0_avg_threads,s1_avg_latency
s0_avg_threads,s1_avg_queue_size
s0_avg_threads,s1_departure_rate
s0_avg_threads,s2_arrival_rate
s0_avg_threads,s2_avg_queue_size
s0_avg_threads,s2_departure_rate
s0_avg_threads,s3_avg_queue_size
s0_avg_threads,s3_avg_threads
s0_avg_threads,s3_departure_rate
s0_avg_threads,s4_arrival_rate
s0_avg_threads,s4_avg_latency
s0_avg_threads,s4_avg_queue_size
s0_avg_threads,s4_avg_throughput
s0_avg_threads,s4_departure_rate
s0_avg_threads,s5_arrival_rate
s0_avg_threads,s5_avg_latency
s0_avg_threads,s5_avg_queue_size
s0_avg_threads,s5_avg_throughput
s0_avg_threads,s5_departure_rate
s0_avg_threads,s6_avg_threads
s0_avg_threads,s6_avg_throughput
s0_avg_threads,s6_departure_rate
s0_avg_threads,s7_arrival_rate
s0_avg_threads,s7_avg_latency
s0_avg_threads,s7_avg_queue_size
s0_avg_threads,s7_departure_rate
s0_avg_threads,s8_arrival_rate
s0_avg_threads,s8_avg_queue_size
s0_avg_threads,s8_avg_threads
s0_avg_threads,s8_departure_rate
s0_avg_threads,wf0_avg_e2e_latency
s0_avg_threads,wf0_violation_rate
s0_avg_threads,wf1_avg_e2e_latency
s0_avg_throughput,node1_cpu_usage_pct
s0_avg_throughput,node2_cpu_usage_pct
s0_avg_throughput,s0_departure_rate
s0_avg_throughput,s1_arrival_rate
s0_avg_throughput,s1_avg_queue_size
s0_avg_throughput,s1_avg_throughput
s0_avg_throughput,s1_departure_rate
s0_avg_throughput,s2_arrival_rate
s0_avg_throughput,s2_avg_queue_size
s0_avg_throughput,s2_avg_throughput
s0_avg_throughput,s2_departure_rate
s0_avg_throughput,s3_avg_latency
s0_avg_throughput,s3_avg_queue_size
s0_avg_throughput,s3_avg_throughput
s0_avg_throughput,s3_departure_rate
s0_avg_throughput,s4_arrival_rate
s0_avg_throughput,s4_avg_queue_size
s0_avg_throughput,s4_avg_throughput
s0_avg_throughput,s4_departure_rate
s0_avg_throughput,s5_arrival_rate
s0_avg_throughput,s5_avg_latency
s0_avg_throughput,s5_avg_queue_size
s0_avg_throughput,s5_avg_throughput
s0_avg_throughput,s5_departure_rate
s0_avg_throughput,s6_arrival_rate
s0_avg_throughput,s6_departure_rate
s0_avg_throughput,s7_arrival_rate
s0_avg_throughput,s7_avg_queue_size
s0_avg_throughput,s7_departure_rate
s0_avg_throughput,s8_arrival_rate
s0_avg_throughput,s8_avg_latency
s0_avg_throughput,s8_avg_queue_size
s0_avg_throughput,s8_departure_rate
s0_avg_throughput,wf0_avg_e2e_latency
s0_avg_throughput,wf0_violation_rate
s0_avg_throughput,wf1_avg_e2e_latency
s0_avg_throughput,wf2_violation_rate
s0_departure_rate,node2_cpu_usage_pct
s0_departure_rate,s1_arrival_rate
s0_departure_rate,s1_avg_latency
s0_departure_rate,s1_avg_queue_size
s0_departure_rate,s1_departure_rate
s0_departure_rate,s2_arrival_rate
s0_departure_rate,s2_avg_latency
s0_departure_rate,s2_avg_queue_size
s0_departure_rate,s2_departure_rate
s0_departure_rate,s3_arrival_rate
s0_departure_rate,s3_avg_throughput
s0_departure_rate,s3_departure_rate
s0_departure_rate,s4_arrival_rate
s0_departure_rate,s4_avg_latency
s0_departure_rate,s4_avg_queue_size
s0_departure_rate,s4_avg_throughput
s0_departure_rate,s4_departure_rate
s0_departure_rate,s5_arrival_rate
s0_departure_rate,s5_avg_latency
s0_departure_rate,s5_avg_queue_size
s0_departure_rate,s5_avg_throughput
s0_departure_rate,s5_departure_rate
s0_departure_rate,s6_avg_latency
s0_departure_rate,s6_avg_queue_size
s0_departure_rate,s6_avg_throughput
s0_departure_rate,s6_departure_rate
s0_departure_rate,s7_arrival_rate
s0_departure_rate,s7_avg_queue_size
s0_departure_rate,s7_departure_rate
s0_departure_rate,s8_arrival_rate
s0_departure_rate,s8_avg_latency
s0_departure_rate,s8_avg_queue_size
s0_departure_rate,s8_departure_rate
s0_departure_rate,wf0_avg_e2e_latency
s0_departure_rate,wf2_avg_e2e_latency
s1_arrival_rate,s1_avg_latency
s1_arrival_rate,s1_avg_queue_size
s1_arrival_rate,s1_departure_rate
s1_arrival_rate,s2_arrival_rate
s1_arrival_rate,s2_avg_latency
s1_arrival_rate,s2_avg_queue_size
s1_arrival_rate,s2_departure_rate
s1_arrival_rate,s3_arrival_rate
s1_arrival_rate,s3_avg_throughput
s1_arrival_rate,s3_departure_rate
s1_arrival_rate,s4_arrival_rate
s1_arrival_rate,s4_avg_latency
s1_arrival_rate,s4_avg_queue_size
s1_arrival_rate,s4_avg_throughput
s1_arrival_rate,s4_departure_rate
s1_arrival_rate,s5_arrival_rate
s1_arrival_rate,s5_avg_latency
s1_arrival_rate,s5_avg_queue_size
s1_arrival_rate,s5_avg_throughput
s1_arrival_rate,s5_departure_rate
s1_arrival_rate,s6_avg_latency
s1_arrival_rate,s6_avg_queue_size
s1_arrival_rate,s6_avg_throughput
s1_arrival_rate,s6_departure_rate
s1_arrival_rate,s7_arrival_rate
s1_arrival_rate,s7_avg_queue_size
s1_arrival_rate,s7_departure_rate
s1_arrival_rate,s8_arrival_rate
s1_arrival_rate,s8_avg_latency
s1_arrival_rate,s8_avg_queue_size
s1_arrival_rate,s8_departure_rate
s1_arrival_rate,wf0_avg_e2e_latency
s1_arrival_rate,wf2_avg_e2e_latency
s1_avg_latency,node0_cpu_usage_pct
s1_avg_latency,node2_cpu_usage_pct
s1_avg_latency,s1_avg_queue_size
s1_avg_latency,s1_avg_throughput
s1_avg_latency,s1_departure_rate
s1_avg_latency,s2_arrival_rate
s1_avg_latency,s2_avg_throughput
s1_avg_latency,s2_departure_rate
s1_avg_latency,s3_departure_rate
s1_avg_latency,s4_arrival_rate
s1_avg_latency,s4_avg_latency
s1_avg_latency,s4_avg_queue_size
s1_avg_latency,s4_departure_rate
s1_avg_latency,s5_arrival_rate
s1_avg_latency,s5_avg_queue_size
s1_avg_latency,s5_departure_rate
s1_avg_latency,wf0_avg_e2e_latency
s1_avg_latency,wf0_violation_rate
s1_avg_queue_size,node0_cpu_usage_pct
