step,elapsed,sim_time,wf0_total_traces,wf0_violation_rate,wf0_violations,wf1_total_traces,wf1_violation_rate,wf1_violations,wf2_total_traces,wf2_violation_rate,wf2_violations,total_violations,node0_avg_cpu_threads,node0_avg_cpu_usage_pct,node1_avg_cpu_threads,node1_avg_cpu_usage_pct,node2_avg_cpu_threads,node2_avg_cpu_usage_pct
1,10.0,10.0,1,0.0,0,2,0.0,0,1,0.0,0,0,2.0,50.0,1.3636363636363635,34.090909090909086,0.7272727272727273,18.181818181818183
2,10.0,20.0,2,0.0,0,2,1.0,2,3,0.3333333333333333,1,3,3.4,85.0,2.5,62.5,1.3,32.5
3,10.0,30.0,4,0.0,0,4,0.75,3,2,1.0,2,5,3.8,95.0,2.5,62.5,1.2,30.0
4,10.0,40.0,3,0.0,0,5,1.0,5,1,0.0,0,5,3.8,95.0,2.7,67.5,1.3,32.5
5,10.0,50.0,2,0.5,1,4,0.75,3,3,0.6666666666666666,2,6,4.0,100.0,2.7,67.5,1.1,27.500000000000004
6,10.0,60.0,4,0.0,0,4,1.0,4,5,1.0,5,9,4.0,100.0,3.8,95.0,2.1,52.5
7,10.0,70.0,5,0.6,3,4,1.0,4,4,1.0,4,11,4.0,100.0,3.6,90.0,1.7,42.5
