step,elapsed,sim_time,wf0_total_traces,wf0_violation_rate,wf0_violations,wf1_total_traces,wf1_violation_rate,wf1_violations,wf2_total_traces,wf2_violation_rate,wf2_violations,total_violations,node0_avg_cpu_threads,node0_avg_cpu_usage_pct,node1_avg_cpu_threads,node1_avg_cpu_usage_pct,node2_avg_cpu_threads,node2_avg_cpu_usage_pct
1,10.0,10.0,2,0.5,1,1,0.0,0,0,0.0,0,1,1.6363636363636365,40.909090909090914,1.0909090909090908,27.27272727272727,0.45454545454545453,11.363636363636363
2,10.0,20.0,2,1.0,2,3,0.3333333333333333,1,2,0.0,0,3,3.6,90.0,2.2,55.00000000000001,0.8,20.0
3,10.0,30.0,3,0.6666666666666666,2,5,0.4,2,2,0.0,0,4,4.0,100.0,2.7,67.5,1.4,35.0
4,10.0,40.0,3,1.0,3,1,0.0,0,2,1.0,2,5,3.1,77.5,1.7,42.5,0.7,17.5
5,10.0,50.0,3,1.0,3,1,0.0,0,4,0.5,2,5,4.0,100.0,3.1,77.5,2.0,50.0
6,10.0,60.0,4,0.75,3,5,1.0,5,6,0.8333333333333334,5,13,4.0,100.0,3.9,97.5,2.2,55.00000000000001
7,10.0,70.0,6,0.8333333333333334,5,4,0.5,2,5,1.0,5,12,4.0,100.0,3.9,97.5,2.5,62.5
