step,elapsed,sim_time,wf0_total_traces,wf0_violation_rate,wf0_violations,wf1_total_traces,wf1_violation_rate,wf1_violations,wf2_total_traces,wf2_violation_rate,wf2_violations,total_violations,node0_avg_cpu_threads,node0_avg_cpu_usage_pct,node1_avg_cpu_threads,node1_avg_cpu_usage_pct,node2_avg_cpu_threads,node2_avg_cpu_usage_pct
1,10.0,10.0,1,0.0,0,2,0.0,0,2,0.0,0,0,2.272727272727273,56.81818181818182,1.5454545454545454,38.63636363636363,0.7272727272727273,18.181818181818183
2,10.0,20.0,3,0.3333333333333333,1,2,1.0,2,2,0.5,1,4,3.8,95.0,2.7,67.5,1.4,35.0
3,10.0,30.0,5,0.4,2,3,0.6666666666666666,2,6,0.6666666666666666,4,8,4.0,100.0,3.8,95.0,2.2,55.00000000000001
4,10.0,40.0,3,0.0,0,4,0.75,3,4,0.0,0,3,4.0,100.0,3.4,85.0,1.6,40.0
5,10.0,50.0,4,1.0,4,5,0.2,1,2,0.0,0,5,4.0,100.0,2.8,70.0,1.5,37.5
6,10.0,60.0,4,0.75,3,5,0.2,1,4,0.5,2,6,4.0,100.0,3.6,90.0,2.3,57.49999999999999
7,10.0,70.0,4,1.0,4,5,1.0,5,5,1.0,5,14,4.0,100.0,4.0,100.0,1.7,42.5
