episode,total_violations,mean_step_total_violations,n_steps
1,29,4.833333333333333,6
2,25,4.166666666666667,6
3,29,4.142857142857143,7
4,18,2.5714285714285716,7
5,32,5.333333333333333,6
6,10,1.4285714285714286,7
7,30,5.0,6
8,34,4.857142857142857,7
9,30,4.285714285714286,7
10,21,2.625,8
11,28,4.0,7
12,38,5.428571428571429,7
13,31,4.428571428571429,7
14,23,3.2857142857142856,7
15,16,2.6666666666666665,6
16,36,6.0,6
17,47,6.714285714285714,7
18,35,5.0,7
19,40,5.714285714285714,7
20,28,4.666666666666667,6
21,45,6.428571428571429,7
22,27,4.5,6
23,33,4.714285714285714,7
24,34,5.666666666666667,6
25,32,5.333333333333333,6
26,27,4.5,6
27,30,5.0,6
28,16,2.2857142857142856,7
29,29,4.833333333333333,6
30,23,3.2857142857142856,7
31,18,2.5714285714285716,7
32,39,5.571428571428571,7
33,42,6.0,7
34,26,3.7142857142857144,7
35,23,3.2857142857142856,7
36,39,6.5,6
37,30,5.0,6
38,34,5.666666666666667,6
39,28,4.0,7
40,47,7.833333333333333,6
41,30,5.0,6
42,15,2.142857142857143,7
43,32,4.571428571428571,7
44,23,3.2857142857142856,7
45,18,2.5714285714285716,7
46,32,4.0,8
47,12,1.7142857142857142,7
48,28,4.0,7
49,36,5.142857142857143,7
50,51,7.285714285714286,7
51,38,5.428571428571429,7
52,28,4.0,7
53,36,6.0,6
54,33,4.714285714285714,7
55,41,6.833333333333333,6
56,35,5.833333333333333,6
57,21,3.5,6
58,45,6.428571428571429,7
59,31,4.428571428571429,7
60,43,6.142857142857143,7
61,40,5.714285714285714,7
62,33,5.5,6
63,26,3.7142857142857144,7
64,39,5.571428571428571,7
65,28,4.0,7
66,23,3.2857142857142856,7
67,51,8.5,6
68,44,7.333333333333333,6
69,34,5.666666666666667,6
70,44,6.285714285714286,7
71,43,5.375,8
72,36,5.142857142857143,7
73,42,7.0,6
74,47,6.714285714285714,7
75,36,5.142857142857143,7
76,41,5.857142857142857,7
77,9,1.2857142857142858,7
78,31,4.428571428571429,7
79,38,5.428571428571429,7
80,40,5.714285714285714,7
81,23,3.2857142857142856,7
82,28,4.0,7
83,35,5.0,7
84,32,4.571428571428571,7
85,33,4.714285714285714,7
86,42,6.0,7
87,47,6.714285714285714,7
88,30,4.285714285714286,7
89,43,6.142857142857143,7
90,20,2.5,8
91,30,4.285714285714286,7
92,32,4.571428571428571,7
93,44,7.333333333333333,6
94,45,6.428571428571429,7
95,26,3.7142857142857144,7
96,39,6.5,6
97,37,6.166666666666667,6
98,33,5.5,6
99,46,6.571428571428571,7
100,20,2.5,8
