episode,total_violations,mean_step_total_violations,n_steps
1,36,5.142857142857143,7
2,36,5.142857142857143,7
3,19,3.1666666666666665,6
4,40,5.714285714285714,7
5,29,4.142857142857143,7
6,46,6.571428571428571,7
7,13,1.8571428571428572,7
8,38,5.428571428571429,7
9,32,4.571428571428571,7
10,42,7.0,6
11,41,5.857142857142857,7
12,42,6.0,7
13,34,4.857142857142857,7
14,45,6.428571428571429,7
15,41,5.857142857142857,7
16,36,5.142857142857143,7
17,38,5.428571428571429,7
18,43,7.166666666666667,6
19,25,3.5714285714285716,7
20,51,7.285714285714286,7
21,37,5.285714285714286,7
22,36,5.142857142857143,7
23,42,5.25,8
24,16,2.0,8
25,28,4.666666666666667,6
26,27,3.857142857142857,7
27,28,4.0,7
28,25,3.5714285714285716,7
29,27,3.857142857142857,7
30,13,1.8571428571428572,7
31,22,3.142857142857143,7
32,39,5.571428571428571,7
33,32,4.571428571428571,7
34,38,5.428571428571429,7
35,52,7.428571428571429,7
36,30,5.0,6
37,30,4.285714285714286,7
38,31,4.428571428571429,7
39,33,4.714285714285714,7
40,31,5.166666666666667,6
41,29,4.833333333333333,6
42,50,7.142857142857143,7
43,27,3.857142857142857,7
44,35,5.0,7
45,36,5.142857142857143,7
46,47,6.714285714285714,7
47,33,4.125,8
48,33,4.125,8
49,28,3.5,8
50,38,5.428571428571429,7
51,33,4.714285714285714,7
52,28,4.666666666666667,6
53,39,6.5,6
54,53,8.833333333333334,6
55,35,4.375,8
56,45,7.5,6
57,32,4.571428571428571,7
58,28,4.666666666666667,6
59,33,4.125,8
60,39,5.571428571428571,7
61,41,6.833333333333333,6
62,44,6.285714285714286,7
63,40,5.714285714285714,7
64,37,5.285714285714286,7
65,46,7.666666666666667,6
66,45,6.428571428571429,7
67,39,5.571428571428571,7
68,41,5.857142857142857,7
69,37,5.285714285714286,7
70,32,4.571428571428571,7
71,41,5.857142857142857,7
72,44,6.285714285714286,7
73,49,7.0,7
74,41,5.857142857142857,7
75,22,3.6666666666666665,6
76,50,7.142857142857143,7
77,38,4.222222222222222,9
78,45,6.428571428571429,7
79,41,6.833333333333333,6
80,44,5.5,8
81,39,6.5,6
82,34,5.666666666666667,6
83,50,7.142857142857143,7
84,38,6.333333333333333,6
85,48,6.0,8
86,34,4.857142857142857,7
87,49,8.166666666666666,6
88,29,4.142857142857143,7
89,27,3.857142857142857,7
90,35,5.0,7
91,15,2.142857142857143,7
92,37,5.285714285714286,7
93,25,3.125,8
94,38,5.428571428571429,7
95,39,5.571428571428571,7
96,21,3.0,7
97,32,4.571428571428571,7
98,41,5.857142857142857,7
99,41,5.125,8
100,30,4.285714285714286,7
