Service,r / λ,[GPS-PS] X (ms),[GPS-PS] W_q,[GPS-PS] T (ms),[FL] X (ms),[FL] ρ,[FL] T (ms),[Sim] X̄ (ms),[Sim] W̄_q (ms),[Sim] T̄ (ms),[Sim] thr/s
Service 0,1 / 440,1.042,11.458,12.500,2.083,0.917,13.542,1.810,5.182,6.992,445.4
Service 1,1 / 440,1.042,11.458,12.500,2.083,0.917,13.542,1.715,4.205,5.920,438.6
