Service,[Passive] T̄ (ms),[Passive] thr/s,[Ctrl] T̄ (ms),[Ctrl] thr/s
Service 0,6.992061212499369,445.37098942566263,6.473164355459535,438.33871246861986
Service 1,5.9203616430092,438.63606641864857,6.248297633082831,445.56499393091434
