metric,value,unit,assignment
D_wf0/λ,72.8571,%,"{'s0': 4, 's1': 1, 's2': 4, 's3': 1, 's4': 4, 's5': 1, 's6': 4, 's7': 4}"
D_wf1/λ,72.8571,%,"{'s0': 4, 's1': 1, 's2': 4, 's3': 1, 's4': 4, 's5': 1, 's6': 4, 's7': 4}"
D_wf2/λ,44.2857,%,"{'s0': 4, 's1': 1, 's2': 4, 's3': 1, 's4': 4, 's5': 1, 's6': 4, 's7': 4}"
D_wf3/λ,0.0,%,"{'s0': 4, 's1': 1, 's2': 4, 's3': 1, 's4': 4, 's5': 1, 's6': 4, 's7': 4}"
u_node0,72.9167,%,"{'s0': 4, 's1': 1, 's2': 4, 's3': 1, 's4': 4, 's5': 1, 's6': 4, 's7': 4}"
u_node1,93.6842,%,"{'s0': 4, 's1': 1, 's2': 4, 's3': 1, 's4': 4, 's5': 1, 's6': 4, 's7': 4}"
u_node2,55.8974,%,"{'s0': 4, 's1': 1, 's2': 4, 's3': 1, 's4': 4, 's5': 1, 's6': 4, 's7': 4}"
J,60.8331,,"{'s0': 4, 's1': 1, 's2': 4, 's3': 1, 's4': 4, 's5': 1, 's6': 4, 's7': 4}"
