metric,value,unit,assignment
D_wf0/λ,0.0,%,"{'s0': 1, 's1': 1}"
D_wf1/λ,0.0,%,"{'s0': 1, 's1': 1}"
u_node0,91.6667,%,"{'s0': 1, 's1': 1}"
J,45.8333,,"{'s0': 1, 's1': 1}"
