s0_avg_latency,s0_arrival_rate,s0_departure_rate,s0_avg_throughput,s0_avg_queue_size,s0_avg_threads,s1_avg_latency,s1_arrival_rate,s1_departure_rate,s1_avg_throughput,s1_avg_queue_size,s1_avg_threads,s2_avg_latency,s2_arrival_rate,s2_departure_rate,s2_avg_throughput,s2_avg_queue_size,s2_avg_threads,s3_avg_latency,s3_arrival_rate,s3_departure_rate,s3_avg_throughput,s3_avg_queue_size,s3_avg_threads,s4_avg_latency,s4_arrival_rate,s4_departure_rate,s4_avg_throughput,s4_avg_queue_size,s4_avg_threads,s5_avg_latency,s5_arrival_rate,s5_departure_rate,s5_avg_throughput,s5_avg_queue_size,s5_avg_threads,s6_avg_latency,s6_arrival_rate,s6_departure_rate,s6_avg_throughput,s6_avg_queue_size,s6_avg_threads,s7_avg_latency,s7_arrival_rate,s7_departure_rate,s7_avg_throughput,s7_avg_queue_size,s7_avg_threads,s8_avg_latency,s8_arrival_rate,s8_departure_rate,s8_avg_throughput,s8_avg_queue_size,s8_avg_threads,s9_avg_latency,s9_arrival_rate,s9_departure_rate,s9_avg_throughput,s9_avg_queue_size,s9_avg_threads,s10_avg_latency,s10_arrival_rate,s10_departure_rate,s10_avg_throughput,s10_avg_queue_size,s10_avg_threads,s11_avg_latency,s11_arrival_rate,s11_departure_rate,s11_avg_throughput,s11_avg_queue_size,s11_avg_threads,s12_avg_latency,s12_arrival_rate,s12_departure_rate,s12_avg_throughput,s12_avg_queue_size,s12_avg_threads,s13_avg_latency,s13_arrival_rate,s13_departure_rate,s13_avg_throughput,s13_avg_queue_size,s13_avg_threads,s14_avg_latency,s14_arrival_rate,s14_departure_rate,s14_avg_throughput,s14_avg_queue_size,s14_avg_threads,s15_avg_latency,s15_arrival_rate,s15_departure_rate,s15_avg_throughput,s15_avg_queue_size,s15_avg_threads,s16_avg_latency,s16_arrival_rate,s16_departure_rate,s16_avg_throughput,s16_avg_queue_size,s16_avg_threads,s17_avg_latency,s17_arrival_rate,s17_departure_rate,s17_avg_throughput,s17_avg_queue_size,s17_avg_threads,s18_avg_latency,s18_arrival_rate,s18_departure_rate,s18_avg_throughput,s18_avg_queue_size,s18_avg_threads,s19_avg_latency,s19_arrival_rate,s19_departure_rate,s19_avg_throughput,s19_avg_queue_size,s19_avg_threads,s20_avg_latency,s20_arrival_rate,s20_departure_rate,s20_avg_throughput,s20_avg_queue_size,s20_avg_threads,s21_avg_latency,s21_arrival_rate,s21_departure_rate,s21_avg_throughput,s21_avg_queue_size,s21_avg_threads,s22_avg_latency,s22_arrival_rate,s22_departure_rate,s22_avg_throughput,s22_avg_queue_size,s22_avg_threads,s23_avg_latency,s23_arrival_rate,s23_departure_rate,s23_avg_throughput,s23_avg_queue_size,s23_avg_threads,s24_avg_latency,s24_arrival_rate,s24_departure_rate,s24_avg_throughput,s24_avg_queue_size,s24_avg_threads,s25_avg_latency,s25_arrival_rate,s25_departure_rate,s25_avg_throughput,s25_avg_queue_size,s25_avg_threads,s26_avg_latency,s26_arrival_rate,s26_departure_rate,s26_avg_throughput,s26_avg_queue_size,s26_avg_threads,s27_avg_latency,s27_arrival_rate,s27_departure_rate,s27_avg_throughput,s27_avg_queue_size,s27_avg_threads,s28_avg_latency,s28_arrival_rate,s28_departure_rate,s28_avg_throughput,s28_avg_queue_size,s28_avg_threads,s29_avg_latency,s29_arrival_rate,s29_departure_rate,s29_avg_throughput,s29_avg_queue_size,s29_avg_threads,wf0_avg_e2e_latency,wf0_violation_rate,wf1_avg_e2e_latency,wf1_violation_rate,wf2_avg_e2e_latency,wf2_violation_rate,wf3_avg_e2e_latency,wf3_violation_rate,wf4_avg_e2e_latency,wf4_violation_rate,wf5_avg_e2e_latency,wf5_violation_rate,wf6_avg_e2e_latency,wf6_violation_rate,wf7_avg_e2e_latency,wf7_violation_rate,wf8_avg_e2e_latency,wf8_violation_rate,wf9_avg_e2e_latency,wf9_violation_rate,node0_avg_cpu_threads,node0_cpu_usage_pct,node1_avg_cpu_threads,node1_cpu_usage_pct,node2_avg_cpu_threads,node2_cpu_usage_pct
10.26915796395787,0.4,0.125,2.25,4.75,2.0,4.643786661597989,0.15,0.15000000000000002,1.0,0.25,1.0,1.3999999999999997,0.15000000000000002,0.15000000000000002,1.0,0.0,1.0,13.500790629721,0.42500000000000004,0.175,2.625,6.0,1.75,5.062656532122718,0.25,0.2,1.4166666666666667,2.0,1.0,1.4232610864273223,0.22499999999999998,0.22500000000000003,1.0416666666666667,0.25,2.0,10.389336677412704,0.30000000000000004,0.125,2.375,3.25,1.75,3.5333789596649536,0.175,0.175,1.1666666666666667,0.5,1.75,1.4075290338137376,0.175,0.175,1.0416666666666667,0.25,1.75,10.418911944579127,0.35,0.15000000000000002,2.375,4.25,2.75,3.53877528136145,0.22500000000000003,0.175,1.5416666666666665,1.0,1.75,1.4122084743510113,0.2,0.175,1.4166666666666665,0.75,1.25,12.160470098772805,0.375,0.15000000000000002,2.75,5.0,3.25,3.809465656214529,0.22500000000000003,0.175,1.375,1.0,1.0,1.423261086427322,0.2,0.2,1.1666666666666667,0.25,1.0,11.96550830097933,0.30000000000000004,0.1,3.0,3.5,2.0,3.536396143194347,0.15000000000000002,0.125,1.25,0.5,1.0,1.4116470233478435,0.125,0.125,1.125,0.25,1.0,11.547412982283856,0.37500000000000006,0.15000000000000002,2.875,6.25,2.75,4.711267300747333,0.2,0.175,1.4166666666666667,1.25,1.0,1.413655999867976,0.2,0.175,1.125,0.25,1.25,11.40537644375492,0.475,0.1,4.75,7.5,1.75,2.7039320033559338,0.125,0.1,0.875,0.75,1.25,1.05182984726081,0.125,0.1,0.75,0.25,1.5,8.29108594962815,0.35,0.15000000000000002,1.625,4.0,3.25,2.81736339487313,0.17500000000000002,0.175,0.5625,0.75,2.0,1.4261890977296157,0.175,0.175,1.0,0.0,2.5,5.470779857265104,0.3,0.05,1.5,5.0,1.25,2.399463706810821,0.1,0.07500000000000001,1.0,0.75,1.0,0.9507927318197439,0.07500000000000001,0.07500000000000001,0.5,0.25,3.25,13.692210618610494,0.5,13.500790629721,0.75,10.389336677412704,0.75,10.418911944579127,0.75,12.160470098772805,0.625,11.96550830097933,0.75,11.547412982283856,0.5,11.40537644375492,0.5,11.054781266170865,0.5,10.941559714530207,0.25,3.86046511627907,96.51162790697676,3.7674418604651163,94.18604651162791,1.9534883720930232,48.837209302325576
14.852662516701704,0.5,0.175,4.666666666666667,9.0,2.25,4.377692982598035,0.22499999999999998,0.2,1.5833333333333333,1.25,2.0,1.4053388306737082,0.2,0.2,1.0,0.0,2.0,11.546624368868674,0.35,0.175,2.125,4.0,1.75,3.743418902788345,0.19999999999999998,0.17500000000000002,1.25,1.0,1.25,1.4014814961571702,0.2,0.17500000000000002,1.4166666666666665,0.5,1.0,11.820563914387705,0.47500000000000003,0.1,4.75,9.75,1.75,3.7199327595431853,0.175,0.125,1.625,0.75,1.25,1.4128999055831724,0.15000000000000002,0.15000000000000002,1.0,0.0,2.0,7.298622243891388,0.3,0.125,1.9166666666666667,3.25,2.5,4.01869415822939,0.175,0.125,1.3333333333333333,0.75,1.75,1.5513548818932374,0.15000000000000002,0.125,1.3333333333333333,0.25,1.0,15.205214544335046,0.5,0.1,5.0,10.0,1.0,3.7678034751163447,0.125,0.1,1.25,1.0,1.5,1.3999999999999995,0.1,0.1,1.0,0.0,1.0,7.94640724134657,0.425,0.1,3.125,6.75,2.0,3.371946322095174,0.15000000000000002,0.125,0.875,0.75,1.0,1.0522222442357558,0.15000000000000002,0.125,0.75,0.5,1.0,13.946308794181254,0.35,0.125,2.875,6.0,2.0,4.0628105842793625,0.175,0.15000000000000002,1.375,0.75,1.0,1.4057814646848943,0.175,0.175,1.2916666666666667,0.5,1.75,13.426417036645892,0.4,0.1,4.0,5.5,1.0,3.255669414817124,0.1,0.1,1.3333333333333333,0.5,1.0,1.3999999999999997,0.1,0.1,1.3333333333333333,0.5,1.5,11.50023248851394,0.275,0.15,2.25,3.25,1.5,3.494985242879261,0.17500000000000002,0.175,1.125,0.75,1.5,1.3999999999999992,0.17500000000000002,0.175,1.125,0.5,1.75,12.13343557600268,0.42500000000000004,0.15000000000000002,3.4166666666666665,7.25,1.75,3.775618736635856,0.2,0.2,1.5,0.75,2.25,1.4048916595726102,0.2,0.2,1.125,0.25,2.5,15.001081874665775,0.75,11.546624368868674,0.625,11.820563914387705,0.5,9.731496325188518,0.5,15.205214544335046,0.75,10.59520965512876,0.5,13.946308794181254,0.75,13.426417036645892,0.75,11.50023248851394,0.75,12.13343557600268,0.75,3.9069767441860463,97.67441860465115,3.6511627906976742,91.27906976744185,2.3255813953488373,58.139534883720934
7.100682064098062,0.32499999999999996,0.175,1.6666666666666667,4.0,2.75,3.179157184285191,0.22499999999999998,0.19999999999999998,0.9375,0.5,2.0,1.542140925934806,0.19999999999999998,0.19999999999999998,1.0,0.0,1.5,9.186780812452454,0.2,0.05,1.6666666666666667,3.25,1.0,4.4687884518353576,0.07500000000000001,0.07500000000000001,1.0,0.0,2.0,1.6433863081767168,0.07500000000000001,0.07500000000000001,1.0,0.0,1.0,4.085177986176024,0.25,0.07500000000000001,0.875,3.25,2.25,4.052136108940644,0.125,0.125,1.0,0.0,3.25,1.612157307027686,0.125,0.125,1.0,0.0,2.0,11.494431478647565,0.525,0.125,4.625,7.75,1.0,3.13080733858979,0.15,0.125,1.25,0.75,1.0,1.4000000000000001,0.125,0.125,1.0,0.0,1.0,5.727129937369175,0.25,0.25,1.0,3.25,2.75,2.823015277472762,0.25,0.25,0.6666666666666666,1.25,1.75,1.4292542171439275,0.25,0.25,0.9999999999999999,0.25,1.0,12.89554015024995,0.475,0.1,4.75,8.25,1.0,3.362381494296696,0.125,0.1,1.25,0.75,1.5,1.1020711786838395,0.125,0.1,0.75,0.5,2.25,8.02886342273375,0.425,0.1,2.4444444444444446,6.5,1.75,5.185351575638085,0.15000000000000002,0.125,1.5555555555555556,0.75,1.75,1.6124529712587305,0.15000000000000002,0.125,1.3333333333333333,0.5,2.25,13.514893399692502,0.325,0.1,3.25,4.75,1.0,3.424291429131109,0.125,0.1,1.25,1.0,1.0,1.1020711786838395,0.125,0.1,0.75,0.5,1.0,10.279013080517748,0.4,0.175,2.8333333333333335,5.25,2.0,3.676849509956285,0.22500000000000003,0.2,1.125,0.5,3.0,1.4236910872032773,0.22500000000000003,0.2,1.125,0.5,1.0,9.97305699388843,0.525,0.1,4.0,10.5,1.0,3.9861654150545207,0.125,0.125,1.125,0.25,2.25,1.5583990617272083,0.125,0.125,1.0,0.0,2.25,11.59700625440675,0.625,13.780171218678682,0.5,8.170355972352048,0.25,11.494431478647565,0.625,10.429553314487164,0.625,12.89554015024995,0.5,12.043295134100624,0.5,13.514893399692502,0.75,10.279013080517748,0.5,13.297409325184574,0.375,3.8863636363636362,97.1590909090909,3.5454545454545454,88.63636363636364,1.9318181818181819,48.29545454545455
13.743198227627124,0.5,0.125,4.25,8.75,2.5,5.01866554206605,0.175,0.15000000000000002,2.0,1.5,1.0,1.3999999999999995,0.175,0.15,1.4166666666666665,0.75,1.5,7.474209866375761,0.375,0.1,2.375,6.25,1.5,4.073334932938236,0.125,0.1,1.6666666666666667,0.75,1.5,1.431360744500068,0.125,0.125,1.0,0.0,2.0,14.464029811283742,0.47500000000000003,0.125,4.5,10.25,1.75,3.995378158818393,0.15,0.15000000000000002,1.125,0.75,1.0,1.399999999999999,0.15,0.15,1.0,0.0,1.0,13.278241202835499,0.32499999999999996,0.15000000000000002,2.5833333333333335,5.25,1.75,4.350817081529586,0.22500000000000003,0.175,1.375,1.0,2.0,1.4257437374139192,0.2,0.2,1.0,0.0,1.75,12.933629294549323,0.42500000000000004,0.175,2.5,6.0,2.75,4.008871100014488,0.275,0.2,1.875,1.25,1.75,1.461969979951217,0.22499999999999998,0.22500000000000003,1.0625,0.25,1.75,9.560338819377726,0.44999999999999996,0.07500000000000001,3.3333333333333335,7.75,2.0,3.157957024172655,0.1,0.1,0.7777777777777778,0.75,2.0,1.0641658666412228,0.1,0.1,0.4444444444444444,0.5,1.0,14.11198482948135,0.275,0.15,2.5833333333333335,5.0,2.0,4.06862937525443,0.2,0.2,1.1666666666666667,1.0,3.0,1.4127343027624877,0.2,0.2,1.1666666666666665,0.25,3.25,13.950947173676532,0.3,0.2,1.75,3.75,3.25,5.260798940481358,0.25,0.22499999999999998,1.25,1.25,2.5,1.4405800525365084,0.22499999999999998,0.22499999999999998,1.0,0.0,1.5,10.20366866976788,0.25,0.1,1.5,5.0,2.5,3.2126458105221114,0.15000000000000002,0.125,0.75,1.0,1.5,1.063988348307203,0.15000000000000002,0.15000000000000002,0.6666666666666666,0.5,2.25,7.664612142737274,0.325,0.1,2.25,6.0,1.5,3.7733853721049537,0.15000000000000002,0.15000000000000002,1.6666666666666667,0.75,3.25,1.4444723336108651,0.15000000000000002,0.15000000000000002,1.125,0.25,2.5,13.743198227627124,0.75,9.96561315516768,0.5,14.464029811283742,0.75,13.278241202835499,0.75,12.933629294549323,0.75,14.34050822906659,0.5,14.11198482948135,0.5,13.950947173676532,0.75,13.604891559690508,0.5,10.219482856983033,0.5,3.880952380952381,97.02380952380952,3.619047619047619,90.47619047619048,2.2857142857142856,57.14285714285714
19.726155968155584,0.35,0.125,3.375,5.5,1.0,3.162281823193398,0.125,0.125,1.125,0.25,2.0,1.4016957417578482,0.125,0.125,1.0,0.0,1.0,8.006433474666952,0.3,0.07500000000000001,2.75,5.0,1.5,2.929990665154178,0.125,0.07500000000000001,1.0,1.25,1.5,1.0499999999999992,0.1,0.07500000000000001,0.75,0.25,3.25,13.006265422165274,0.375,0.125,3.25,7.5,1.5,3.6939211696919823,0.15,0.15000000000000002,1.25,0.5,1.5,1.4124156342516219,0.15000000000000002,0.15000000000000002,1.125,0.25,3.25,14.947450580900068,0.375,0.15000000000000002,2.875,6.75,2.5,3.6500711193466344,0.22500000000000003,0.175,1.375,1.25,1.0,1.3999999999999995,0.2,0.175,1.25,0.75,1.75,12.922854094280222,0.42500000000000004,0.125,3.75,8.0,1.5,3.803975735266762,0.175,0.125,1.5,1.25,3.0,1.4038559211242319,0.15,0.15,1.1666666666666665,0.25,1.75,7.97696604197672,0.275,0.1,2.75,2.75,1.0,3.132336069196345,0.1,0.1,1.3333333333333333,0.5,2.0,1.4016957417578482,0.1,0.1,1.0,0.0,1.75,7.972310944464925,0.3,0.125,2.875,2.75,1.75,3.4355949537000616,0.175,0.15,1.25,0.25,1.75,1.4057838816863482,0.175,0.175,1.0,0.0,3.0,12.87902593277395,0.3,0.1,3.0,4.25,1.5,3.69152148023666,0.175,0.125,1.375,1.25,1.0,1.3999999999999992,0.125,0.125,1.0,0.0,2.75,7.009902640890997,0.25,0.1,1.111111111111111,3.75,2.0,2.747903326231018,0.15000000000000002,0.1,0.8333333333333334,1.0,1.5,1.4088423367536962,0.15000000000000002,0.125,1.1666666666666667,0.25,1.5,11.10422369421317,0.375,0.22500000000000003,2.3125,5.0,2.5,3.5877625205446964,0.275,0.275,1.1875,0.5,2.5,1.467745864884063,0.275,0.275,1.1875,0.25,1.0,19.726155968155584,0.75,10.67524463288927,0.5,13.006265422165274,0.75,14.947450580900068,0.75,12.922854094280222,0.75,7.97696604197672,0.5,7.972310944464925,0.5,12.87902593277395,0.75,10.514853961336495,0.5,11.10422369421317,0.625,3.8444444444444446,96.11111111111111,3.577777777777778,89.44444444444444,2.2,55.00000000000001
15.679234935253952,0.5,0.125,4.125,9.75,1.5,3.6224601652559327,0.15000000000000002,0.15000000000000002,1.125,0.5,1.5,1.3999999999999992,0.15000000000000002,0.15000000000000002,1.0,0.0,1.75,14.450841574292244,0.4,0.125,3.25,7.0,2.5,4.302902491732911,0.2,0.175,1.5416666666666667,1.0,1.5,1.4887740846526527,0.2,0.175,1.0833333333333333,0.25,2.5,15.235769602184,0.625,0.125,5.375,12.25,1.75,3.881269140542436,0.175,0.15,1.25,0.25,1.0,1.4501096935577484,0.175,0.15,1.25,0.25,2.0,16.444825701128316,0.42500000000000004,0.125,3.625,8.25,2.0,3.8233219060493844,0.15,0.125,1.375,1.25,2.75,1.0599014375992346,0.125,0.125,0.625,0.25,2.5,14.415086501703712,0.425,0.175,2.875,5.75,2.5,3.832388491005999,0.22499999999999998,0.2,1.125,0.75,2.75,1.446965568242464,0.22499999999999998,0.2,1.125,0.5,1.25,14.893887201498394,0.42500000000000004,0.15000000000000002,3.125,7.0,1.75,3.8351741559480566,0.17500000000000002,0.15,1.25,1.0,1.75,1.4552248635839908,0.175,0.175,1.125,0.5,2.0,11.137231144925684,0.2,0.15000000000000002,1.5,2.0,3.25,3.7440438883667277,0.17500000000000002,0.15,1.25,1.0,2.0,1.4501096935577484,0.17500000000000002,0.175,1.125,0.75,2.75,18.512254824630435,0.475,0.1,6.333333333333333,10.25,2.0,3.7633294677541027,0.15000000000000002,0.125,1.25,1.0,1.0,1.4132019167989796,0.125,0.125,1.3333333333333333,0.25,2.25,11.594478412055231,0.3,0.15000000000000002,1.3333333333333333,5.0,2.75,4.9586313225870855,0.22499999999999998,0.2,0.8333333333333333,1.75,1.75,1.452038261346212,0.225,0.2,1.25,0.5,3.25,9.81273080260458,0.6,0.07500000000000001,4.5,12.5,1.0,3.7152983745471695,0.1,0.1,1.3333333333333333,0.25,1.75,1.3999999999999995,0.1,0.1,1.0,0.0,3.25,15.679234935253952,0.75,14.450841574292244,0.75,15.235769602184,0.75,16.444825701128316,0.75,14.415086501703712,0.75,14.893887201498394,0.75,11.137231144925684,0.75,19.733332522623243,0.75,15.459304549406975,0.5,13.083641070139441,0.5,3.8780487804878048,96.95121951219512,3.682926829268293,92.07317073170732,2.2439024390243905,56.09756097560976
15.468410140217191,0.3,0.125,2.875,4.0,1.0,3.4860600763237697,0.125,0.125,1.125,0.25,1.0,1.399999999999999,0.125,0.125,1.125,0.25,1.75,14.202497719536389,0.45,0.125,3.5,7.75,1.5,3.9867495047352333,0.175,0.15000000000000002,1.25,1.0,1.25,1.4393970209078855,0.175,0.15000000000000002,1.25,0.5,2.75,16.049019183586694,0.475,0.175,3.75,9.25,2.25,3.5812193843387927,0.25,0.2,1.2083333333333333,1.0,2.0,1.409873400793345,0.25,0.225,1.125,0.5,1.0,12.24988692309549,0.525,0.175,1.9583333333333333,8.25,1.75,3.4388451307366736,0.22499999999999998,0.175,1.25,1.5,3.25,1.4288251152342193,0.22500000000000003,0.175,1.25,1.0,2.0,8.030839507002671,0.225,0.1,2.25,3.0,1.0,3.447227860174789,0.125,0.125,1.125,0.5,1.0,1.0598251096605966,0.125,0.125,0.625,0.25,1.0,17.157512932985234,0.525,0.125,4.375,9.75,1.0,3.447262802204216,0.125,0.125,1.125,0.25,1.25,1.3999999999999992,0.125,0.125,1.125,0.25,1.0,13.531607215009174,0.3,0.1,3.0,5.25,1.0,3.5147375571325488,0.125,0.125,1.125,0.25,1.0,1.4196502193211937,0.125,0.125,1.0,0.0,2.0,14.798854105533692,0.525,0.2,3.2083333333333335,9.5,2.0,3.3764332857529995,0.25,0.22500000000000003,1.2083333333333333,0.75,3.25,1.419714607498192,0.22500000000000003,0.22500000000000003,1.0,0.0,2.25,3.120297234057084,0.275,0.05,0.6666666666666666,4.5,1.0,3.6994918879227447,0.07500000000000001,0.07500000000000001,1.0,0.0,1.75,1.4262002924282584,0.07500000000000001,0.07500000000000001,1.0,0.0,1.0,19.807475414164127,0.42500000000000004,0.125,3.875,8.5,1.0,3.2783221662147417,0.15,0.125,1.375,0.75,1.5,1.421336975878328,0.125,0.125,1.0,0.0,1.0,15.468410140217191,0.75,14.202497719536389,0.75,16.049019183586694,0.6666666666666666,16.33318256412732,0.5833333333333333,8.030839507002671,0.5,17.157512932985234,0.75,13.531607215009174,0.75,14.798854105533692,0.75,8.193268129689095,0.25,19.807475414164127,0.75,3.9069767441860463,97.67441860465115,3.7674418604651163,94.18604651162791,2.0930232558139537,52.32558139534884
6.928573912255832,0.275,0.125,1.125,3.25,2.0,3.4640175890250853,0.175,0.125,1.5,1.0,1.75,1.4280796074649085,0.175,0.15000000000000002,1.125,0.25,1.25,10.348963130175605,0.375,0.125,2.0,6.0,2.0,3.5702151087241063,0.175,0.15000000000000002,1.25,0.75,2.0,1.4177151662934309,0.175,0.15000000000000002,1.125,0.25,1.75,10.623216215768432,0.375,0.15000000000000002,2.9166666666666665,5.25,2.0,3.878250186435172,0.22500000000000003,0.175,1.25,0.75,2.0,1.4228973868791697,0.2,0.175,1.125,0.5,1.25,8.960045738177023,0.275,0.07500000000000001,2.25,4.0,1.0,1.9589192065999692,0.1,0.07500000000000001,0.375,0.5,1.0,0.9874834042301351,0.1,0.07500000000000001,0.6666666666666666,0.25,1.75,12.905829999188104,0.5,0.125,3.75,7.5,1.75,3.8380983276406764,0.17500000000000002,0.17500000000000002,1.5625,1.0,1.25,1.403989789750188,0.175,0.17500000000000002,1.1875,0.5,1.0,9.679134354893732,0.5,0.22500000000000003,2.2916666666666665,5.5,2.75,3.4244858999163363,0.30000000000000004,0.25,1.3333333333333333,1.25,1.5,1.4168371626470921,0.275,0.25,1.125,0.25,1.0,18.35671269620165,0.375,0.125,3.625,6.25,1.0,2.9561536414089744,0.125,0.125,1.3333333333333333,0.5,2.75,1.4000000000000004,0.125,0.125,1.0,0.0,1.5,3.9433207742745204,0.35,0.07500000000000001,3.0,4.0,1.25,2.542112405425499,0.125,0.1,0.75,0.5,1.0,1.4159591590007539,0.1,0.1,1.0,0.0,2.0,11.955767853682815,0.37500000000000006,0.125,3.375,6.75,1.5,3.6957697105632765,0.175,0.15000000000000002,1.375,0.75,1.0,1.4131618000861152,0.15,0.15000000000000002,1.25,0.5,1.0,14.096258987284031,0.5249999999999999,0.1,5.25,9.75,1.0,3.647781521680369,0.125,0.125,1.125,0.25,1.0,1.4211413795864924,0.125,0.125,1.125,0.25,1.5,9.238098549674442,0.25,13.798617506900806,0.625,10.623216215768432,0.75,11.946727650902696,0.5,12.905829999188104,0.75,9.679134354893732,0.6666666666666666,18.35671269620165,0.75,9.180793261648422,0.25,11.955767853682815,0.75,14.096258987284031,0.75,3.8372093023255816,95.93023255813954,3.6511627906976742,91.27906976744185,2.1627906976744184,54.06976744186046
12.612991586484517,0.30000000000000004,0.1,2.125,4.75,1.0,2.5458482714352866,0.1,0.1,0.625,0.25,1.5,1.399999999999999,0.1,0.1,1.0,0.0,2.0,11.61570175478763,0.30000000000000004,0.15000000000000002,2.111111111111111,3.75,2.0,4.033284247167324,0.2,0.15000000000000002,1.25,1.0,1.0,1.4005660458080689,0.175,0.175,1.0,0.0,1.25,12.540613278873675,0.30000000000000004,0.1,2.0,4.5,1.25,3.2130837916709787,0.125,0.125,1.0,0.0,2.75,1.3999999999999995,0.125,0.125,1.0,0.0,3.25,14.053979159559326,0.475,0.1,4.75,7.75,1.0,3.5831520470621507,0.125,0.1,1.25,1.0,2.0,1.3999999999999997,0.1,0.1,1.3333333333333333,0.5,1.75,18.16731492755636,0.375,0.1,5.0,6.5,1.0,3.571441976117737,0.125,0.1,1.25,1.0,3.25,1.0499999999999996,0.125,0.1,0.75,0.25,2.5,11.335377018709858,0.375,0.15000000000000002,3.0833333333333335,6.75,2.25,3.6120868899946847,0.25,0.17500000000000002,1.875,1.0,1.75,1.5605307320825839,0.2,0.2,1.0,0.0,1.25,9.102989568712676,0.5,0.175,2.0,8.0,2.5,4.090541928242276,0.22499999999999998,0.2,1.1666666666666667,1.0,1.0,1.3999999999999995,0.22500000000000003,0.2,1.125,0.25,1.5,13.136910179874583,0.475,0.1,4.75,7.75,1.0,2.6178121362393596,0.125,0.1,0.875,0.5,1.0,1.4016981374242075,0.125,0.125,1.125,0.25,1.0,10.880894399704939,0.575,0.22500000000000003,2.6666666666666665,7.0,2.0,3.5864671180147862,0.275,0.25,1.25,1.25,1.75,1.4005660458080689,0.25,0.25,1.1666666666666667,0.75,2.25,15.242404897418664,0.35,0.1,4.666666666666667,7.25,1.25,3.563985793661969,0.15000000000000002,0.125,1.25,1.0,1.5,1.4016981374242075,0.15000000000000002,0.125,1.25,0.25,1.5,16.817322115312688,0.5,14.96447310007133,0.625,16.7208177051649,0.625,14.053979159559326,0.75,16.301531184372095,0.75,11.335377018709858,0.75,12.137319424950235,0.625,13.136910179874583,0.75,10.880894399704939,0.625,15.836977749638903,0.75,3.86046511627907,96.51162790697676,3.697674418604651,92.44186046511628,2.13953488372093,53.48837209302325
9.855276394377194,0.475,0.1,2.75,7.25,1.0,3.163880023833955,0.1,0.1,1.0,0.0,3.0,1.399999999999999,0.1,0.1,1.0,0.0,2.5,15.20601334054386,0.47500000000000003,0.22500000000000003,2.9166666666666665,8.0,2.25,4.006983085416829,0.25,0.22499999999999998,1.25,1.0,1.75,1.4035225552749233,0.25,0.25,1.1666666666666665,0.25,1.75,15.387142494549593,0.625,0.2,4.416666666666667,11.75,2.25,5.917968904616635,0.275,0.22500000000000003,1.4166666666666667,2.0,1.0,1.4123928106208992,0.25,0.22500000000000003,1.25,1.0,3.25,13.186908757450002,0.225,0.1,1.125,4.25,1.75,3.1181466254344956,0.1,0.1,1.0,0.0,1.25,1.3999999999999995,0.1,0.1,1.0,0.0,2.5,13.476390736923799,0.525,0.1,5.25,12.25,1.0,3.528858475130188,0.125,0.125,1.125,0.25,1.5,1.399999999999999,0.125,0.125,1.0,0.0,1.75,16.265056266052206,0.4,0.1,4.0,7.5,1.75,3.4392163738078896,0.175,0.125,1.375,1.25,1.0,1.4188982141891717,0.125,0.125,1.125,0.5,1.75,8.159765458087946,0.5,0.07500000000000001,4.0,6.75,1.0,2.8668310268460795,0.1,0.07500000000000001,0.75,0.75,1.75,1.0545417288116465,0.1,0.07500000000000001,0.75,0.25,1.0,13.947131099349683,0.525,0.15000000000000002,3.875,9.0,1.75,3.6627965224277697,0.2,0.175,1.25,1.0,2.5,1.4144689251699922,0.2,0.175,1.4166666666666665,0.75,2.25,11.276135766649142,0.19999999999999998,0.125,2.6666666666666665,3.75,1.75,3.7825935118063088,0.175,0.125,1.5,1.25,3.25,1.4182181638809799,0.175,0.15000000000000002,1.375,0.75,2.5,9.47073535427318,0.30000000000000004,0.1,1.75,4.25,1.5,2.843850851445257,0.15000000000000002,0.125,0.75,1.0,1.75,1.0735019967933663,0.125,0.125,0.625,0.75,2.25,13.140368525836259,0.5,15.20601334054386,0.625,15.387142494549593,0.75,17.582545009933337,0.625,13.476390736923799,0.5,16.265056266052206,0.75,10.879687277450595,0.5,13.947131099349683,0.75,12.175573366227836,0.75,12.627647139030906,0.5,3.9069767441860463,97.67441860465115,3.488372093023256,87.20930232558139,2.13953488372093,53.48837209302325
